Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	2.941122419	3.194560751	1240.7	3947.6	Indicator_willcocksi-ML113926641.wav	C:\Users\Carlos PC\Desktop\Marcelo\Indicatoridae\Indicator_willcocksi-ML113926641.wav	1	a
2	Spectrogram 1	1	3.858327811	4.135903128	1579.0	4285.9	Indicator_willcocksi-ML113926641.wav	C:\Users\Carlos PC\Desktop\Marcelo\Indicatoridae\Indicator_willcocksi-ML113926641.wav	1	a
3	Spectrogram 1	1	4.775533204	5.065177012	1240.7	4455.1	Indicator_willcocksi-ML113926641.wav	C:\Users\Carlos PC\Desktop\Marcelo\Indicatoridae\Indicator_willcocksi-ML113926641.wav	1	a
4	Spectrogram 1	1	5.656533121	5.958245421	1579.0	4342.3	Indicator_willcocksi-ML113926641.wav	C:\Users\Carlos PC\Desktop\Marcelo\Indicatoridae\Indicator_willcocksi-ML113926641.wav	1	a
5	Spectrogram 1	1	6.537533038	6.803039862	1240.7	4229.5	Indicator_willcocksi-ML113926641.wav	C:\Users\Carlos PC\Desktop\Marcelo\Indicatoridae\Indicator_willcocksi-ML113926641.wav	1	a
6	Spectrogram 1	1	7.442669938	7.720245254	1409.8	4229.5	Indicator_willcocksi-ML113926641.wav	C:\Users\Carlos PC\Desktop\Marcelo\Indicatoridae\Indicator_willcocksi-ML113926641.wav	1	a
7	Spectrogram 1	1	8.396080807	8.661587631	1409.8	4398.7	Indicator_willcocksi-ML113926641.wav	C:\Users\Carlos PC\Desktop\Marcelo\Indicatoridae\Indicator_willcocksi-ML113926641.wav	1	a
8	Spectrogram 1	1	9.216738264	9.566724532	1127.9	4455.1	Indicator_willcocksi-ML113926641.wav	C:\Users\Carlos PC\Desktop\Marcelo\Indicatoridae\Indicator_willcocksi-ML113926641.wav	1	a
9	Spectrogram 1	1	10.327039528	10.652888813	1184.3	4285.9	Indicator_willcocksi-ML113926641.wav	C:\Users\Carlos PC\Desktop\Marcelo\Indicatoridae\Indicator_willcocksi-ML113926641.wav	1	a
10	Spectrogram 1	1	11.304071030	11.617851822	1522.6	4455.1	Indicator_willcocksi-ML113926641.wav	C:\Users\Carlos PC\Desktop\Marcelo\Indicatoridae\Indicator_willcocksi-ML113926641.wav	1	a
11	Spectrogram 1	1	12.269550391	12.547125707	1127.9	4455.1	Indicator_willcocksi-ML113926641.wav	C:\Users\Carlos PC\Desktop\Marcelo\Indicatoridae\Indicator_willcocksi-ML113926641.wav	1	a
12	Spectrogram 1	1	13.259166736	13.512605068	1409.8	4342.3	Indicator_willcocksi-ML113926641.wav	C:\Users\Carlos PC\Desktop\Marcelo\Indicatoridae\Indicator_willcocksi-ML113926641.wav	1	a
13	Spectrogram 1	1	14.200509112	14.490152921	1522.6	4342.3	Indicator_willcocksi-ML113926641.wav	C:\Users\Carlos PC\Desktop\Marcelo\Indicatoridae\Indicator_willcocksi-ML113926641.wav	1	a
14	Spectrogram 1	1	15.165988473	15.467700773	1240.7	4229.5	Indicator_willcocksi-ML113926641.wav	C:\Users\Carlos PC\Desktop\Marcelo\Indicatoridae\Indicator_willcocksi-ML113926641.wav	1	a
