Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	0.246877056	0.368624646	8540.700	9455.300	Iridosornis_rufivertex-ML223911461.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Iridosornis_rufivertex-ML223911461.wav	1	a
2	Spectrogram 1	1	0.625647334	0.679757374	8689.000	9751.900	Iridosornis_rufivertex-ML223911461.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Iridosornis_rufivertex-ML223911461.wav	1	b
3	Spectrogram 1	1	0.696666761	0.737249291	4808.000	11235.100	Iridosornis_rufivertex-ML223911461.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Iridosornis_rufivertex-ML223911461.wav	1	c
4	Spectrogram 1	1	0.960453205	0.984126348	6587.800	9430.600	Iridosornis_rufivertex-ML223911461.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Iridosornis_rufivertex-ML223911461.wav	1	d
5	Spectrogram 1	1	1.024708877	1.065291407	7700.200	9480.000	Iridosornis_rufivertex-ML223911461.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Iridosornis_rufivertex-ML223911461.wav	1	e
6	Spectrogram 1	1	1.097829580	1.116429906	5351.800	11655.400	Iridosornis_rufivertex-ML223911461.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Iridosornis_rufivertex-ML223911461.wav	1	f
7	Spectrogram 1	1	1.385289166	1.403889492	4931.600	11482.300	Iridosornis_rufivertex-ML223911461.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Iridosornis_rufivertex-ML223911461.wav	1	g
8	Spectrogram 1	1	1.427562634	1.449544838	4808.000	11507.000	Iridosornis_rufivertex-ML223911461.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Iridosornis_rufivertex-ML223911461.wav	1	g
9	Spectrogram 1	1	1.489815486	1.515179567	3992.200	9480.000	Iridosornis_rufivertex-ML223911461.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Iridosornis_rufivertex-ML223911461.wav	1	h
10	Spectrogram 1	1	1.645759432	1.694796656	8689.000	11556.500	Iridosornis_rufivertex-ML223911461.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Iridosornis_rufivertex-ML223911461.wav	1	i
11	Spectrogram 1	1	1.716302823	1.763649107	4684.400	11062.100	Iridosornis_rufivertex-ML223911461.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Iridosornis_rufivertex-ML223911461.wav	1	c
12	Spectrogram 1	1	1.929361104	1.956416124	5945.100	9307.000	Iridosornis_rufivertex-ML223911461.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Iridosornis_rufivertex-ML223911461.wav	1	d
13	Spectrogram 1	1	1.998689592	2.037581183	7576.600	9381.100	Iridosornis_rufivertex-ML223911461.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Iridosornis_rufivertex-ML223911461.wav	1	e
14	Spectrogram 1	1	2.070119356	2.092101560	5154.100	12125.000	Iridosornis_rufivertex-ML223911461.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Iridosornis_rufivertex-ML223911461.wav	1	f
15	Spectrogram 1	1	2.362651759	2.382943023	4363.000	12001.400	Iridosornis_rufivertex-ML223911461.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Iridosornis_rufivertex-ML223911461.wav	1	g
16	Spectrogram 1	1	2.403234288	2.430289308	4610.200	12001.400	Iridosornis_rufivertex-ML223911461.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Iridosornis_rufivertex-ML223911461.wav	1	g
17	Spectrogram 1	1	2.468901771	2.499338669	4165.300	9430.600	Iridosornis_rufivertex-ML223911461.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Iridosornis_rufivertex-ML223911461.wav	1	h
18	Spectrogram 1	1	2.611285454	2.663704554	8614.800	11605.900	Iridosornis_rufivertex-ML223911461.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Iridosornis_rufivertex-ML223911461.wav	1	i
19	Spectrogram 1	1	2.682698776	2.728354122	4511.300	10913.800	Iridosornis_rufivertex-ML223911461.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Iridosornis_rufivertex-ML223911461.wav	1	c
20	Spectrogram 1	1	2.888615784	2.913979865	5906.209	9500.000	Iridosornis_rufivertex-ML223911461.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Iridosornis_rufivertex-ML223911461.wav	1	d
21	Spectrogram 1	1	2.947798640	3.001908680	7485.200	9500.000	Iridosornis_rufivertex-ML223911461.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Iridosornis_rufivertex-ML223911461.wav	1	e
22	Spectrogram 1	1	3.028306926	3.048598191	5190.700	11710.600	Iridosornis_rufivertex-ML223911461.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Iridosornis_rufivertex-ML223911461.wav	1	f
23	Spectrogram 1	1	3.382484665	3.397703113	4491.100	11682.600	Iridosornis_rufivertex-ML223911461.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Iridosornis_rufivertex-ML223911461.wav	1	g
24	Spectrogram 1	1	3.421376256	3.439976582	4379.200	11766.500	Iridosornis_rufivertex-ML223911461.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Iridosornis_rufivertex-ML223911461.wav	1	g
25	Spectrogram 1	1	3.497468499	3.526214458	4043.400	9080.200	Iridosornis_rufivertex-ML223911461.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Iridosornis_rufivertex-ML223911461.wav	1	h
26	Spectrogram 1	1	3.782596877	3.836706917	8392.300	11062.100	Iridosornis_rufivertex-ML223911461.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Iridosornis_rufivertex-ML223911461.wav	1	i
