Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	162.815114041	163.001028623	1635.1	2943.1	Lagonosticta_rubricata-ML94697.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Estrildidae\Estrildidae\Lagonosticta_rubricata-ML94697.wav	1	a
2	Spectrogram 1	1	163.061325244	163.262313982	1775.2	2896.4	Lagonosticta_rubricata-ML94697.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Estrildidae\Estrildidae\Lagonosticta_rubricata-ML94697.wav	1	a
3	Spectrogram 1	1	163.322610603	163.483401593	1892.0	2849.7	Lagonosticta_rubricata-ML94697.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Estrildidae\Estrildidae\Lagonosticta_rubricata-ML94697.wav	1	a
4	Spectrogram 1	1	163.606507194	163.779859980	1915.4	2849.7	Lagonosticta_rubricata-ML94697.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Estrildidae\Estrildidae\Lagonosticta_rubricata-ML94697.wav	1	a
5	Spectrogram 1	1	164.478964536	164.742762254	2087.7	6052.0	Lagonosticta_rubricata-ML94697.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Estrildidae\Estrildidae\Lagonosticta_rubricata-ML94697.wav	1	b
6	Spectrogram 1	1	164.815620671	165.084443107	2064.3	6145.9	Lagonosticta_rubricata-ML94697.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Estrildidae\Estrildidae\Lagonosticta_rubricata-ML94697.wav	1	b
7	Spectrogram 1	1	165.179912758	165.433661038	2111.2	6145.9	Lagonosticta_rubricata-ML94697.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Estrildidae\Estrildidae\Lagonosticta_rubricata-ML94697.wav	1	b
8	Spectrogram 1	1	166.405672050	166.501141701	2158.1	3213.7	Lagonosticta_rubricata-ML94697.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Estrildidae\Estrildidae\Lagonosticta_rubricata-ML94697.wav	1	c
9	Spectrogram 1	1	166.589074273	166.682031564	2134.6	3237.1	Lagonosticta_rubricata-ML94697.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Estrildidae\Estrildidae\Lagonosticta_rubricata-ML94697.wav	1	c
10	Spectrogram 1	1	166.747352904	166.845334913	2064.3	3143.3	Lagonosticta_rubricata-ML94697.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Estrildidae\Estrildidae\Lagonosticta_rubricata-ML94697.wav	1	c
