Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	0.248733796	0.277727306	720.2	7313.1	Lamprotornis_albicapillus-ML276641.wav	C:\Users\pfmar\Downloads\Andean\Sturnidae\Lamprotornis_albicapillus-ML276641.wav	1	a
2	Spectrogram 1	1	0.303668867	0.315876661	775.6	7479.3	Lamprotornis_albicapillus-ML276641.wav	C:\Users\pfmar\Downloads\Andean\Sturnidae\Lamprotornis_albicapillus-ML276641.wav	1	b
3	Spectrogram 1	1	0.363181861	0.744675413	554.0	3213.3	Lamprotornis_albicapillus-ML276641.wav	C:\Users\pfmar\Downloads\Andean\Sturnidae\Lamprotornis_albicapillus-ML276641.wav	1	c
4	Spectrogram 1	1	0.750779310	0.757476751	775.6	5318.6	Lamprotornis_albicapillus-ML276641.wav	C:\Users\pfmar\Downloads\Andean\Sturnidae\Lamprotornis_albicapillus-ML276641.wav	1	d
5	Spectrogram 1	1	0.762871884	0.771504098	775.6	5318.6	Lamprotornis_albicapillus-ML276641.wav	C:\Users\pfmar\Downloads\Andean\Sturnidae\Lamprotornis_albicapillus-ML276641.wav	1	d
6	Spectrogram 1	1	0.814870227	0.833181918	720.2	5041.6	Lamprotornis_albicapillus-ML276641.wav	C:\Users\pfmar\Downloads\Andean\Sturnidae\Lamprotornis_albicapillus-ML276641.wav	1	e
7	Spectrogram 1	1	0.863701402	0.874383221	609.4	5540.2	Lamprotornis_albicapillus-ML276641.wav	C:\Users\pfmar\Downloads\Andean\Sturnidae\Lamprotornis_albicapillus-ML276641.wav	1	d
8	Spectrogram 1	1	0.882013092	0.903376731	941.8	5429.4	Lamprotornis_albicapillus-ML276641.wav	C:\Users\pfmar\Downloads\Andean\Sturnidae\Lamprotornis_albicapillus-ML276641.wav	1	e
9	Spectrogram 1	1	0.937429614	0.974815982	997.2	5152.4	Lamprotornis_albicapillus-ML276641.wav	C:\Users\pfmar\Downloads\Andean\Sturnidae\Lamprotornis_albicapillus-ML276641.wav	1	e
10	Spectrogram 1	1	1.004572479	1.012202350	664.8	5263.2	Lamprotornis_albicapillus-ML276641.wav	C:\Users\pfmar\Downloads\Andean\Sturnidae\Lamprotornis_albicapillus-ML276641.wav	1	d
11	Spectrogram 1	1	1.019832221	1.045010796	664.8	5152.4	Lamprotornis_albicapillus-ML276641.wav	C:\Users\pfmar\Downloads\Andean\Sturnidae\Lamprotornis_albicapillus-ML276641.wav	1	f
12	Spectrogram 1	1	1.074767293	1.108338725	775.6	5097.0	Lamprotornis_albicapillus-ML276641.wav	C:\Users\pfmar\Downloads\Andean\Sturnidae\Lamprotornis_albicapillus-ML276641.wav	1	f
13	Spectrogram 1	1	1.129702364	1.168614706	775.6	5041.6	Lamprotornis_albicapillus-ML276641.wav	C:\Users\pfmar\Downloads\Andean\Sturnidae\Lamprotornis_albicapillus-ML276641.wav	1	f
14	Spectrogram 1	1	1.186163410	1.206001074	886.4	5263.2	Lamprotornis_albicapillus-ML276641.wav	C:\Users\pfmar\Downloads\Andean\Sturnidae\Lamprotornis_albicapillus-ML276641.wav	1	f
15	Spectrogram 1	1	1.251017314	1.277721862	831.0	5374.0	Lamprotornis_albicapillus-ML276641.wav	C:\Users\pfmar\Downloads\Andean\Sturnidae\Lamprotornis_albicapillus-ML276641.wav	1	f
