Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	165.293358007	165.762392887	2534.6	3005.6	Laniocera_rufescens-ML206411911.wav	C:\Users\pfmar\Downloads\Andean\Tityridae\Laniocera_rufescens-ML206411911.wav	1	a
2	Spectrogram 1	1	165.821848013	166.158760392	2437.7	2839.4	Laniocera_rufescens-ML206411911.wav	C:\Users\pfmar\Downloads\Andean\Tityridae\Laniocera_rufescens-ML206411911.wav	1	b
3	Spectrogram 1	1	166.416398384	166.918463890	2526.8	3094.8	Laniocera_rufescens-ML206411911.wav	C:\Users\pfmar\Downloads\Andean\Tityridae\Laniocera_rufescens-ML206411911.wav	1	c
4	Spectrogram 1	1	167.222345644	167.704592775	2566.0	3212.4	Laniocera_rufescens-ML206411911.wav	C:\Users\pfmar\Downloads\Andean\Tityridae\Laniocera_rufescens-ML206411911.wav	1	d
5	Spectrogram 1	1	168.120778655	168.649268662	2585.6	3231.9	Laniocera_rufescens-ML206411911.wav	C:\Users\pfmar\Downloads\Andean\Tityridae\Laniocera_rufescens-ML206411911.wav	1	d
6	Spectrogram 1	1	168.966362666	169.442003672	2546.4	3369.1	Laniocera_rufescens-ML206411911.wav	C:\Users\pfmar\Downloads\Andean\Tityridae\Laniocera_rufescens-ML206411911.wav	1	e
7	Spectrogram 1	1	169.957281428	170.505589810	2546.4	3388.6	Laniocera_rufescens-ML206411911.wav	C:\Users\pfmar\Downloads\Andean\Tityridae\Laniocera_rufescens-ML206411911.wav	1	e
8	Spectrogram 1	1	206.491976912	206.832977128	2526.8	3075.2	Laniocera_rufescens-ML206411911.wav	C:\Users\pfmar\Downloads\Andean\Tityridae\Laniocera_rufescens-ML206411911.wav	2	f
9	Spectrogram 1	1	207.029169034	207.351484307	2428.9	2820.6	Laniocera_rufescens-ML206411911.wav	C:\Users\pfmar\Downloads\Andean\Tityridae\Laniocera_rufescens-ML206411911.wav	2	b
10	Spectrogram 1	1	207.589717335	208.056840919	2585.6	3114.4	Laniocera_rufescens-ML206411911.wav	C:\Users\pfmar\Downloads\Andean\Tityridae\Laniocera_rufescens-ML206411911.wav	2	g
11	Spectrogram 1	1	208.346457542	208.794896183	2605.1	3173.2	Laniocera_rufescens-ML206411911.wav	C:\Users\pfmar\Downloads\Andean\Tityridae\Laniocera_rufescens-ML206411911.wav	2	d
12	Spectrogram 1	1	209.145238871	209.621704927	2585.6	3310.3	Laniocera_rufescens-ML206411911.wav	C:\Users\pfmar\Downloads\Andean\Tityridae\Laniocera_rufescens-ML206411911.wav	2	h
14	Spectrogram 1	1	225.862965042	226.348773570	2566.0	3192.8	Laniocera_rufescens-ML206411911.wav	C:\Users\pfmar\Downloads\Andean\Tityridae\Laniocera_rufescens-ML206411911.wav	3	i
15	Spectrogram 1	1	226.367458513	226.727143673	2507.2	2820.6	Laniocera_rufescens-ML206411911.wav	C:\Users\pfmar\Downloads\Andean\Tityridae\Laniocera_rufescens-ML206411911.wav	3	j
16	Spectrogram 1	1	226.951362994	227.413815342	2585.6	3212.4	Laniocera_rufescens-ML206411911.wav	C:\Users\pfmar\Downloads\Andean\Tityridae\Laniocera_rufescens-ML206411911.wav	3	d
17	Spectrogram 1	1	227.684747021	228.133185662	2605.1	3310.3	Laniocera_rufescens-ML206411911.wav	C:\Users\pfmar\Downloads\Andean\Tityridae\Laniocera_rufescens-ML206411911.wav	3	h
18	Spectrogram 1	1	228.446158464	228.871240926	2644.3	3369.1	Laniocera_rufescens-ML206411911.wav	C:\Users\pfmar\Downloads\Andean\Tityridae\Laniocera_rufescens-ML206411911.wav	3	k
19	Spectrogram 1	1	229.230926086	229.688707198	2605.1	3290.7	Laniocera_rufescens-ML206411911.wav	C:\Users\pfmar\Downloads\Andean\Tityridae\Laniocera_rufescens-ML206411911.wav	3	l
