Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	1.527228264	2.166020855	607.3	2032.2	Larus_glaucoides-ML265531871.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Laridae\Laridae\Larus_glaucoides-ML265531871.wav	1	a
2	Spectrogram 1	1	2.445033711	2.995716980	724.1	2779.6	Larus_glaucoides-ML265531871.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Laridae\Laridae\Larus_glaucoides-ML265531871.wav	1	b
3	Spectrogram 1	1	3.223332731	3.737303781	700.7	2966.5	Larus_glaucoides-ML265531871.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Laridae\Laridae\Larus_glaucoides-ML265531871.wav	1	b
4	Spectrogram 1	1	3.854782878	4.214562614	700.7	2312.4	Larus_glaucoides-ML265531871.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Laridae\Laridae\Larus_glaucoides-ML265531871.wav	1	c
5	Spectrogram 1	1	4.339384154	4.662451672	724.1	2265.7	Larus_glaucoides-ML265531871.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Laridae\Laridae\Larus_glaucoides-ML265531871.wav	1	c
6	Spectrogram 1	1	4.765245882	5.095655843	700.7	2265.7	Larus_glaucoides-ML265531871.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Laridae\Laridae\Larus_glaucoides-ML265531871.wav	1	c
7	Spectrogram 1	1	5.213134940	5.543544901	770.8	2242.4	Larus_glaucoides-ML265531871.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Laridae\Laridae\Larus_glaucoides-ML265531871.wav	1	c
8	Spectrogram 1	1	5.646339111	5.998776403	724.1	2219.0	Larus_glaucoides-ML265531871.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Laridae\Laridae\Larus_glaucoides-ML265531871.wav	1	c
9	Spectrogram 1	1	6.108913057	6.490720123	747.5	2172.3	Larus_glaucoides-ML265531871.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Laridae\Laridae\Larus_glaucoides-ML265531871.wav	1	c
10	Spectrogram 1	1	6.600856776	6.909239406	724.1	2172.3	Larus_glaucoides-ML265531871.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Laridae\Laridae\Larus_glaucoides-ML265531871.wav	1	c
11	Spectrogram 1	1	7.034060947	7.327758690	677.4	2219.0	Larus_glaucoides-ML265531871.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Laridae\Laridae\Larus_glaucoides-ML265531871.wav	1	c
12	Spectrogram 1	1	7.481950006	7.731593087	700.7	1518.3	Larus_glaucoides-ML265531871.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Laridae\Laridae\Larus_glaucoides-ML265531871.wav	1	d
13	Spectrogram 1	1	7.871099515	8.039975717	630.7	1284.7	Larus_glaucoides-ML265531871.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Laridae\Laridae\Larus_glaucoides-ML265531871.wav	1	e
14	Spectrogram 1	1	8.260249025	8.399755453	700.7	1284.7	Larus_glaucoides-ML265531871.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Laridae\Laridae\Larus_glaucoides-ML265531871.wav	1	e
15	Spectrogram 1	1	22.368112138	23.050959391	700.7	2616.1	Larus_glaucoides-ML265531871.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Laridae\Laridae\Larus_glaucoides-ML265531871.wav	2	a
16	Spectrogram 1	1	23.374026908	23.917367733	770.8	2756.2	Larus_glaucoides-ML265531871.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Laridae\Laridae\Larus_glaucoides-ML265531871.wav	2	b
17	Spectrogram 1	1	24.093586379	24.600214986	770.8	2849.7	Larus_glaucoides-ML265531871.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Laridae\Laridae\Larus_glaucoides-ML265531871.wav	2	ab
18	Spectrogram 1	1	24.717694083	25.062788931	770.8	2359.2	Larus_glaucoides-ML265531871.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Laridae\Laridae\Larus_glaucoides-ML265531871.wav	2	c
19	Spectrogram 1	1	25.187610472	25.518020433	677.4	2172.3	Larus_glaucoides-ML265531871.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Laridae\Laridae\Larus_glaucoides-ML265531871.wav	2	c
20	Spectrogram 1	1	25.620814643	25.943882160	724.1	2289.1	Larus_glaucoides-ML265531871.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Laridae\Laridae\Larus_glaucoides-ML265531871.wav	2	c
21	Spectrogram 1	1	26.046676371	26.377086331	700.7	2265.7	Larus_glaucoides-ML265531871.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Laridae\Laridae\Larus_glaucoides-ML265531871.wav	2	c
22	Spectrogram 1	1	26.494565429	26.817632946	654.0	2219.0	Larus_glaucoides-ML265531871.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Laridae\Laridae\Larus_glaucoides-ML265531871.wav	2	c
23	Spectrogram 1	1	26.942209570	27.250592201	607.3	2195.7	Larus_glaucoides-ML265531871.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Laridae\Laridae\Larus_glaucoides-ML265531871.wav	2	f
24	Spectrogram 1	1	27.382756185	27.676453928	630.7	2125.6	Larus_glaucoides-ML265531871.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Laridae\Laridae\Larus_glaucoides-ML265531871.wav	2	f
25	Spectrogram 1	1	27.779248138	28.028891220	724.1	1424.8	Larus_glaucoides-ML265531871.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Laridae\Laridae\Larus_glaucoides-ML265531871.wav	2	d
26	Spectrogram 1	1	28.139027873	28.322588963	700.7	1284.7	Larus_glaucoides-ML265531871.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Laridae\Laridae\Larus_glaucoides-ML265531871.wav	2	e
27	Spectrogram 1	1	28.469437834	28.638314037	654.0	1284.7	Larus_glaucoides-ML265531871.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Laridae\Laridae\Larus_glaucoides-ML265531871.wav	2	e
28	Spectrogram 1	1	28.902642006	29.027463546	630.7	1097.8	Larus_glaucoides-ML265531871.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Laridae\Laridae\Larus_glaucoides-ML265531871.wav	2	g
