Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	153.308340576	153.347977326	4006.7	5656.5	Leiothlypis_luciae-ML210529.wav	D:\Andean\Parulidae\Leiothlypis_luciae-ML210529.wav	1	a
2	Spectrogram 1	1	153.387614077	153.430553890	3980.5	5839.8	Leiothlypis_luciae-ML210529.wav	D:\Andean\Parulidae\Leiothlypis_luciae-ML210529.wav	1	a
3	Spectrogram 1	1	153.471842171	153.518085047	3980.5	5866.0	Leiothlypis_luciae-ML210529.wav	D:\Andean\Parulidae\Leiothlypis_luciae-ML210529.wav	1	a
4	Spectrogram 1	1	153.556070266	153.605616204	3744.8	5944.6	Leiothlypis_luciae-ML210529.wav	D:\Andean\Parulidae\Leiothlypis_luciae-ML210529.wav	1	a
5	Spectrogram 1	1	153.638646830	153.693147362	3692.5	5918.4	Leiothlypis_luciae-ML210529.wav	D:\Andean\Parulidae\Leiothlypis_luciae-ML210529.wav	1	a
6	Spectrogram 1	1	153.717920331	153.774072394	3483.0	5892.2	Leiothlypis_luciae-ML210529.wav	D:\Andean\Parulidae\Leiothlypis_luciae-ML210529.wav	1	a
7	Spectrogram 1	1	153.798845363	153.854997426	3456.8	6023.2	Leiothlypis_luciae-ML210529.wav	D:\Andean\Parulidae\Leiothlypis_luciae-ML210529.wav	1	a
8	Spectrogram 1	1	153.878118864	153.937573990	3456.8	6049.3	Leiothlypis_luciae-ML210529.wav	D:\Andean\Parulidae\Leiothlypis_luciae-ML210529.wav	1	a
9	Spectrogram 1	1	153.959043896	154.020150553	3535.3	6154.1	Leiothlypis_luciae-ML210529.wav	D:\Andean\Parulidae\Leiothlypis_luciae-ML210529.wav	1	a
10	Spectrogram 1	1	154.048226585	154.096120992	3666.3	6127.9	Leiothlypis_luciae-ML210529.wav	D:\Andean\Parulidae\Leiothlypis_luciae-ML210529.wav	1	a
11	Spectrogram 1	1	154.127500086	154.183652149	3483.0	6127.9	Leiothlypis_luciae-ML210529.wav	D:\Andean\Parulidae\Leiothlypis_luciae-ML210529.wav	1	a
12	Spectrogram 1	1	154.210076649	154.264577181	3456.8	6206.5	Leiothlypis_luciae-ML210529.wav	D:\Andean\Parulidae\Leiothlypis_luciae-ML210529.wav	1	a
13	Spectrogram 1	1	154.292653213	154.350456807	3404.4	6206.5	Leiothlypis_luciae-ML210529.wav	D:\Andean\Parulidae\Leiothlypis_luciae-ML210529.wav	1	a
14	Spectrogram 1	1	154.375229777	154.459457871	3352.0	6206.5	Leiothlypis_luciae-ML210529.wav	D:\Andean\Parulidae\Leiothlypis_luciae-ML210529.wav	1	b
15	Spectrogram 1	1	154.492488497	154.589928842	3194.9	5970.8	Leiothlypis_luciae-ML210529.wav	D:\Andean\Parulidae\Leiothlypis_luciae-ML210529.wav	1	b
16	Spectrogram 1	1	154.626262530	154.718748281	3352.0	6258.8	Leiothlypis_luciae-ML210529.wav	D:\Andean\Parulidae\Leiothlypis_luciae-ML210529.wav	1	b
17	Spectrogram 1	1	154.755081969	154.845916189	3221.1	6337.4	Leiothlypis_luciae-ML210529.wav	D:\Andean\Parulidae\Leiothlypis_luciae-ML210529.wav	1	b
18	Spectrogram 1	1	154.895462127	154.991250941	4242.4	6835.0	Leiothlypis_luciae-ML210529.wav	D:\Andean\Parulidae\Leiothlypis_luciae-ML210529.wav	1	c
19	Spectrogram 1	1	165.129953045	165.174544389	3875.8	5787.5	Leiothlypis_luciae-ML210529.wav	D:\Andean\Parulidae\Leiothlypis_luciae-ML210529.wav	2	a
20	Spectrogram 1	1	165.209226546	165.262075547	3849.6	5787.5	Leiothlypis_luciae-ML210529.wav	D:\Andean\Parulidae\Leiothlypis_luciae-ML210529.wav	2	a
21	Spectrogram 1	1	165.295106172	165.349606704	3902.0	5787.5	Leiothlypis_luciae-ML210529.wav	D:\Andean\Parulidae\Leiothlypis_luciae-ML210529.wav	2	a
22	Spectrogram 1	1	165.382637329	165.432183267	3744.8	5944.6	Leiothlypis_luciae-ML210529.wav	D:\Andean\Parulidae\Leiothlypis_luciae-ML210529.wav	2	a
23	Spectrogram 1	1	165.468516955	165.519714425	3613.9	5970.8	Leiothlypis_luciae-ML210529.wav	D:\Andean\Parulidae\Leiothlypis_luciae-ML210529.wav	2	a
24	Spectrogram 1	1	165.551093519	165.605594051	3535.3	6023.2	Leiothlypis_luciae-ML210529.wav	D:\Andean\Parulidae\Leiothlypis_luciae-ML210529.wav	2	a
25	Spectrogram 1	1	165.627063957	165.684867552	3456.8	5866.0	Leiothlypis_luciae-ML210529.wav	D:\Andean\Parulidae\Leiothlypis_luciae-ML210529.wav	2	a
26	Spectrogram 1	1	165.707988990	165.767444115	3456.8	6154.1	Leiothlypis_luciae-ML210529.wav	D:\Andean\Parulidae\Leiothlypis_luciae-ML210529.wav	2	a
27	Spectrogram 1	1	165.793868616	165.848369148	3509.1	6285.0	Leiothlypis_luciae-ML210529.wav	D:\Andean\Parulidae\Leiothlypis_luciae-ML210529.wav	2	a
28	Spectrogram 1	1	165.874793648	165.930945711	3535.3	6258.8	Leiothlypis_luciae-ML210529.wav	D:\Andean\Parulidae\Leiothlypis_luciae-ML210529.wav	2	a
29	Spectrogram 1	1	165.957370212	166.013522275	3535.3	6206.5	Leiothlypis_luciae-ML210529.wav	D:\Andean\Parulidae\Leiothlypis_luciae-ML210529.wav	2	a
30	Spectrogram 1	1	166.038295244	166.096098838	3509.1	6258.8	Leiothlypis_luciae-ML210529.wav	D:\Andean\Parulidae\Leiothlypis_luciae-ML210529.wav	2	a
31	Spectrogram 1	1	166.122523339	166.178675402	3378.2	6206.5	Leiothlypis_luciae-ML210529.wav	D:\Andean\Parulidae\Leiothlypis_luciae-ML210529.wav	2	a
32	Spectrogram 1	1	166.206751433	166.267858090	3378.2	6154.1	Leiothlypis_luciae-ML210529.wav	D:\Andean\Parulidae\Leiothlypis_luciae-ML210529.wav	2	a
33	Spectrogram 1	1	166.294282591	166.380162217	3430.6	6285.0	Leiothlypis_luciae-ML210529.wav	D:\Andean\Parulidae\Leiothlypis_luciae-ML210529.wav	2	b
34	Spectrogram 1	1	166.424753561	166.508981656	3221.1	6311.2	Leiothlypis_luciae-ML210529.wav	D:\Andean\Parulidae\Leiothlypis_luciae-ML210529.wav	2	b
35	Spectrogram 1	1	166.548618407	166.637801095	3116.3	6311.2	Leiothlypis_luciae-ML210529.wav	D:\Andean\Parulidae\Leiothlypis_luciae-ML210529.wav	2	b
36	Spectrogram 1	1	166.680740908	166.766620534	3247.3	6363.6	Leiothlypis_luciae-ML210529.wav	D:\Andean\Parulidae\Leiothlypis_luciae-ML210529.wav	2	b
37	Spectrogram 1	1	166.817818004	166.908652224	3090.1	6468.3	Leiothlypis_luciae-ML210529.wav	D:\Andean\Parulidae\Leiothlypis_luciae-ML210529.wav	2	b
38	Spectrogram 1	1	166.969758881	167.068850757	4137.6	6913.5	Leiothlypis_luciae-ML210529.wav	D:\Andean\Parulidae\Leiothlypis_luciae-ML210529.wav	2	c
39	Spectrogram 1	1	180.626399717	180.672642593	3849.6	5630.3	Leiothlypis_luciae-ML210529.wav	D:\Andean\Parulidae\Leiothlypis_luciae-ML210529.wav	3	a
40	Spectrogram 1	1	180.715582406	180.758522219	3928.1	5839.8	Leiothlypis_luciae-ML210529.wav	D:\Andean\Parulidae\Leiothlypis_luciae-ML210529.wav	3	a
41	Spectrogram 1	1	180.798158970	180.844401845	3797.2	5944.6	Leiothlypis_luciae-ML210529.wav	D:\Andean\Parulidae\Leiothlypis_luciae-ML210529.wav	3	a
42	Spectrogram 1	1	180.882387064	180.931933003	3718.6	5944.6	Leiothlypis_luciae-ML210529.wav	D:\Andean\Parulidae\Leiothlypis_luciae-ML210529.wav	3	a
43	Spectrogram 1	1	180.969918222	181.021115691	3613.9	6154.1	Leiothlypis_luciae-ML210529.wav	D:\Andean\Parulidae\Leiothlypis_luciae-ML210529.wav	3	a
44	Spectrogram 1	1	181.049191723	181.103692255	3561.5	5997.0	Leiothlypis_luciae-ML210529.wav	D:\Andean\Parulidae\Leiothlypis_luciae-ML210529.wav	3	a
45	Spectrogram 1	1	181.133419818	181.186268818	3613.9	6075.5	Leiothlypis_luciae-ML210529.wav	D:\Andean\Parulidae\Leiothlypis_luciae-ML210529.wav	3	a
46	Spectrogram 1	1	181.211041787	181.268845382	3561.5	6180.3	Leiothlypis_luciae-ML210529.wav	D:\Andean\Parulidae\Leiothlypis_luciae-ML210529.wav	3	a
47	Spectrogram 1	1	181.295269882	181.351421945	3456.8	6154.1	Leiothlypis_luciae-ML210529.wav	D:\Andean\Parulidae\Leiothlypis_luciae-ML210529.wav	3	a
48	Spectrogram 1	1	181.372891852	181.435650040	3404.4	6049.3	Leiothlypis_luciae-ML210529.wav	D:\Andean\Parulidae\Leiothlypis_luciae-ML210529.wav	3	a
49	Spectrogram 1	1	181.453816884	181.513272010	3483.0	6285.0	Leiothlypis_luciae-ML210529.wav	D:\Andean\Parulidae\Leiothlypis_luciae-ML210529.wav	3	a
50	Spectrogram 1	1	181.538044979	181.594197042	3352.0	6258.8	Leiothlypis_luciae-ML210529.wav	D:\Andean\Parulidae\Leiothlypis_luciae-ML210529.wav	3	a
51	Spectrogram 1	1	181.618970011	181.680076668	3352.0	6127.9	Leiothlypis_luciae-ML210529.wav	D:\Andean\Parulidae\Leiothlypis_luciae-ML210529.wav	3	a
52	Spectrogram 1	1	181.703198106	181.761001700	3325.8	6232.7	Leiothlypis_luciae-ML210529.wav	D:\Andean\Parulidae\Leiothlypis_luciae-ML210529.wav	3	a
53	Spectrogram 1	1	181.785774670	181.873305827	3352.0	6494.5	Leiothlypis_luciae-ML210529.wav	D:\Andean\Parulidae\Leiothlypis_luciae-ML210529.wav	3	b
54	Spectrogram 1	1	181.906336452	181.998822203	3221.1	6311.2	Leiothlypis_luciae-ML210529.wav	D:\Andean\Parulidae\Leiothlypis_luciae-ML210529.wav	3	b
55	Spectrogram 1	1	182.033504360	182.127641643	3116.3	6442.2	Leiothlypis_luciae-ML210529.wav	D:\Andean\Parulidae\Leiothlypis_luciae-ML210529.wav	3	b
56	Spectrogram 1	1	182.165626862	182.253158019	2959.2	6337.4	Leiothlypis_luciae-ML210529.wav	D:\Andean\Parulidae\Leiothlypis_luciae-ML210529.wav	3	b
