Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	230.644983300	230.674353074	2616.1	4111.0	Locustella_kashmirensis-ML168141231.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Locustellidae\Locustella_kashmirensis-ML168141231.wav	1	a
2	Spectrogram 1	1	230.747777510	230.773476062	2966.5	4274.5	Locustella_kashmirensis-ML168141231.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Locustellidae\Locustella_kashmirensis-ML168141231.wav	1	a
3	Spectrogram 1	1	230.857914164	230.878105883	3130.0	4321.2	Locustella_kashmirensis-ML168141231.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Locustellidae\Locustella_kashmirensis-ML168141231.wav	1	a
4	Spectrogram 1	1	231.004763035	231.050653307	5746.1	7614.7	Locustella_kashmirensis-ML168141231.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Locustellidae\Locustella_kashmirensis-ML168141231.wav	1	b
5	Spectrogram 1	1	231.061666973	231.109392856	5769.4	7661.4	Locustella_kashmirensis-ML168141231.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Locustellidae\Locustella_kashmirensis-ML168141231.wav	1	b
6	Spectrogram 1	1	231.166296794	231.206680233	5699.4	7521.3	Locustella_kashmirensis-ML168141231.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Locustellidae\Locustella_kashmirensis-ML168141231.wav	1	b
7	Spectrogram 1	1	231.221365121	231.355364716	2989.8	7661.4	Locustella_kashmirensis-ML168141231.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Locustellidae\Locustella_kashmirensis-ML168141231.wav	1	c
8	Spectrogram 1	1	231.425117930	231.467336980	5886.2	7404.5	Locustella_kashmirensis-ML168141231.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Locustellidae\Locustella_kashmirensis-ML168141231.wav	1	b
9	Spectrogram 1	1	231.476515035	231.524240918	5886.2	7638.1	Locustella_kashmirensis-ML168141231.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Locustellidae\Locustella_kashmirensis-ML168141231.wav	1	b
10	Spectrogram 1	1	231.586651689	231.630706350	5909.6	7661.4	Locustella_kashmirensis-ML168141231.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Locustellidae\Locustella_kashmirensis-ML168141231.wav	1	b
11	Spectrogram 1	1	231.638048794	231.865664545	2709.5	7871.7	Locustella_kashmirensis-ML168141231.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Locustellidae\Locustella_kashmirensis-ML168141231.wav	1	d
12	Spectrogram 1	1	232.904468583	232.970550576	1635.1	4251.2	Locustella_kashmirensis-ML168141231.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Locustellidae\Locustella_kashmirensis-ML168141231.wav	2	e
13	Spectrogram 1	1	233.027454513	233.086194062	1728.5	4414.7	Locustella_kashmirensis-ML168141231.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Locustellidae\Locustella_kashmirensis-ML168141231.wav	2	e
14	Spectrogram 1	1	233.133919945	233.194495105	1868.6	4554.8	Locustella_kashmirensis-ML168141231.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Locustellidae\Locustella_kashmirensis-ML168141231.wav	2	e
15	Spectrogram 1	1	233.310138591	233.357864474	5722.7	7497.9	Locustella_kashmirensis-ML168141231.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Locustellidae\Locustella_kashmirensis-ML168141231.wav	2	b
16	Spectrogram 1	1	233.368392551	233.414768412	5722.7	7521.3	Locustella_kashmirensis-ML168141231.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Locustellidae\Locustella_kashmirensis-ML168141231.wav	2	b
17	Spectrogram 1	1	233.465679928	233.512055789	5909.6	7521.3	Locustella_kashmirensis-ML168141231.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Locustellidae\Locustella_kashmirensis-ML168141231.wav	2	b
18	Spectrogram 1	1	233.523069455	233.669918326	2102.2	7778.2	Locustella_kashmirensis-ML168141231.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Locustellidae\Locustella_kashmirensis-ML168141231.wav	2	c
19	Spectrogram 1	1	233.718994231	233.766720115	5816.2	7474.6	Locustella_kashmirensis-ML168141231.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Locustellidae\Locustella_kashmirensis-ML168141231.wav	2	b
20	Spectrogram 1	1	233.774062558	233.825459663	5909.6	7708.2	Locustella_kashmirensis-ML168141231.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Locustellidae\Locustella_kashmirensis-ML168141231.wav	2	b
21	Spectrogram 1	1	233.871349936	233.911733375	5839.5	7661.4	Locustella_kashmirensis-ML168141231.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Locustellidae\Locustella_kashmirensis-ML168141231.wav	2	b
22	Spectrogram 1	1	233.924582652	234.154034013	1751.9	7614.7	Locustella_kashmirensis-ML168141231.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Locustellidae\Locustella_kashmirensis-ML168141231.wav	2	d
23	Spectrogram 1	1	236.797096404	236.865014007	1915.4	4741.7	Locustella_kashmirensis-ML168141231.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Locustellidae\Locustella_kashmirensis-ML168141231.wav	3	e
24	Spectrogram 1	1	236.907233058	236.973315050	2008.8	4601.5	Locustella_kashmirensis-ML168141231.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Locustellidae\Locustella_kashmirensis-ML168141231.wav	3	e
25	Spectrogram 1	1	237.002684824	237.066931206	1845.3	4578.2	Locustella_kashmirensis-ML168141231.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Locustellidae\Locustella_kashmirensis-ML168141231.wav	3	e
26	Spectrogram 1	1	237.184410303	237.228464964	5162.1	7404.5	Locustella_kashmirensis-ML168141231.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Locustellidae\Locustella_kashmirensis-ML168141231.wav	3	b
27	Spectrogram 1	1	237.239478630	237.287204513	5255.6	7521.3	Locustella_kashmirensis-ML168141231.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Locustellidae\Locustella_kashmirensis-ML168141231.wav	3	b
28	Spectrogram 1	1	237.344108451	237.391834334	5419.1	7521.3	Locustella_kashmirensis-ML168141231.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Locustellidae\Locustella_kashmirensis-ML168141231.wav	3	b
29	Spectrogram 1	1	237.404683610	237.536847595	2078.9	7731.5	Locustella_kashmirensis-ML168141231.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Locustellidae\Locustella_kashmirensis-ML168141231.wav	3	c
30	Spectrogram 1	1	237.593751532	237.641477416	5349.0	7544.7	Locustella_kashmirensis-ML168141231.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Locustellidae\Locustella_kashmirensis-ML168141231.wav	3	b
31	Spectrogram 1	1	237.654326692	237.702052575	5419.1	7614.7	Locustella_kashmirensis-ML168141231.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Locustellidae\Locustella_kashmirensis-ML168141231.wav	3	b
32	Spectrogram 1	1	237.742436015	237.786490676	5442.4	7521.3	Locustella_kashmirensis-ML168141231.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Locustellidae\Locustella_kashmirensis-ML168141231.wav	3	b
33	Spectrogram 1	1	237.799339953	238.015942038	2055.5	7638.1	Locustella_kashmirensis-ML168141231.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Locustellidae\Locustella_kashmirensis-ML168141231.wav	3	d
