Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	7.148354122	7.348435709	794.2	1308.1	Lybius_torquatus-ML51486.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Pictures\Desktop\Lybiidae\Lybiidae\Lybius_torquatus-ML51486.wav	1	a
2	Spectrogram 1	1	7.372298651	7.410846480	654.0	1144.5	Lybius_torquatus-ML51486.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Pictures\Desktop\Lybiidae\Lybiidae\Lybius_torquatus-ML51486.wav	1	b
3	Spectrogram 1	1	7.445723087	7.489777748	607.3	1121.2	Lybius_torquatus-ML51486.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Pictures\Desktop\Lybiidae\Lybiidae\Lybius_torquatus-ML51486.wav	1	b
4	Spectrogram 1	1	7.515476301	7.559530962	607.3	1167.9	Lybius_torquatus-ML51486.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Pictures\Desktop\Lybiidae\Lybiidae\Lybius_torquatus-ML51486.wav	1	b
5	Spectrogram 1	1	7.599914402	7.805502822	630.7	1331.4	Lybius_torquatus-ML51486.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Pictures\Desktop\Lybiidae\Lybiidae\Lybius_torquatus-ML51486.wav	2	a
6	Spectrogram 1	1	7.862406760	7.908297032	677.4	1167.9	Lybius_torquatus-ML51486.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Pictures\Desktop\Lybiidae\Lybiidae\Lybius_torquatus-ML51486.wav	2	b
7	Spectrogram 1	1	7.935831196	7.987228301	677.4	1121.2	Lybius_torquatus-ML51486.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Pictures\Desktop\Lybiidae\Lybiidae\Lybius_torquatus-ML51486.wav	2	b
8	Spectrogram 1	1	8.111793532	8.311875119	840.9	1308.1	Lybius_torquatus-ML51486.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Pictures\Desktop\Lybiidae\Lybiidae\Lybius_torquatus-ML51486.wav	3	b
9	Spectrogram 1	1	8.368779057	8.420176162	700.7	1121.2	Lybius_torquatus-ML51486.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Pictures\Desktop\Lybiidae\Lybiidae\Lybius_torquatus-ML51486.wav	3	b
10	Spectrogram 1	1	8.444039104	8.493600598	700.7	1121.2	Lybius_torquatus-ML51486.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Pictures\Desktop\Lybiidae\Lybiidae\Lybius_torquatus-ML51486.wav	3	b
