Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	2.241735472	2.378151955	2102.2	7801.6	Malcorus_pectoralis-ML177674431.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Pictures\Desktop\Andean nature\Cantos\Cisticolidae\Malcorus_pectoralis-ML177674431.wav	1	a
2	Spectrogram 1	1	2.454332589	2.597835642	2102.2	7965.1	Malcorus_pectoralis-ML177674431.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Pictures\Desktop\Andean nature\Cantos\Cisticolidae\Malcorus_pectoralis-ML177674431.wav	1	a
3	Spectrogram 1	1	2.654528206	2.812204401	2148.9	7941.7	Malcorus_pectoralis-ML177674431.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Pictures\Desktop\Andean nature\Cantos\Cisticolidae\Malcorus_pectoralis-ML177674431.wav	1	a
4	Spectrogram 1	1	2.863582037	3.024801517	1821.9	7871.7	Malcorus_pectoralis-ML177674431.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Pictures\Desktop\Andean nature\Cantos\Cisticolidae\Malcorus_pectoralis-ML177674431.wav	1	a
5	Spectrogram 1	1	3.072635868	3.233855348	1728.5	7941.7	Malcorus_pectoralis-ML177674431.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Pictures\Desktop\Andean nature\Cantos\Cisticolidae\Malcorus_pectoralis-ML177674431.wav	1	a
6	Spectrogram 1	1	3.279918057	3.458853963	1635.1	7965.1	Malcorus_pectoralis-ML177674431.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Pictures\Desktop\Andean nature\Cantos\Cisticolidae\Malcorus_pectoralis-ML177674431.wav	1	a
7	Spectrogram 1	1	3.496058458	3.669679437	1471.6	8011.8	Malcorus_pectoralis-ML177674431.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Pictures\Desktop\Andean nature\Cantos\Cisticolidae\Malcorus_pectoralis-ML177674431.wav	1	a
8	Spectrogram 1	1	3.706883932	3.869875055	1494.9	7778.2	Malcorus_pectoralis-ML177674431.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Pictures\Desktop\Andean nature\Cantos\Cisticolidae\Malcorus_pectoralis-ML177674431.wav	1	a
9	Spectrogram 1	1	3.919481048	4.075385600	1424.8	7754.9	Malcorus_pectoralis-ML177674431.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Pictures\Desktop\Andean nature\Cantos\Cisticolidae\Malcorus_pectoralis-ML177674431.wav	1	a
10	Spectrogram 1	1	4.138539891	4.292672800	1471.6	7591.4	Malcorus_pectoralis-ML177674431.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Pictures\Desktop\Andean nature\Cantos\Cisticolidae\Malcorus_pectoralis-ML177674431.wav	1	a
