Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	5.944180245	6.171122429	692.2	2521.4	Mareca_americana-ML130820.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Anatidae\Anatidae\Mareca_americana-ML130820.wav	1	a
2	Spectrogram 1	1	6.259771719	6.447708215	716.9	2719.2	Mareca_americana-ML130820.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Anatidae\Anatidae\Mareca_americana-ML130820.wav	1	b
3	Spectrogram 1	1	6.548768406	6.683515327	568.6	2101.2	Mareca_americana-ML130820.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Anatidae\Anatidae\Mareca_americana-ML130820.wav	1	c
4	Spectrogram 1	1	11.436293352	11.698695251	667.4	2447.3	Mareca_americana-ML130820.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Anatidae\Anatidae\Mareca_americana-ML130820.wav	2	a
5	Spectrogram 1	1	11.787344541	11.975281037	593.3	2719.2	Mareca_americana-ML130820.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Anatidae\Anatidae\Mareca_americana-ML130820.wav	2	b
6	Spectrogram 1	1	12.065703313	12.211088149	716.9	2200.1	Mareca_americana-ML130820.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Anatidae\Anatidae\Mareca_americana-ML130820.wav	2	c
7	Spectrogram 1	1	13.916953764	14.181128649	692.2	2397.8	Mareca_americana-ML130820.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Anatidae\Anatidae\Mareca_americana-ML130820.wav	1	a
8	Spectrogram 1	1	14.269777939	14.468352350	667.4	2719.2	Mareca_americana-ML130820.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Anatidae\Anatidae\Mareca_americana-ML130820.wav	3	b
9	Spectrogram 1	1	14.541044768	14.688202590	716.9	2175.3	Mareca_americana-ML130820.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Anatidae\Anatidae\Mareca_americana-ML130820.wav	3	c
10	Spectrogram 1	1	14.842452355	14.939966575	568.6	2447.3	Mareca_americana-ML130820.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Anatidae\Anatidae\Mareca_americana-ML130820.wav	3	d
