Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	104.695933337	104.798606471	623.3	844.9	Megascops_petersoni-ML47367.wav	D:\Andean\Strigidae\Megascops_petersoni-ML47367.wav	1	a
2	Spectrogram 1	1	104.893945809	104.981951352	581.7	872.6	Megascops_petersoni-ML47367.wav	D:\Andean\Strigidae\Megascops_petersoni-ML47367.wav	1	a
3	Spectrogram 1	1	105.077290691	105.179963825	623.3	844.9	Megascops_petersoni-ML47367.wav	D:\Andean\Strigidae\Megascops_petersoni-ML47367.wav	1	a
4	Spectrogram 1	1	105.253301777	105.377976297	651.0	914.1	Megascops_petersoni-ML47367.wav	D:\Andean\Strigidae\Megascops_petersoni-ML47367.wav	1	a
5	Spectrogram 1	1	105.451314250	105.553987384	651.0	886.4	Megascops_petersoni-ML47367.wav	D:\Andean\Strigidae\Megascops_petersoni-ML47367.wav	1	a
6	Spectrogram 1	1	105.634659132	105.751999856	637.1	886.4	Megascops_petersoni-ML47367.wav	D:\Andean\Strigidae\Megascops_petersoni-ML47367.wav	1	a
7	Spectrogram 1	1	105.810670218	105.928010943	651.0	872.6	Megascops_petersoni-ML47367.wav	D:\Andean\Strigidae\Megascops_petersoni-ML47367.wav	1	a
8	Spectrogram 1	1	105.986681305	106.104022029	664.8	886.4	Megascops_petersoni-ML47367.wav	D:\Andean\Strigidae\Megascops_petersoni-ML47367.wav	1	a
9	Spectrogram 1	1	106.162692391	106.294700706	678.7	928.0	Megascops_petersoni-ML47367.wav	D:\Andean\Strigidae\Megascops_petersoni-ML47367.wav	1	a
10	Spectrogram 1	1	106.353371068	106.470711793	664.8	886.4	Megascops_petersoni-ML47367.wav	D:\Andean\Strigidae\Megascops_petersoni-ML47367.wav	1	a
11	Spectrogram 1	1	106.514714564	106.646722879	651.0	886.4	Megascops_petersoni-ML47367.wav	D:\Andean\Strigidae\Megascops_petersoni-ML47367.wav	1	a
12	Spectrogram 1	1	106.690725651	106.830067761	637.1	914.1	Megascops_petersoni-ML47367.wav	D:\Andean\Strigidae\Megascops_petersoni-ML47367.wav	1	a
13	Spectrogram 1	1	106.874070533	106.998745052	678.7	872.6	Megascops_petersoni-ML47367.wav	D:\Andean\Strigidae\Megascops_petersoni-ML47367.wav	1	a
14	Spectrogram 1	1	107.057415415	107.160088548	637.1	914.1	Megascops_petersoni-ML47367.wav	D:\Andean\Strigidae\Megascops_petersoni-ML47367.wav	1	a
