Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	133.231900395	133.259927810	3822.7	6343.5	Microeca_fascinans-ML201215.wav	D:\Andean\Petroicidae\Microeca_fascinans-ML201215.wav	1	a
2	Spectrogram 1	1	133.269270282	133.332331966	4016.6	5872.6	Microeca_fascinans-ML201215.wav	D:\Andean\Petroicidae\Microeca_fascinans-ML201215.wav	1	b
3	Spectrogram 1	1	133.549544433	133.708366451	1800.6	4238.3	Microeca_fascinans-ML201215.wav	D:\Andean\Petroicidae\Microeca_fascinans-ML201215.wav	1	c
4	Spectrogram 1	1	133.806462404	133.881202178	2520.8	3878.1	Microeca_fascinans-ML201215.wav	D:\Andean\Petroicidae\Microeca_fascinans-ML201215.wav	1	d
5	Spectrogram 1	1	134.014332399	134.163811946	2022.2	3850.4	Microeca_fascinans-ML201215.wav	D:\Andean\Petroicidae\Microeca_fascinans-ML201215.wav	1	c
6	Spectrogram 1	1	134.268914753	134.352996998	2243.8	3933.5	Microeca_fascinans-ML201215.wav	D:\Andean\Petroicidae\Microeca_fascinans-ML201215.wav	1	e
7	Spectrogram 1	1	134.465106658	134.649620474	1828.3	3767.3	Microeca_fascinans-ML201215.wav	D:\Andean\Petroicidae\Microeca_fascinans-ML201215.wav	1	c
8	Spectrogram 1	1	134.785086313	134.857490469	2160.7	3047.1	Microeca_fascinans-ML201215.wav	D:\Andean\Petroicidae\Microeca_fascinans-ML201215.wav	1	f
9	Spectrogram 1	1	134.908874063	134.981278219	1828.3	2825.5	Microeca_fascinans-ML201215.wav	D:\Andean\Petroicidae\Microeca_fascinans-ML201215.wav	1	g
10	Spectrogram 1	1	135.100394733	135.175134506	2410.0	2853.2	Microeca_fascinans-ML201215.wav	D:\Andean\Petroicidae\Microeca_fascinans-ML201215.wav	1	h
11	Spectrogram 1	1	135.209123642	135.271881831	1939.1	2770.1	Microeca_fascinans-ML201215.wav	D:\Andean\Petroicidae\Microeca_fascinans-ML201215.wav	1	g
12	Spectrogram 1	1	135.367670644	135.446944145	2493.1	3019.4	Microeca_fascinans-ML201215.wav	D:\Andean\Petroicidae\Microeca_fascinans-ML201215.wav	1	h
13	Spectrogram 1	1	135.471757982	135.530148430	2022.2	2631.6	Microeca_fascinans-ML201215.wav	D:\Andean\Petroicidae\Microeca_fascinans-ML201215.wav	1	g
14	Spectrogram 1	1	135.635251237	135.695977303	2299.2	2880.9	Microeca_fascinans-ML201215.wav	D:\Andean\Petroicidae\Microeca_fascinans-ML201215.wav	1	h
15	Spectrogram 1	1	135.731011572	135.787066402	2049.9	2714.7	Microeca_fascinans-ML201215.wav	D:\Andean\Petroicidae\Microeca_fascinans-ML201215.wav	1	g
16	Spectrogram 1	1	135.896840444	135.959902128	2271.5	2825.5	Microeca_fascinans-ML201215.wav	D:\Andean\Petroicidae\Microeca_fascinans-ML201215.wav	1	h
17	Spectrogram 1	1	135.994936397	136.057998081	2105.3	2714.7	Microeca_fascinans-ML201215.wav	D:\Andean\Petroicidae\Microeca_fascinans-ML201215.wav	1	g
18	Spectrogram 1	1	136.163100512	136.223826578	2243.8	2880.9	Microeca_fascinans-ML201215.wav	D:\Andean\Petroicidae\Microeca_fascinans-ML201215.wav	1	h
19	Spectrogram 1	1	136.258860846	136.317251295	1994.5	2659.3	Microeca_fascinans-ML201215.wav	D:\Andean\Petroicidae\Microeca_fascinans-ML201215.wav	1	g
20	Spectrogram 1	1	136.438703426	136.508771964	2299.2	2908.6	Microeca_fascinans-ML201215.wav	D:\Andean\Petroicidae\Microeca_fascinans-ML201215.wav	1	h
21	Spectrogram 1	1	136.546141851	136.613874771	2022.2	2631.6	Microeca_fascinans-ML201215.wav	D:\Andean\Petroicidae\Microeca_fascinans-ML201215.wav	1	g
22	Spectrogram 1	1	136.714306341	136.775032407	2188.4	2908.6	Microeca_fascinans-ML201215.wav	D:\Andean\Petroicidae\Microeca_fascinans-ML201215.wav	1	h
23	Spectrogram 1	1	136.821744766	136.887142067	2049.9	2770.1	Microeca_fascinans-ML201215.wav	D:\Andean\Petroicidae\Microeca_fascinans-ML201215.wav	1	g
24	Spectrogram 1	1	139.391364857	139.429437711	4903.1	5734.1	Microeca_fascinans-ML201215.wav	D:\Andean\Petroicidae\Microeca_fascinans-ML201215.wav	2	i
25	Spectrogram 1	1	139.421092419	139.480547545	3518.0	5263.2	Microeca_fascinans-ML201215.wav	D:\Andean\Petroicidae\Microeca_fascinans-ML201215.wav	2	d
26	Spectrogram 1	1	139.807550737	139.840581362	3684.2	5484.8	Microeca_fascinans-ML201215.wav	D:\Andean\Petroicidae\Microeca_fascinans-ML201215.wav	2	a
27	Spectrogram 1	1	139.876915050	139.913248738	3822.7	4792.3	Microeca_fascinans-ML201215.wav	D:\Andean\Petroicidae\Microeca_fascinans-ML201215.wav	2	k
28	Spectrogram 1	1	140.075098803	140.236948867	1883.7	3850.4	Microeca_fascinans-ML201215.wav	D:\Andean\Petroicidae\Microeca_fascinans-ML201215.wav	2	c
29	Spectrogram 1	1	140.336040743	140.408708119	2188.4	3961.2	Microeca_fascinans-ML201215.wav	D:\Andean\Petroicidae\Microeca_fascinans-ML201215.wav	2	d
30	Spectrogram 1	1	140.534224496	140.682862310	2326.9	3545.7	Microeca_fascinans-ML201215.wav	D:\Andean\Petroicidae\Microeca_fascinans-ML201215.wav	2	c
31	Spectrogram 1	1	140.785257249	140.864530750	2631.6	3933.5	Microeca_fascinans-ML201215.wav	D:\Andean\Petroicidae\Microeca_fascinans-ML201215.wav	2	d
32	Spectrogram 1	1	140.963622626	141.112260441	1939.1	3767.3	Microeca_fascinans-ML201215.wav	D:\Andean\Petroicidae\Microeca_fascinans-ML201215.wav	2	c
33	Spectrogram 1	1	141.227867630	141.323656443	2299.2	4016.6	Microeca_fascinans-ML201215.wav	D:\Andean\Petroicidae\Microeca_fascinans-ML201215.wav	2	d
34	Spectrogram 1	1	141.452475882	141.577992259	1745.2	3518.0	Microeca_fascinans-ML201215.wav	D:\Andean\Petroicidae\Microeca_fascinans-ML201215.wav	2	c
35	Spectrogram 1	1	141.749751511	141.825721950	2493.1	3047.1	Microeca_fascinans-ML201215.wav	D:\Andean\Petroicidae\Microeca_fascinans-ML201215.wav	2	h
36	Spectrogram 1	1	141.875267888	141.947935264	2133.0	2742.4	Microeca_fascinans-ML201215.wav	D:\Andean\Petroicidae\Microeca_fascinans-ML201215.wav	2	g
37	Spectrogram 1	1	142.023905702	142.113088391	2382.3	2880.9	Microeca_fascinans-ML201215.wav	D:\Andean\Petroicidae\Microeca_fascinans-ML201215.wav	2	h
38	Spectrogram 1	1	142.142815954	142.198968017	2105.3	2714.7	Microeca_fascinans-ML201215.wav	D:\Andean\Petroicidae\Microeca_fascinans-ML201215.wav	2	g
40	Spectrogram 1	1	144.269472312	144.334869613	4820.0	6232.7	Microeca_fascinans-ML201215.wav	D:\Andean\Petroicidae\Microeca_fascinans-ML201215.wav	3	d
41	Spectrogram 1	1	144.339540849	144.386253208	4266.0	6066.5	Microeca_fascinans-ML201215.wav	D:\Andean\Petroicidae\Microeca_fascinans-ML201215.wav	3	a
42	Spectrogram 1	1	144.687547920	144.748273985	2299.2	3656.5	Microeca_fascinans-ML201215.wav	D:\Andean\Petroicidae\Microeca_fascinans-ML201215.wav	3	f
43	Spectrogram 1	1	144.855712142	144.918773825	2493.1	3878.1	Microeca_fascinans-ML201215.wav	D:\Andean\Petroicidae\Microeca_fascinans-ML201215.wav	3	d
44	Spectrogram 1	1	145.350863141	145.512020778	1939.1	4376.8	Microeca_fascinans-ML201215.wav	D:\Andean\Petroicidae\Microeca_fascinans-ML201215.wav	3	c
45	Spectrogram 1	1	145.617123584	145.680185268	2520.8	3961.2	Microeca_fascinans-ML201215.wav	D:\Andean\Petroicidae\Microeca_fascinans-ML201215.wav	3	d
46	Spectrogram 1	1	145.834336051	145.990822452	2049.9	4127.4	Microeca_fascinans-ML201215.wav	D:\Andean\Petroicidae\Microeca_fascinans-ML201215.wav	3	c
47	Spectrogram 1	1	146.102932112	146.165993796	2243.8	3933.5	Microeca_fascinans-ML201215.wav	D:\Andean\Petroicidae\Microeca_fascinans-ML201215.wav	3	d
48	Spectrogram 1	1	146.294452781	146.422911767	1883.7	3601.1	Microeca_fascinans-ML201215.wav	D:\Andean\Petroicidae\Microeca_fascinans-ML201215.wav	3	c
49	Spectrogram 1	1	146.546699517	146.621439290	2299.2	3850.4	Microeca_fascinans-ML201215.wav	D:\Andean\Petroicidae\Microeca_fascinans-ML201215.wav	3	e
50	Spectrogram 1	1	146.752233894	146.871350408	1911.4	3434.9	Microeca_fascinans-ML201215.wav	D:\Andean\Petroicidae\Microeca_fascinans-ML201215.wav	3	c
51	Spectrogram 1	1	146.992802540	147.060535460	2133.0	3988.9	Microeca_fascinans-ML201215.wav	D:\Andean\Petroicidae\Microeca_fascinans-ML201215.wav	3	e
