Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	8.695940444	8.767176791	3273.5	4818.5	Montifringilla_adamsi-ML60468.wav	D:\Andean\Passeridae\Montifringilla_adamsi-ML60468.wav	1	a
2	Spectrogram 1	1	8.871111788	8.924831001	2854.5	5289.9	Montifringilla_adamsi-ML60468.wav	D:\Andean\Passeridae\Montifringilla_adamsi-ML60468.wav	1	b
3	Spectrogram 1	1	9.005409819	9.020591335	3640.1	6416.0	Montifringilla_adamsi-ML60468.wav	D:\Andean\Passeridae\Montifringilla_adamsi-ML60468.wav	1	c
4	Spectrogram 1	1	9.022926953	9.040444088	3718.6	6442.2	Montifringilla_adamsi-ML60468.wav	D:\Andean\Passeridae\Montifringilla_adamsi-ML60468.wav	1	c
5	Spectrogram 1	1	9.050954368	9.070807121	3430.6	5159.0	Montifringilla_adamsi-ML60468.wav	D:\Andean\Passeridae\Montifringilla_adamsi-ML60468.wav	1	d
6	Spectrogram 1	1	9.091827682	9.115183861	3352.0	5106.6	Montifringilla_adamsi-ML60468.wav	D:\Andean\Passeridae\Montifringilla_adamsi-ML60468.wav	1	d
7	Spectrogram 1	1	9.131533187	9.156057175	3273.5	5106.6	Montifringilla_adamsi-ML60468.wav	D:\Andean\Passeridae\Montifringilla_adamsi-ML60468.wav	1	d
8	Spectrogram 1	1	9.177077736	9.201601724	3325.8	5211.3	Montifringilla_adamsi-ML60468.wav	D:\Andean\Passeridae\Montifringilla_adamsi-ML60468.wav	1	d
9	Spectrogram 1	1	9.222622286	9.244810656	3064.0	4923.3	Montifringilla_adamsi-ML60468.wav	D:\Andean\Passeridae\Montifringilla_adamsi-ML60468.wav	1	d
10	Spectrogram 1	1	9.265831217	9.292690823	3168.7	4844.7	Montifringilla_adamsi-ML60468.wav	D:\Andean\Passeridae\Montifringilla_adamsi-ML60468.wav	1	d
11	Spectrogram 1	1	9.318382620	9.341738800	3194.9	4530.5	Montifringilla_adamsi-ML60468.wav	D:\Andean\Passeridae\Montifringilla_adamsi-ML60468.wav	1	d
12	Spectrogram 1	1	9.401297057	9.436331325	3221.1	4530.5	Montifringilla_adamsi-ML60468.wav	D:\Andean\Passeridae\Montifringilla_adamsi-ML60468.wav	1	d
13	Spectrogram 1	1	9.492386156	9.525084806	3194.9	4373.3	Montifringilla_adamsi-ML60468.wav	D:\Andean\Passeridae\Montifringilla_adamsi-ML60468.wav	1	d
14	Spectrogram 1	1	9.585810872	9.622012950	3168.7	4373.3	Montifringilla_adamsi-ML60468.wav	D:\Andean\Passeridae\Montifringilla_adamsi-ML60468.wav	1	d
15	Spectrogram 1	1	9.690913679	9.988704964	3011.6	5708.9	Montifringilla_adamsi-ML60468.wav	D:\Andean\Passeridae\Montifringilla_adamsi-ML60468.wav	1	e
16	Spectrogram 1	1	10.645096244	10.688036057	3299.6	4478.1	Montifringilla_adamsi-ML60468.wav	D:\Andean\Passeridae\Montifringilla_adamsi-ML60468.wav	2	a
17	Spectrogram 1	1	10.785476402	10.846583059	3064.0	5211.3	Montifringilla_adamsi-ML60468.wav	D:\Andean\Passeridae\Montifringilla_adamsi-ML60468.wav	2	b
18	Spectrogram 1	1	10.922553497	10.940720341	3797.2	6285.0	Montifringilla_adamsi-ML60468.wav	D:\Andean\Passeridae\Montifringilla_adamsi-ML60468.wav	2	c
19	Spectrogram 1	1	10.948977998	10.963841779	3666.3	6206.5	Montifringilla_adamsi-ML60468.wav	D:\Andean\Passeridae\Montifringilla_adamsi-ML60468.wav	2	c
20	Spectrogram 1	1	10.973750967	10.991917811	3483.0	5001.8	Montifringilla_adamsi-ML60468.wav	D:\Andean\Passeridae\Montifringilla_adamsi-ML60468.wav	2	d
21	Spectrogram 1	1	11.011736186	11.038160686	3535.3	4897.1	Montifringilla_adamsi-ML60468.wav	D:\Andean\Passeridae\Montifringilla_adamsi-ML60468.wav	2	d
22	Spectrogram 1	1	11.054675999	11.082752031	3404.4	4897.1	Montifringilla_adamsi-ML60468.wav	D:\Andean\Passeridae\Montifringilla_adamsi-ML60468.wav	2	d
23	Spectrogram 1	1	11.105873468	11.128994906	3325.8	4975.7	Montifringilla_adamsi-ML60468.wav	D:\Andean\Passeridae\Montifringilla_adamsi-ML60468.wav	2	d
24	Spectrogram 1	1	11.145510219	11.170283188	3352.0	4949.5	Montifringilla_adamsi-ML60468.wav	D:\Andean\Passeridae\Montifringilla_adamsi-ML60468.wav	2	d
25	Spectrogram 1	1	11.193404626	11.229738314	3509.1	4844.7	Montifringilla_adamsi-ML60468.wav	D:\Andean\Passeridae\Montifringilla_adamsi-ML60468.wav	2	d
26	Spectrogram 1	1	11.267723533	11.295799565	3247.3	4687.6	Montifringilla_adamsi-ML60468.wav	D:\Andean\Passeridae\Montifringilla_adamsi-ML60468.wav	2	d
27	Spectrogram 1	1	11.360209284	11.394891441	3221.1	4268.6	Montifringilla_adamsi-ML60468.wav	D:\Andean\Passeridae\Montifringilla_adamsi-ML60468.wav	2	d
28	Spectrogram 1	1	11.469210348	11.502240973	3142.5	4163.8	Montifringilla_adamsi-ML60468.wav	D:\Andean\Passeridae\Montifringilla_adamsi-ML60468.wav	2	d
29	Spectrogram 1	1	11.604635912	11.893653885	2880.6	5787.5	Montifringilla_adamsi-ML60468.wav	D:\Andean\Passeridae\Montifringilla_adamsi-ML60468.wav	2	e
30	Spectrogram 1	1	13.189806278	13.262473654	3325.8	4897.1	Montifringilla_adamsi-ML60468.wav	D:\Andean\Passeridae\Montifringilla_adamsi-ML60468.wav	3	a
31	Spectrogram 1	1	13.364868593	13.425975250	3352.0	5368.5	Montifringilla_adamsi-ML60468.wav	D:\Andean\Passeridae\Montifringilla_adamsi-ML60468.wav	3	b
32	Spectrogram 1	1	13.498642626	13.513506407	3823.4	6311.2	Montifringilla_adamsi-ML60468.wav	D:\Andean\Passeridae\Montifringilla_adamsi-ML60468.wav	3	c
33	Spectrogram 1	1	13.520112533	13.534976314	3744.8	6232.7	Montifringilla_adamsi-ML60468.wav	D:\Andean\Passeridae\Montifringilla_adamsi-ML60468.wav	3	c
34	Spectrogram 1	1	13.553143158	13.572961533	3483.0	4897.1	Montifringilla_adamsi-ML60468.wav	D:\Andean\Passeridae\Montifringilla_adamsi-ML60468.wav	3	d
35	Spectrogram 1	1	13.596082971	13.617552878	3378.2	4897.1	Montifringilla_adamsi-ML60468.wav	D:\Andean\Passeridae\Montifringilla_adamsi-ML60468.wav	3	d
