Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	83.422301380	83.726183134	5817.2	7507.0	Muscicapa_aquatica-ML144961911.wav	E:\Andean\Muscicapidae\Muscicapa_aquatica-ML144961911.wav	1	a
2	Spectrogram 1	1	83.864476416	83.922866864	4736.9	8781.2	Muscicapa_aquatica-ML144961911.wav	E:\Andean\Muscicapidae\Muscicapa_aquatica-ML144961911.wav	1	b
3	Spectrogram 1	1	83.969579222	84.030305288	4543.0	8808.9	Muscicapa_aquatica-ML144961911.wav	E:\Andean\Muscicapidae\Muscicapa_aquatica-ML144961911.wav	1	b
4	Spectrogram 1	1	84.063003939	84.126065623	4653.8	8642.7	Muscicapa_aquatica-ML144961911.wav	E:\Andean\Muscicapidae\Muscicapa_aquatica-ML144961911.wav	1	b
5	Spectrogram 1	1	84.168106746	84.231168430	4570.7	8615.0	Muscicapa_aquatica-ML144961911.wav	E:\Andean\Muscicapidae\Muscicapa_aquatica-ML144961911.wav	1	b
6	Spectrogram 1	1	87.412176509	87.713471221	5789.5	7562.4	Muscicapa_aquatica-ML144961911.wav	E:\Andean\Muscicapidae\Muscicapa_aquatica-ML144961911.wav	2	a
7	Spectrogram 1	1	87.802224702	87.869957622	4598.4	8808.9	Muscicapa_aquatica-ML144961911.wav	E:\Andean\Muscicapidae\Muscicapa_aquatica-ML144961911.wav	2	b
8	Spectrogram 1	1	87.907327509	87.968053574	4598.4	8836.6	Muscicapa_aquatica-ML144961911.wav	E:\Andean\Muscicapidae\Muscicapa_aquatica-ML144961911.wav	2	b
9	Spectrogram 1	1	88.010094697	88.068485145	4543.0	8781.2	Muscicapa_aquatica-ML144961911.wav	E:\Andean\Muscicapidae\Muscicapa_aquatica-ML144961911.wav	2	b
10	Spectrogram 1	1	88.115197504	88.180594805	4432.2	8615.0	Muscicapa_aquatica-ML144961911.wav	E:\Andean\Muscicapidae\Muscicapa_aquatica-ML144961911.wav	2	b
11	Spectrogram 1	1	91.140727626	91.449029192	5706.4	7507.0	Muscicapa_aquatica-ML144961911.wav	E:\Andean\Muscicapidae\Muscicapa_aquatica-ML144961911.wav	3	a
12	Spectrogram 1	1	91.530775819	91.600844357	4404.5	8808.9	Muscicapa_aquatica-ML144961911.wav	E:\Andean\Muscicapidae\Muscicapa_aquatica-ML144961911.wav	3	b
13	Spectrogram 1	1	91.642885479	91.701275927	4349.1	8836.6	Muscicapa_aquatica-ML144961911.wav	E:\Andean\Muscicapidae\Muscicapa_aquatica-ML144961911.wav	3	b
14	Spectrogram 1	1	91.733974578	91.804043116	4072.0	8587.3	Muscicapa_aquatica-ML144961911.wav	E:\Andean\Muscicapidae\Muscicapa_aquatica-ML144961911.wav	3	b
15	Spectrogram 1	1	91.848419857	91.913817158	4182.9	8531.9	Muscicapa_aquatica-ML144961911.wav	E:\Andean\Muscicapidae\Muscicapa_aquatica-ML144961911.wav	3	b
16	Spectrogram 1	1	91.974543224	92.039940526	4044.3	8642.7	Muscicapa_aquatica-ML144961911.wav	E:\Andean\Muscicapidae\Muscicapa_aquatica-ML144961911.wav	3	b
