Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	23.080747143	23.536814592	746.7	2415.8	Mycerobas_carnipes-ML82960.wav	E:\Escritorio\Cantos\Fringillidae\Mycerobas_carnipes-ML82960.wav	1	a
2	Spectrogram 1	1	23.883284437	24.052983953	680.8	1374.6	Mycerobas_carnipes-ML82960.wav	E:\Escritorio\Cantos\Fringillidae\Mycerobas_carnipes-ML82960.wav	1	b
3	Spectrogram 1	1	24.099655452	24.157153381	674.5	1507.6	Mycerobas_carnipes-ML82960.wav	E:\Escritorio\Cantos\Fringillidae\Mycerobas_carnipes-ML82960.wav	1	c
4	Spectrogram 1	1	24.239650410	24.294648429	654.6	1467.9	Mycerobas_carnipes-ML82960.wav	E:\Escritorio\Cantos\Fringillidae\Mycerobas_carnipes-ML82960.wav	1	c
5	Spectrogram 1	1	24.767131413	24.919625921	714.1	1626.6	Mycerobas_carnipes-ML82960.wav	E:\Escritorio\Cantos\Fringillidae\Mycerobas_carnipes-ML82960.wav	1	b
6	Spectrogram 1	1	24.992123310	25.057120970	793.5	1626.6	Mycerobas_carnipes-ML82960.wav	E:\Escritorio\Cantos\Fringillidae\Mycerobas_carnipes-ML82960.wav	1	c
7	Spectrogram 1	1	25.489605361	25.664599059	813.3	1745.6	Mycerobas_carnipes-ML82960.wav	E:\Escritorio\Cantos\Fringillidae\Mycerobas_carnipes-ML82960.wav	1	b
8	Spectrogram 1	1	25.739596358	25.787094647	734.0	1567.1	Mycerobas_carnipes-ML82960.wav	E:\Escritorio\Cantos\Fringillidae\Mycerobas_carnipes-ML82960.wav	1	c
9	Spectrogram 1	1	29.557369046	30.037351760	714.1	2380.4	Mycerobas_carnipes-ML82960.wav	E:\Escritorio\Cantos\Fringillidae\Mycerobas_carnipes-ML82960.wav	2	a
10	Spectrogram 1	1	30.539833664	30.742326371	853.0	1487.8	Mycerobas_carnipes-ML82960.wav	E:\Escritorio\Cantos\Fringillidae\Mycerobas_carnipes-ML82960.wav	2	d
11	Spectrogram 1	1	31.195359456	31.367853244	714.1	1448.1	Mycerobas_carnipes-ML82960.wav	E:\Escritorio\Cantos\Fringillidae\Mycerobas_carnipes-ML82960.wav	2	b
12	Spectrogram 1	1	31.415351533	31.472849463	654.6	1586.9	Mycerobas_carnipes-ML82960.wav	E:\Escritorio\Cantos\Fringillidae\Mycerobas_carnipes-ML82960.wav	2	c
13	Spectrogram 1	1	31.512848022	31.565346132	595.1	1567.1	Mycerobas_carnipes-ML82960.wav	E:\Escritorio\Cantos\Fringillidae\Mycerobas_carnipes-ML82960.wav	2	c
14	Spectrogram 1	1	32.128094879	32.318088037	634.8	1606.8	Mycerobas_carnipes-ML82960.wav	E:\Escritorio\Cantos\Fringillidae\Mycerobas_carnipes-ML82960.wav	2	b
15	Spectrogram 1	1	32.370586146	32.445583445	634.8	1507.6	Mycerobas_carnipes-ML82960.wav	E:\Escritorio\Cantos\Fringillidae\Mycerobas_carnipes-ML82960.wav	2	c
16	Spectrogram 1	1	33.198056346	33.365550314	674.5	1666.3	Mycerobas_carnipes-ML82960.wav	E:\Escritorio\Cantos\Fringillidae\Mycerobas_carnipes-ML82960.wav	2	b
17	Spectrogram 1	1	33.420548333	33.485545992	654.6	1586.9	Mycerobas_carnipes-ML82960.wav	E:\Escritorio\Cantos\Fringillidae\Mycerobas_carnipes-ML82960.wav	2	c
18	Spectrogram 1	1	33.880531428	34.358014232	714.1	2281.2	Mycerobas_carnipes-ML82960.wav	E:\Escritorio\Cantos\Fringillidae\Mycerobas_carnipes-ML82960.wav	3	a
19	Spectrogram 1	1	34.835497036	35.050489293	813.3	1646.5	Mycerobas_carnipes-ML82960.wav	E:\Escritorio\Cantos\Fringillidae\Mycerobas_carnipes-ML82960.wav	3	d
20	Spectrogram 1	1	35.380477045	35.557970653	376.9	1467.9	Mycerobas_carnipes-ML82960.wav	E:\Escritorio\Cantos\Fringillidae\Mycerobas_carnipes-ML82960.wav	3	b
21	Spectrogram 1	1	35.600469123	35.657967052	495.9	1487.8	Mycerobas_carnipes-ML82960.wav	E:\Escritorio\Cantos\Fringillidae\Mycerobas_carnipes-ML82960.wav	3	c
22	Spectrogram 1	1	36.232946345	36.402940223	614.9	1686.1	Mycerobas_carnipes-ML82960.wav	E:\Escritorio\Cantos\Fringillidae\Mycerobas_carnipes-ML82960.wav	3	b
23	Spectrogram 1	1	36.457938242	36.522935901	555.4	1586.9	Mycerobas_carnipes-ML82960.wav	E:\Escritorio\Cantos\Fringillidae\Mycerobas_carnipes-ML82960.wav	3	c
