Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	12.020568057	12.111657156	2775.9	3404.4	Myrmecocichla_monticola-ML168216.wav	E:\Andean\Muscicapidae\Myrmecocichla_monticola-ML168216.wav	1	a
2	Spectrogram 1	1	12.172383222	12.438643665	2042.6	4504.3	Myrmecocichla_monticola-ML168216.wav	E:\Andean\Muscicapidae\Myrmecocichla_monticola-ML168216.wav	1	b
3	Spectrogram 1	1	12.447986137	12.546082089	2802.1	3299.6	Myrmecocichla_monticola-ML168216.wav	E:\Andean\Muscicapidae\Myrmecocichla_monticola-ML168216.wav	1	a
4	Spectrogram 1	1	12.602136919	12.634835570	4949.5	5525.6	Myrmecocichla_monticola-ML168216.wav	E:\Andean\Muscicapidae\Myrmecocichla_monticola-ML168216.wav	1	c
5	Spectrogram 1	1	12.648849278	12.700232872	3823.4	5630.3	Myrmecocichla_monticola-ML168216.wav	E:\Andean\Muscicapidae\Myrmecocichla_monticola-ML168216.wav	1	d
6	Spectrogram 1	1	12.753952084	12.875404216	1676.0	3797.2	Myrmecocichla_monticola-ML168216.wav	E:\Andean\Muscicapidae\Myrmecocichla_monticola-ML168216.wav	1	e
7	Spectrogram 1	1	12.933794664	12.964157697	4923.3	5525.6	Myrmecocichla_monticola-ML168216.wav	E:\Andean\Muscicapidae\Myrmecocichla_monticola-ML168216.wav	1	c
8	Spectrogram 1	1	12.980507023	13.036561853	3875.8	5682.7	Myrmecocichla_monticola-ML168216.wav	E:\Andean\Muscicapidae\Myrmecocichla_monticola-ML168216.wav	1	d
9	Spectrogram 1	1	13.090281065	13.288808588	1440.3	4216.2	Myrmecocichla_monticola-ML168216.wav	E:\Andean\Muscicapidae\Myrmecocichla_monticola-ML168216.wav	1	f
10	Spectrogram 1	1	13.442959371	13.576089593	2435.5	4294.8	Myrmecocichla_monticola-ML168216.wav	E:\Andean\Muscicapidae\Myrmecocichla_monticola-ML168216.wav	1	g
11	Spectrogram 1	1	13.636815659	13.786295206	2356.9	4478.1	Myrmecocichla_monticola-ML168216.wav	E:\Andean\Muscicapidae\Myrmecocichla_monticola-ML168216.wav	1	g
12	Spectrogram 1	1	13.842350036	13.952124078	2435.5	5316.1	Myrmecocichla_monticola-ML168216.wav	E:\Andean\Muscicapidae\Myrmecocichla_monticola-ML168216.wav	1	h
13	Spectrogram 1	1	13.973144639	14.001172055	2121.2	2645.0	Myrmecocichla_monticola-ML168216.wav	E:\Andean\Muscicapidae\Myrmecocichla_monticola-ML168216.wav	1	i
14	Spectrogram 1	1	14.022192616	14.052555649	1990.3	2618.8	Myrmecocichla_monticola-ML168216.wav	E:\Andean\Muscicapidae\Myrmecocichla_monticola-ML168216.wav	1	i
15	Spectrogram 1	1	14.054891267	14.078247446	2356.9	2906.8	Myrmecocichla_monticola-ML168216.wav	E:\Andean\Muscicapidae\Myrmecocichla_monticola-ML168216.wav	1	i
16	Spectrogram 1	1	14.085254300	14.113281715	1885.5	2226.0	Myrmecocichla_monticola-ML168216.wav	E:\Andean\Muscicapidae\Myrmecocichla_monticola-ML168216.wav	1	i
17	Spectrogram 1	1	17.806996403	17.991510219	2121.2	4478.1	Myrmecocichla_monticola-ML168216.wav	E:\Andean\Muscicapidae\Myrmecocichla_monticola-ML168216.wav	2	j
18	Spectrogram 1	1	18.045229431	18.119969205	2409.3	3037.8	Myrmecocichla_monticola-ML168216.wav	E:\Andean\Muscicapidae\Myrmecocichla_monticola-ML168216.wav	2	k
19	Spectrogram 1	1	18.101284261	18.215729540	4085.3	4975.7	Myrmecocichla_monticola-ML168216.wav	E:\Andean\Muscicapidae\Myrmecocichla_monticola-ML168216.wav	2	l
20	Spectrogram 1	1	18.255435044	18.540380431	2461.6	3902.0	Myrmecocichla_monticola-ML168216.wav	E:\Andean\Muscicapidae\Myrmecocichla_monticola-ML168216.wav	2	m
21	Spectrogram 1	1	18.617455822	18.650154473	4766.2	5473.2	Myrmecocichla_monticola-ML168216.wav	E:\Andean\Muscicapidae\Myrmecocichla_monticola-ML168216.wav	2	c
22	Spectrogram 1	1	18.666503798	18.706209303	3954.3	5656.5	Myrmecocichla_monticola-ML168216.wav	E:\Andean\Muscicapidae\Myrmecocichla_monticola-ML168216.wav	2	d
23	Spectrogram 1	1	18.776277841	18.986483454	1885.5	4163.8	Myrmecocichla_monticola-ML168216.wav	E:\Andean\Muscicapidae\Myrmecocichla_monticola-ML168216.wav	2	f
24	Spectrogram 1	1	19.051880756	19.192017831	2487.8	4268.6	Myrmecocichla_monticola-ML168216.wav	E:\Andean\Muscicapidae\Myrmecocichla_monticola-ML168216.wav	2	g
25	Spectrogram 1	1	19.248072661	19.397552208	2356.9	4163.8	Myrmecocichla_monticola-ML168216.wav	E:\Andean\Muscicapidae\Myrmecocichla_monticola-ML168216.wav	2	g
26	Spectrogram 1	1	19.483970071	19.600750967	3168.7	5630.3	Myrmecocichla_monticola-ML168216.wav	E:\Andean\Muscicapidae\Myrmecocichla_monticola-ML168216.wav	2	h
27	Spectrogram 1	1	19.614764675	19.689504448	2356.9	2749.7	Myrmecocichla_monticola-ML168216.wav	E:\Andean\Muscicapidae\Myrmecocichla_monticola-ML168216.wav	2	a
28	Spectrogram 1	1	19.729209953	19.817963434	1649.8	2933.0	Myrmecocichla_monticola-ML168216.wav	E:\Andean\Muscicapidae\Myrmecocichla_monticola-ML168216.wav	2	l
29	Spectrogram 1	1	19.881025118	19.990799160	2199.8	2828.3	Myrmecocichla_monticola-ML168216.wav	E:\Andean\Muscicapidae\Myrmecocichla_monticola-ML168216.wav	2	k
30	Spectrogram 1	1	20.018826575	20.091230731	1754.6	3011.6	Myrmecocichla_monticola-ML168216.wav	E:\Andean\Muscicapidae\Myrmecocichla_monticola-ML168216.wav	2	l
31	Spectrogram 1	1	25.011549397	25.226426246	1885.5	4530.5	Myrmecocichla_monticola-ML168216.wav	E:\Andean\Muscicapidae\Myrmecocichla_monticola-ML168216.wav	3	j
32	Spectrogram 1	1	25.252118043	25.336200288	2226.0	2933.0	Myrmecocichla_monticola-ML168216.wav	E:\Andean\Muscicapidae\Myrmecocichla_monticola-ML168216.wav	3	k
33	Spectrogram 1	1	25.322186581	25.413275680	4032.9	5159.0	Myrmecocichla_monticola-ML168216.wav	E:\Andean\Muscicapidae\Myrmecocichla_monticola-ML168216.wav	3	l
34	Spectrogram 1	1	25.459988038	25.810330726	2461.6	3875.8	Myrmecocichla_monticola-ML168216.wav	E:\Andean\Muscicapidae\Myrmecocichla_monticola-ML168216.wav	3	m
35	Spectrogram 1	1	25.878063646	25.913097915	4818.5	5499.4	Myrmecocichla_monticola-ML168216.wav	E:\Andean\Muscicapidae\Myrmecocichla_monticola-ML168216.wav	3	c
36	Spectrogram 1	1	25.929447240	25.973823981	3928.1	5892.2	Myrmecocichla_monticola-ML168216.wav	E:\Andean\Muscicapidae\Myrmecocichla_monticola-ML168216.wav	3	d
37	Spectrogram 1	1	26.032214429	26.170015886	1623.6	3483.0	Myrmecocichla_monticola-ML168216.wav	E:\Andean\Muscicapidae\Myrmecocichla_monticola-ML168216.wav	3	e
38	Spectrogram 1	1	26.226070716	26.256433749	4687.6	5499.4	Myrmecocichla_monticola-ML168216.wav	E:\Andean\Muscicapidae\Myrmecocichla_monticola-ML168216.wav	3	c
39	Spectrogram 1	1	26.275118693	26.328837905	3928.1	5839.8	Myrmecocichla_monticola-ML168216.wav	E:\Andean\Muscicapidae\Myrmecocichla_monticola-ML168216.wav	3	d
40	Spectrogram 1	1	26.368543410	26.515687339	2383.1	4242.4	Myrmecocichla_monticola-ML168216.wav	E:\Andean\Muscicapidae\Myrmecocichla_monticola-ML168216.wav	3	g
41	Spectrogram 1	1	26.562399697	26.704872390	2435.5	4425.7	Myrmecocichla_monticola-ML168216.wav	E:\Andean\Muscicapidae\Myrmecocichla_monticola-ML168216.wav	3	g
