Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	312.849166112	312.951933301	1800.6	2964.0	Myrmoborus_melanurus-ML161108.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Myrmoborus_melanurus-ML161108.wav	1	a
2	Spectrogram 1	1	313.089734758	313.187830711	1800.6	2964.0	Myrmoborus_melanurus-ML161108.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Myrmoborus_melanurus-ML161108.wav	1	a
3	Spectrogram 1	1	313.302275989	313.405043178	1468.2	2991.7	Myrmoborus_melanurus-ML161108.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Myrmoborus_melanurus-ML161108.wav	1	b
4	Spectrogram 1	1	313.512481602	313.601235083	1440.5	2991.7	Myrmoborus_melanurus-ML161108.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Myrmoborus_melanurus-ML161108.wav	1	b
5	Spectrogram 1	1	313.696995418	313.788084517	1412.8	2991.7	Myrmoborus_melanurus-ML161108.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Myrmoborus_melanurus-ML161108.wav	1	b
6	Spectrogram 1	1	313.881509234	313.965591479	1385.1	2825.5	Myrmoborus_melanurus-ML161108.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Myrmoborus_melanurus-ML161108.wav	1	c
7	Spectrogram 1	1	314.042666870	314.126749116	1385.1	2853.2	Myrmoborus_melanurus-ML161108.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Myrmoborus_melanurus-ML161108.wav	1	c
8	Spectrogram 1	1	314.194482035	314.273893045	1440.5	2825.5	Myrmoborus_melanurus-ML161108.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Myrmoborus_melanurus-ML161108.wav	1	c
9	Spectrogram 1	1	314.348632818	314.416365738	1440.5	2770.1	Myrmoborus_melanurus-ML161108.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Myrmoborus_melanurus-ML161108.wav	1	c
10	Spectrogram 1	1	314.481763040	314.544824724	1385.1	2687.0	Myrmoborus_melanurus-ML161108.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Myrmoborus_melanurus-ML161108.wav	1	d
11	Spectrogram 1	1	314.614893261	314.673283709	1385.1	2687.0	Myrmoborus_melanurus-ML161108.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Myrmoborus_melanurus-ML161108.wav	1	d
12	Spectrogram 1	1	314.729338539	314.794735841	1385.1	2659.3	Myrmoborus_melanurus-ML161108.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Myrmoborus_melanurus-ML161108.wav	1	d
13	Spectrogram 1	1	314.853126289	314.909181119	1274.2	2520.8	Myrmoborus_melanurus-ML161108.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Myrmoborus_melanurus-ML161108.wav	1	e
14	Spectrogram 1	1	314.960564714	315.021290780	1274.2	2520.8	Myrmoborus_melanurus-ML161108.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Myrmoborus_melanurus-ML161108.wav	1	e
15	Spectrogram 1	1	315.068003138	315.131064822	1274.2	2326.9	Myrmoborus_melanurus-ML161108.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Myrmoborus_melanurus-ML161108.wav	1	f
16	Spectrogram 1	1	315.175441562	315.226825157	1274.2	2216.1	Myrmoborus_melanurus-ML161108.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Myrmoborus_melanurus-ML161108.wav	1	f
17	Spectrogram 1	1	315.292222459	315.343606053	1274.2	2133.0	Myrmoborus_melanurus-ML161108.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Myrmoborus_melanurus-ML161108.wav	1	g
18	Spectrogram 1	1	315.390318411	315.441702006	1329.6	2133.0	Myrmoborus_melanurus-ML161108.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Myrmoborus_melanurus-ML161108.wav	1	g
