Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	37.107514736	37.232895761	1240.7	1663.6	Myrmothera_dives-ML184121.wav	C:\Users\Carlos PC\Desktop\Marcelo\Grallariidae\Myrmothera_dives-ML184121.wav	1	a
2	Spectrogram 1	1	37.278172242	37.403553267	1136.5	1654.9	Myrmothera_dives-ML184121.wav	C:\Users\Carlos PC\Desktop\Marcelo\Grallariidae\Myrmothera_dives-ML184121.wav	1	a
3	Spectrogram 1	1	37.431415716	37.553313935	1096.6	1654.9	Myrmothera_dives-ML184121.wav	C:\Users\Carlos PC\Desktop\Marcelo\Grallariidae\Myrmothera_dives-ML184121.wav	1	a
4	Spectrogram 1	1	37.588141997	37.751833890	1116.5	1654.9	Myrmothera_dives-ML184121.wav	C:\Users\Carlos PC\Desktop\Marcelo\Grallariidae\Myrmothera_dives-ML184121.wav	1	a
5	Spectrogram 1	1	37.755316696	37.877214915	1136.5	1575.1	Myrmothera_dives-ML184121.wav	C:\Users\Carlos PC\Desktop\Marcelo\Grallariidae\Myrmothera_dives-ML184121.wav	1	a
6	Spectrogram 1	1	37.908560171	38.033941195	1096.6	1615.0	Myrmothera_dives-ML184121.wav	C:\Users\Carlos PC\Desktop\Marcelo\Grallariidae\Myrmothera_dives-ML184121.wav	1	a
7	Spectrogram 1	1	38.061803645	38.197633089	1136.5	1654.9	Myrmothera_dives-ML184121.wav	C:\Users\Carlos PC\Desktop\Marcelo\Grallariidae\Myrmothera_dives-ML184121.wav	1	a
8	Spectrogram 1	1	38.208081507	38.326496919	1176.4	1694.8	Myrmothera_dives-ML184121.wav	C:\Users\Carlos PC\Desktop\Marcelo\Grallariidae\Myrmothera_dives-ML184121.wav	1	a
9	Spectrogram 1	1	38.364807788	38.497154425	1196.3	1754.6	Myrmothera_dives-ML184121.wav	C:\Users\Carlos PC\Desktop\Marcelo\Grallariidae\Myrmothera_dives-ML184121.wav	1	a
10	Spectrogram 1	1	38.504120037	38.632983868	1236.2	1814.4	Myrmothera_dives-ML184121.wav	C:\Users\Carlos PC\Desktop\Marcelo\Grallariidae\Myrmothera_dives-ML184121.wav	1	a
11	Spectrogram 1	1	38.639949481	38.775778924	1216.2	1794.4	Myrmothera_dives-ML184121.wav	C:\Users\Carlos PC\Desktop\Marcelo\Grallariidae\Myrmothera_dives-ML184121.wav	1	a
12	Spectrogram 1	1	38.793192955	38.908125561	1196.3	1734.6	Myrmothera_dives-ML184121.wav	C:\Users\Carlos PC\Desktop\Marcelo\Grallariidae\Myrmothera_dives-ML184121.wav	1	a
13	Spectrogram 1	1	38.929022398	39.078783067	1236.2	1734.6	Myrmothera_dives-ML184121.wav	C:\Users\Carlos PC\Desktop\Marcelo\Grallariidae\Myrmothera_dives-ML184121.wav	1	a
14	Spectrogram 1	1	55.598633092	55.671772023	1216.2	1734.6	Myrmothera_dives-ML184121.wav	C:\Users\Carlos PC\Desktop\Marcelo\Grallariidae\Myrmothera_dives-ML184121.wav	2	a
15	Spectrogram 1	1	55.713565698	55.873774785	1096.6	1595.1	Myrmothera_dives-ML184121.wav	C:\Users\Carlos PC\Desktop\Marcelo\Grallariidae\Myrmothera_dives-ML184121.wav	2	a
16	Spectrogram 1	1	55.898154428	56.030501065	1016.9	1634.9	Myrmothera_dives-ML184121.wav	C:\Users\Carlos PC\Desktop\Marcelo\Grallariidae\Myrmothera_dives-ML184121.wav	2	a
17	Spectrogram 1	1	56.058363515	56.187227346	1076.7	1575.1	Myrmothera_dives-ML184121.wav	C:\Users\Carlos PC\Desktop\Marcelo\Grallariidae\Myrmothera_dives-ML184121.wav	2	a
18	Spectrogram 1	1	56.211606990	56.343953627	1096.6	1575.1	Myrmothera_dives-ML184121.wav	C:\Users\Carlos PC\Desktop\Marcelo\Grallariidae\Myrmothera_dives-ML184121.wav	2	a
19	Spectrogram 1	1	56.368333270	56.497197101	1076.7	1595.1	Myrmothera_dives-ML184121.wav	C:\Users\Carlos PC\Desktop\Marcelo\Grallariidae\Myrmothera_dives-ML184121.wav	2	a
20	Spectrogram 1	1	56.518093938	56.639992157	1096.6	1595.1	Myrmothera_dives-ML184121.wav	C:\Users\Carlos PC\Desktop\Marcelo\Grallariidae\Myrmothera_dives-ML184121.wav	2	a
21	Spectrogram 1	1	56.664371800	56.789752825	1116.5	1654.9	Myrmothera_dives-ML184121.wav	C:\Users\Carlos PC\Desktop\Marcelo\Grallariidae\Myrmothera_dives-ML184121.wav	2	a
22	Spectrogram 1	1	56.814132469	56.946479106	1216.2	1674.8	Myrmothera_dives-ML184121.wav	C:\Users\Carlos PC\Desktop\Marcelo\Grallariidae\Myrmothera_dives-ML184121.wav	2	a
23	Spectrogram 1	1	56.967375943	57.082308549	1256.1	1774.5	Myrmothera_dives-ML184121.wav	C:\Users\Carlos PC\Desktop\Marcelo\Grallariidae\Myrmothera_dives-ML184121.wav	2	a
24	Spectrogram 1	1	57.113653805	57.228586411	1276.0	1774.5	Myrmothera_dives-ML184121.wav	C:\Users\Carlos PC\Desktop\Marcelo\Grallariidae\Myrmothera_dives-ML184121.wav	2	a
25	Spectrogram 1	1	57.239034830	57.381829885	1315.9	1754.6	Myrmothera_dives-ML184121.wav	C:\Users\Carlos PC\Desktop\Marcelo\Grallariidae\Myrmothera_dives-ML184121.wav	2	a
26	Spectrogram 1	1	57.399243916	57.528107747	1315.9	1754.6	Myrmothera_dives-ML184121.wav	C:\Users\Carlos PC\Desktop\Marcelo\Grallariidae\Myrmothera_dives-ML184121.wav	2	a
27	Spectrogram 1	1	104.766356750	104.846461294	1236.2	1555.2	Myrmothera_dives-ML184121.wav	C:\Users\Carlos PC\Desktop\Marcelo\Grallariidae\Myrmothera_dives-ML184121.wav	3	a
28	Spectrogram 1	1	104.912634612	105.027567218	1156.4	1615.0	Myrmothera_dives-ML184121.wav	C:\Users\Carlos PC\Desktop\Marcelo\Grallariidae\Myrmothera_dives-ML184121.wav	3	a
29	Spectrogram 1	1	105.069360893	105.180810692	1016.9	1694.8	Myrmothera_dives-ML184121.wav	C:\Users\Carlos PC\Desktop\Marcelo\Grallariidae\Myrmothera_dives-ML184121.wav	3	a
30	Spectrogram 1	1	105.229569980	105.344502586	1056.7	1595.1	Myrmothera_dives-ML184121.wav	C:\Users\Carlos PC\Desktop\Marcelo\Grallariidae\Myrmothera_dives-ML184121.wav	3	a
31	Spectrogram 1	1	105.382813454	105.536056929	1116.5	1654.9	Myrmothera_dives-ML184121.wav	C:\Users\Carlos PC\Desktop\Marcelo\Grallariidae\Myrmothera_dives-ML184121.wav	3	a
32	Spectrogram 1	1	105.543022541	105.664920759	1016.9	1615.0	Myrmothera_dives-ML184121.wav	C:\Users\Carlos PC\Desktop\Marcelo\Grallariidae\Myrmothera_dives-ML184121.wav	3	a
33	Spectrogram 1	1	105.696266016	105.821647040	1096.6	1674.8	Myrmothera_dives-ML184121.wav	C:\Users\Carlos PC\Desktop\Marcelo\Grallariidae\Myrmothera_dives-ML184121.wav	3	a
34	Spectrogram 1	1	105.849509490	105.985338933	1116.5	1734.6	Myrmothera_dives-ML184121.wav	C:\Users\Carlos PC\Desktop\Marcelo\Grallariidae\Myrmothera_dives-ML184121.wav	3	a
35	Spectrogram 1	1	105.999270158	106.145548020	1136.5	1694.8	Myrmothera_dives-ML184121.wav	C:\Users\Carlos PC\Desktop\Marcelo\Grallariidae\Myrmothera_dives-ML184121.wav	3	a
36	Spectrogram 1	1	106.152513633	106.288343076	1136.5	1734.6	Myrmothera_dives-ML184121.wav	C:\Users\Carlos PC\Desktop\Marcelo\Grallariidae\Myrmothera_dives-ML184121.wav	3	a
37	Spectrogram 1	1	106.295308688	106.413724100	1136.5	1814.4	Myrmothera_dives-ML184121.wav	C:\Users\Carlos PC\Desktop\Marcelo\Grallariidae\Myrmothera_dives-ML184121.wav	3	a
38	Spectrogram 1	1	106.431138132	106.563484769	1176.4	1814.4	Myrmothera_dives-ML184121.wav	C:\Users\Carlos PC\Desktop\Marcelo\Grallariidae\Myrmothera_dives-ML184121.wav	3	a
39	Spectrogram 1	1	106.577415994	106.706279824	1156.4	1814.4	Myrmothera_dives-ML184121.wav	C:\Users\Carlos PC\Desktop\Marcelo\Grallariidae\Myrmothera_dives-ML184121.wav	3	a
40	Spectrogram 1	1	106.713245437	106.849074880	1196.3	1814.4	Myrmothera_dives-ML184121.wav	C:\Users\Carlos PC\Desktop\Marcelo\Grallariidae\Myrmothera_dives-ML184121.wav	3	a
