Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	22.366658746	22.426113871	2326.9	3628.8	Newtonia_fanovanae-ML94076.wav	C:\Users\pfmar\Downloads\Andean\Vangidae\Newtonia_fanovanae-ML94076.wav	1	a
2	Spectrogram 1	1	22.690358875	22.780271404	2188.4	3905.8	Newtonia_fanovanae-ML94076.wav	C:\Users\pfmar\Downloads\Andean\Vangidae\Newtonia_fanovanae-ML94076.wav	1	b
3	Spectrogram 1	1	22.878367357	22.957778366	3933.5	6149.6	Newtonia_fanovanae-ML94076.wav	C:\Users\pfmar\Downloads\Andean\Vangidae\Newtonia_fanovanae-ML94076.wav	1	c
4	Spectrogram 1	1	23.041860611	23.142292182	1994.5	3850.4	Newtonia_fanovanae-ML94076.wav	C:\Users\pfmar\Downloads\Andean\Vangidae\Newtonia_fanovanae-ML94076.wav	1	d
5	Spectrogram 1	1	23.219368820	23.315129155	4044.3	6869.8	Newtonia_fanovanae-ML94076.wav	C:\Users\pfmar\Downloads\Andean\Vangidae\Newtonia_fanovanae-ML94076.wav	1	e
6	Spectrogram 1	1	23.392204546	23.487964881	1966.8	4155.2	Newtonia_fanovanae-ML94076.wav	C:\Users\pfmar\Downloads\Andean\Vangidae\Newtonia_fanovanae-ML94076.wav	1	f
7	Spectrogram 1	1	23.569711508	23.709848584	3933.5	7119.2	Newtonia_fanovanae-ML94076.wav	C:\Users\pfmar\Downloads\Andean\Vangidae\Newtonia_fanovanae-ML94076.wav	1	g
8	Spectrogram 1	1	23.749554088	23.852321277	1883.7	3601.1	Newtonia_fanovanae-ML94076.wav	C:\Users\pfmar\Downloads\Andean\Vangidae\Newtonia_fanovanae-ML94076.wav	1	h
9	Spectrogram 1	1	23.924725433	24.050848800	3656.5	7617.8	Newtonia_fanovanae-ML94076.wav	C:\Users\pfmar\Downloads\Andean\Vangidae\Newtonia_fanovanae-ML94076.wav	1	i
10	Spectrogram 1	1	24.090554305	24.186314640	1856.0	3573.4	Newtonia_fanovanae-ML94076.wav	C:\Users\pfmar\Downloads\Andean\Vangidae\Newtonia_fanovanae-ML94076.wav	1	j
11	Spectrogram 1	1	24.275068121	24.363821602	3462.6	6897.6	Newtonia_fanovanae-ML94076.wav	C:\Users\pfmar\Downloads\Andean\Vangidae\Newtonia_fanovanae-ML94076.wav	1	k
12	Spectrogram 1	1	24.436225757	24.529650474	1606.7	3379.5	Newtonia_fanovanae-ML94076.wav	C:\Users\pfmar\Downloads\Andean\Vangidae\Newtonia_fanovanae-ML94076.wav	1	l
13	Spectrogram 1	1	24.602054630	24.702486201	3407.2	7146.9	Newtonia_fanovanae-ML94076.wav	C:\Users\pfmar\Downloads\Andean\Vangidae\Newtonia_fanovanae-ML94076.wav	1	m
14	Spectrogram 1	1	24.772554738	24.891671252	1662.1	3351.8	Newtonia_fanovanae-ML94076.wav	C:\Users\pfmar\Downloads\Andean\Vangidae\Newtonia_fanovanae-ML94076.wav	1	n
17	Spectrogram 1	1	27.946018541	28.013751461	2133.0	4653.8	Newtonia_fanovanae-ML94076.wav	C:\Users\pfmar\Downloads\Andean\Vangidae\Newtonia_fanovanae-ML94076.wav	2	o
18	Spectrogram 1	1	28.055793048	28.102505407	4459.9	5235.5	Newtonia_fanovanae-ML94076.wav	C:\Users\pfmar\Downloads\Andean\Vangidae\Newtonia_fanovanae-ML94076.wav	2	p
19	Spectrogram 1	1	28.128196739	28.202936512	1994.5	4570.7	Newtonia_fanovanae-ML94076.wav	C:\Users\pfmar\Downloads\Andean\Vangidae\Newtonia_fanovanae-ML94076.wav	2	q
20	Spectrogram 1	1	28.237970781	28.287018758	4792.3	5512.5	Newtonia_fanovanae-ML94076.wav	C:\Users\pfmar\Downloads\Andean\Vangidae\Newtonia_fanovanae-ML94076.wav	2	r
21	Spectrogram 1	1	28.308039319	28.389785946	2188.4	4543.0	Newtonia_fanovanae-ML94076.wav	C:\Users\pfmar\Downloads\Andean\Vangidae\Newtonia_fanovanae-ML94076.wav	2	s
22	Spectrogram 1	1	28.434162687	28.485546281	4681.5	5484.8	Newtonia_fanovanae-ML94076.wav	C:\Users\pfmar\Downloads\Andean\Vangidae\Newtonia_fanovanae-ML94076.wav	2	r
23	Spectrogram 1	1	28.501895606	28.585977852	1994.5	4432.2	Newtonia_fanovanae-ML94076.wav	C:\Users\pfmar\Downloads\Andean\Vangidae\Newtonia_fanovanae-ML94076.wav	2	t
24	Spectrogram 1	1	28.616340885	28.667724479	4709.2	5512.5	Newtonia_fanovanae-ML94076.wav	C:\Users\pfmar\Downloads\Andean\Vangidae\Newtonia_fanovanae-ML94076.wav	2	r
25	Spectrogram 1	1	28.691080658	28.768156049	2049.9	4570.7	Newtonia_fanovanae-ML94076.wav	C:\Users\pfmar\Downloads\Andean\Vangidae\Newtonia_fanovanae-ML94076.wav	2	q
26	Spectrogram 1	1	28.812532790	28.861580766	4653.8	5346.3	Newtonia_fanovanae-ML94076.wav	C:\Users\pfmar\Downloads\Andean\Vangidae\Newtonia_fanovanae-ML94076.wav	2	r
27	Spectrogram 1	1	28.887272563	28.969019191	1939.1	4321.4	Newtonia_fanovanae-ML94076.wav	C:\Users\pfmar\Downloads\Andean\Vangidae\Newtonia_fanovanae-ML94076.wav	2	u
28	Spectrogram 1	1	29.013395931	29.060108290	4681.5	5512.5	Newtonia_fanovanae-ML94076.wav	C:\Users\pfmar\Downloads\Andean\Vangidae\Newtonia_fanovanae-ML94076.wav	2	v
29	Spectrogram 1	1	29.088135705	29.176889186	2049.9	4349.1	Newtonia_fanovanae-ML94076.wav	C:\Users\pfmar\Downloads\Andean\Vangidae\Newtonia_fanovanae-ML94076.wav	2	w
30	Spectrogram 1	1	29.218930308	29.265642667	4792.3	5290.9	Newtonia_fanovanae-ML94076.wav	C:\Users\pfmar\Downloads\Andean\Vangidae\Newtonia_fanovanae-ML94076.wav	2	x
31	Spectrogram 1	1	29.291334464	29.384759181	1994.5	4266.0	Newtonia_fanovanae-ML94076.wav	C:\Users\pfmar\Downloads\Andean\Vangidae\Newtonia_fanovanae-ML94076.wav	2	u
32	Spectrogram 1	1	29.422129068	29.468841426	4764.6	5429.4	Newtonia_fanovanae-ML94076.wav	C:\Users\pfmar\Downloads\Andean\Vangidae\Newtonia_fanovanae-ML94076.wav	2	x
33	Spectrogram 1	1	29.501540077	29.597300412	1856.0	4155.2	Newtonia_fanovanae-ML94076.wav	C:\Users\pfmar\Downloads\Andean\Vangidae\Newtonia_fanovanae-ML94076.wav	2	u
34	Spectrogram 1	1	29.629999611	29.686054441	4653.8	5318.6	Newtonia_fanovanae-ML94076.wav	C:\Users\pfmar\Downloads\Andean\Vangidae\Newtonia_fanovanae-ML94076.wav	2	r
35	Spectrogram 1	1	29.711746238	29.807506573	1828.3	4210.6	Newtonia_fanovanae-ML94076.wav	C:\Users\pfmar\Downloads\Andean\Vangidae\Newtonia_fanovanae-ML94076.wav	2	u
36	Spectrogram 1	1	29.844876460	29.875239493	4515.3	5235.5	Newtonia_fanovanae-ML94076.wav	C:\Users\pfmar\Downloads\Andean\Vangidae\Newtonia_fanovanae-ML94076.wav	2	x
37	Spectrogram 1	1	29.921951851	30.020047804	1745.2	4127.4	Newtonia_fanovanae-ML94076.wav	C:\Users\pfmar\Downloads\Andean\Vangidae\Newtonia_fanovanae-ML94076.wav	2	u
