Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	21.139653922	21.422276409	140.148	420.445	Nothocrax_urumutum-ML51301.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Cracidae\Cracidae\Nothocrax_urumutum-ML51301.wav	1	a
2	Spectrogram 1	1	21.611405922	22.004226653	70.074	443.803	Nothocrax_urumutum-ML51301.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Cracidae\Cracidae\Nothocrax_urumutum-ML51301.wav	1	b
3	Spectrogram 1	1	22.108856474	22.338307836	70.074	467.161	Nothocrax_urumutum-ML51301.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Cracidae\Cracidae\Nothocrax_urumutum-ML51301.wav	1	c
4	Spectrogram 1	1	22.782484318	23.094538170	70.074	397.087	Nothocrax_urumutum-ML51301.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Cracidae\Cracidae\Nothocrax_urumutum-ML51301.wav	1	a
5	Spectrogram 1	1	23.200585920	23.550591171	93.432	397.087	Nothocrax_urumutum-ML51301.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Cracidae\Cracidae\Nothocrax_urumutum-ML51301.wav	1	b
6	Spectrogram 1	1	23.564732798	24.085768053	93.432	443.803	Nothocrax_urumutum-ML51301.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Cracidae\Cracidae\Nothocrax_urumutum-ML51301.wav	1	d
7	Spectrogram 1	1	25.530991571	25.743922435	163.506	513.877	Nothocrax_urumutum-ML51301.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Cracidae\Cracidae\Nothocrax_urumutum-ML51301.wav	1	c
8	Spectrogram 1	1	33.954401830	34.304407081	70.074	420.445	Nothocrax_urumutum-ML51301.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Cracidae\Cracidae\Nothocrax_urumutum-ML51301.wav	2	a
9	Spectrogram 1	1	34.459964971	34.882004922	93.432	420.445	Nothocrax_urumutum-ML51301.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Cracidae\Cracidae\Nothocrax_urumutum-ML51301.wav	2	b
10	Spectrogram 1	1	34.976134332	35.205072440	93.432	490.519	Nothocrax_urumutum-ML51301.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Cracidae\Cracidae\Nothocrax_urumutum-ML51301.wav	2	c
11	Spectrogram 1	1	35.638276611	35.972357793	93.432	420.445	Nothocrax_urumutum-ML51301.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Cracidae\Cracidae\Nothocrax_urumutum-ML51301.wav	2	a
12	Spectrogram 1	1	36.050897933	36.390296965	116.790	397.087	Nothocrax_urumutum-ML51301.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Cracidae\Cracidae\Nothocrax_urumutum-ML51301.wav	2	b
13	Spectrogram 1	1	36.404438591	36.963586420	93.432	467.161	Nothocrax_urumutum-ML51301.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Cracidae\Cracidae\Nothocrax_urumutum-ML51301.wav	2	d
14	Spectrogram 1	1	38.592255402	38.816199931	70.074	537.235	Nothocrax_urumutum-ML51301.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Cracidae\Cracidae\Nothocrax_urumutum-ML51301.wav	2	c
15	Spectrogram 1	1	45.907604068	46.250538507	70.074	397.087	Nothocrax_urumutum-ML51301.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Cracidae\Cracidae\Nothocrax_urumutum-ML51301.wav	3	a
16	Spectrogram 1	1	46.397947484	46.838494098	70.074	467.161	Nothocrax_urumutum-ML51301.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Cracidae\Cracidae\Nothocrax_urumutum-ML51301.wav	3	b
17	Spectrogram 1	1	46.938978596	47.161709211	70.074	420.445	Nothocrax_urumutum-ML51301.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Cracidae\Cracidae\Nothocrax_urumutum-ML51301.wav	3	c
18	Spectrogram 1	1	47.603155795	47.962935530	93.432	443.803	Nothocrax_urumutum-ML51301.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Cracidae\Cracidae\Nothocrax_urumutum-ML51301.wav	3	a
19	Spectrogram 1	1	48.040031188	48.364711643	116.790	443.803	Nothocrax_urumutum-ML51301.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Cracidae\Cracidae\Nothocrax_urumutum-ML51301.wav	3	b
20	Spectrogram 1	1	48.392994895	49.012904962	93.432	443.803	Nothocrax_urumutum-ML51301.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Cracidae\Cracidae\Nothocrax_urumutum-ML51301.wav	3	d
21	Spectrogram 1	1	50.525448339	50.716351872	116.790	424.082	Nothocrax_urumutum-ML51301.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Cracidae\Cracidae\Nothocrax_urumutum-ML51301.wav	3	c
