Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	3.717404985	3.773178291	1329.6	2326.9	Numenius_phaeopus-ML29742811.wav	D:\Andean\Scolopacidae\Numenius_phaeopus-ML29742811.wav	1	a
2	Spectrogram 1	1	3.836148152	3.900917152	1329.6	2410.0	Numenius_phaeopus-ML29742811.wav	D:\Andean\Scolopacidae\Numenius_phaeopus-ML29742811.wav	1	a
3	Spectrogram 1	1	3.954891319	4.026856874	1440.5	2437.7	Numenius_phaeopus-ML29742811.wav	D:\Andean\Scolopacidae\Numenius_phaeopus-ML29742811.wav	1	a
4	Spectrogram 1	1	4.071835346	4.145600041	1301.9	2437.7	Numenius_phaeopus-ML29742811.wav	D:\Andean\Scolopacidae\Numenius_phaeopus-ML29742811.wav	1	a
5	Spectrogram 1	1	4.192377652	4.255347513	1274.2	2520.8	Numenius_phaeopus-ML29742811.wav	D:\Andean\Scolopacidae\Numenius_phaeopus-ML29742811.wav	1	a
6	Spectrogram 1	1	4.307522541	4.375889818	1440.5	2493.1	Numenius_phaeopus-ML29742811.wav	D:\Andean\Scolopacidae\Numenius_phaeopus-ML29742811.wav	1	a
7	Spectrogram 1	1	4.429863985	4.505427818	1301.9	2465.4	Numenius_phaeopus-ML29742811.wav	D:\Andean\Scolopacidae\Numenius_phaeopus-ML29742811.wav	1	a
8	Spectrogram 1	1	4.561201124	4.631367541	1301.9	2493.1	Numenius_phaeopus-ML29742811.wav	D:\Andean\Scolopacidae\Numenius_phaeopus-ML29742811.wav	1	a
9	Spectrogram 1	1	4.687140846	4.766302957	1689.8	2493.1	Numenius_phaeopus-ML29742811.wav	D:\Andean\Scolopacidae\Numenius_phaeopus-ML29742811.wav	1	a
10	Spectrogram 1	1	4.820277124	4.899439235	1662.1	2548.5	Numenius_phaeopus-ML29742811.wav	D:\Andean\Scolopacidae\Numenius_phaeopus-ML29742811.wav	1	a
11	Spectrogram 1	1	4.957011679	5.036173791	1911.4	2548.5	Numenius_phaeopus-ML29742811.wav	D:\Andean\Scolopacidae\Numenius_phaeopus-ML29742811.wav	1	a
12	Spectrogram 1	1	5.086549679	5.158515235	1856.0	2520.8	Numenius_phaeopus-ML29742811.wav	D:\Andean\Scolopacidae\Numenius_phaeopus-ML29742811.wav	1	a
13	Spectrogram 1	1	5.212489402	5.279057540	1800.6	2493.1	Numenius_phaeopus-ML29742811.wav	D:\Andean\Scolopacidae\Numenius_phaeopus-ML29742811.wav	1	a
14	Spectrogram 1	1	5.340228263	5.417591235	1717.5	2576.2	Numenius_phaeopus-ML29742811.wav	D:\Andean\Scolopacidae\Numenius_phaeopus-ML29742811.wav	1	a
15	Spectrogram 1	1	5.473364540	5.550727513	1551.3	2520.8	Numenius_phaeopus-ML29742811.wav	D:\Andean\Scolopacidae\Numenius_phaeopus-ML29742811.wav	1	a
16	Spectrogram 1	1	5.615496513	5.691060346	1551.3	2576.2	Numenius_phaeopus-ML29742811.wav	D:\Andean\Scolopacidae\Numenius_phaeopus-ML29742811.wav	1	a
17	Spectrogram 1	1	5.766624179	5.847585429	1689.8	2576.2	Numenius_phaeopus-ML29742811.wav	D:\Andean\Scolopacidae\Numenius_phaeopus-ML29742811.wav	1	a
18	Spectrogram 1	1	5.915952707	5.995114818	1551.3	2493.1	Numenius_phaeopus-ML29742811.wav	D:\Andean\Scolopacidae\Numenius_phaeopus-ML29742811.wav	1	a
19	Spectrogram 1	1	7.681874951	7.755639645	1246.5	2465.4	Numenius_phaeopus-ML29742811.wav	D:\Andean\Scolopacidae\Numenius_phaeopus-ML29742811.wav	2	a
20	Spectrogram 1	1	7.797019839	7.861788839	1301.9	2548.5	Numenius_phaeopus-ML29742811.wav	D:\Andean\Scolopacidae\Numenius_phaeopus-ML29742811.wav	2	a
21	Spectrogram 1	1	7.913963867	7.985929423	1495.9	2520.8	Numenius_phaeopus-ML29742811.wav	D:\Andean\Scolopacidae\Numenius_phaeopus-ML29742811.wav	2	a
22	Spectrogram 1	1	8.047100145	8.120864839	1717.5	2576.2	Numenius_phaeopus-ML29742811.wav	D:\Andean\Scolopacidae\Numenius_phaeopus-ML29742811.wav	2	a
23	Spectrogram 1	1	9.810991481	9.884756175	1634.4	2437.7	Numenius_phaeopus-ML29742811.wav	D:\Andean\Scolopacidae\Numenius_phaeopus-ML29742811.wav	3	a
24	Spectrogram 1	1	9.962119147	10.035883842	1634.4	2437.7	Numenius_phaeopus-ML29742811.wav	D:\Andean\Scolopacidae\Numenius_phaeopus-ML29742811.wav	3	a
25	Spectrogram 1	1	10.127639925	10.206802036	1606.7	2548.5	Numenius_phaeopus-ML29742811.wav	D:\Andean\Scolopacidae\Numenius_phaeopus-ML29742811.wav	3	a
26	Spectrogram 1	1	10.303955536	10.379519370	1772.9	2493.1	Numenius_phaeopus-ML29742811.wav	D:\Andean\Scolopacidae\Numenius_phaeopus-ML29742811.wav	3	a
