Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	11.188271247	11.333589148	2274.2	4943.9	Ocyceros_birostris-ML101476991.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Bucerotidae\Bucerotidae\Ocyceros_birostris-ML101476991.wav	1	a
2	Spectrogram 1	1	11.584137252	11.719433228	2224.8	4770.9	Ocyceros_birostris-ML101476991.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Bucerotidae\Bucerotidae\Ocyceros_birostris-ML101476991.wav	1	a
3	Spectrogram 1	1	11.887300458	12.020090953	2200.1	5611.4	Ocyceros_birostris-ML101476991.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Bucerotidae\Bucerotidae\Ocyceros_birostris-ML101476991.wav	1	b
4	Spectrogram 1	1	12.318243198	12.443517250	2298.9	4622.6	Ocyceros_birostris-ML101476991.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Bucerotidae\Bucerotidae\Ocyceros_birostris-ML101476991.wav	1	c
5	Spectrogram 1	1	12.646461214	12.759207861	2175.3	4573.2	Ocyceros_birostris-ML101476991.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Bucerotidae\Bucerotidae\Ocyceros_birostris-ML101476991.wav	1	c
6	Spectrogram 1	1	12.959646345	13.067382030	2274.2	4523.7	Ocyceros_birostris-ML101476991.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Bucerotidae\Bucerotidae\Ocyceros_birostris-ML101476991.wav	1	d
7	Spectrogram 1	1	13.322941096	13.440698705	2224.8	4400.1	Ocyceros_birostris-ML101476991.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Bucerotidae\Bucerotidae\Ocyceros_birostris-ML101476991.wav	1	d
8	Spectrogram 1	1	15.761219104	15.966668549	2249.5	3090.0	Ocyceros_birostris-ML101476991.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Bucerotidae\Bucerotidae\Ocyceros_birostris-ML101476991.wav	2	e
9	Spectrogram 1	1	16.635631988	16.846092396	2150.6	3040.5	Ocyceros_birostris-ML101476991.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Bucerotidae\Bucerotidae\Ocyceros_birostris-ML101476991.wav	2	e
10	Spectrogram 1	1	17.382265339	17.592725747	2249.5	3065.2	Ocyceros_birostris-ML101476991.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Bucerotidae\Bucerotidae\Ocyceros_birostris-ML101476991.wav	2	e
