Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	3.799758545	3.930860100	1845.3	4765.0	Oreolais_ruwenzorii-ML1252.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Cisticolidae\Oreolais_ruwenzorii-ML1252.wav	1	a
2	Spectrogram 1	1	3.994639235	4.115110935	1892.0	4695.0	Oreolais_ruwenzorii-ML1252.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Cisticolidae\Oreolais_ruwenzorii-ML1252.wav	1	a
3	Spectrogram 1	1	4.182433355	4.311763267	1892.0	4648.3	Oreolais_ruwenzorii-ML1252.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Cisticolidae\Oreolais_ruwenzorii-ML1252.wav	1	a
4	Spectrogram 1	1	4.373770759	4.503100672	1821.9	4624.9	Oreolais_ruwenzorii-ML1252.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Cisticolidae\Oreolais_ruwenzorii-ML1252.wav	1	a
5	Spectrogram 1	1	4.566793392	4.699666590	1774.4	4660.8	Oreolais_ruwenzorii-ML1252.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Cisticolidae\Oreolais_ruwenzorii-ML1252.wav	1	a
6	Spectrogram 1	1	4.763445725	4.883917424	1798.1	4613.5	Oreolais_ruwenzorii-ML1252.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Cisticolidae\Oreolais_ruwenzorii-ML1252.wav	1	a
7	Spectrogram 1	1	4.954783129	5.082341399	1845.4	4660.8	Oreolais_ruwenzorii-ML1252.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Cisticolidae\Oreolais_ruwenzorii-ML1252.wav	1	a
8	Spectrogram 1	1	5.151435462	5.282537017	1892.7	4589.8	Oreolais_ruwenzorii-ML1252.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Cisticolidae\Oreolais_ruwenzorii-ML1252.wav	1	a
9	Spectrogram 1	1	5.348087794	5.482732635	1845.4	4684.4	Oreolais_ruwenzorii-ML1252.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Cisticolidae\Oreolais_ruwenzorii-ML1252.wav	1	a
10	Spectrogram 1	1	5.542968484	5.665211826	1892.7	4542.5	Oreolais_ruwenzorii-ML1252.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Cisticolidae\Oreolais_ruwenzorii-ML1252.wav	1	a
