Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	184.208956388	184.238683951	1772.9	2216.1	Oriolus_percivali-ML23294.wav	E:\Andean\Oriolidae\Oriolus_percivali-ML23294.wav	1	a
2	Spectrogram 1	1	184.245290076	184.303093671	1440.5	2133.0	Oriolus_percivali-ML23294.wav	E:\Andean\Oriolidae\Oriolus_percivali-ML23294.wav	1	b
3	Spectrogram 1	1	184.314654390	184.410443203	803.3	1523.6	Oriolus_percivali-ML23294.wav	E:\Andean\Oriolidae\Oriolus_percivali-ML23294.wav	1	c
4	Spectrogram 1	1	184.436867704	184.491368236	526.3	886.4	Oriolus_percivali-ML23294.wav	E:\Andean\Oriolidae\Oriolus_percivali-ML23294.wav	1	d
5	Spectrogram 1	1	186.210159440	186.231629347	1856.0	2188.4	Oriolus_percivali-ML23294.wav	E:\Andean\Oriolidae\Oriolus_percivali-ML23294.wav	2	a
6	Spectrogram 1	1	186.243190066	186.305948254	1385.1	2105.3	Oriolus_percivali-ML23294.wav	E:\Andean\Oriolidae\Oriolus_percivali-ML23294.wav	2	b
7	Spectrogram 1	1	186.317508973	186.408343193	803.3	1440.5	Oriolus_percivali-ML23294.wav	E:\Andean\Oriolidae\Oriolus_percivali-ML23294.wav	2	c
8	Spectrogram 1	1	186.433116162	186.490919756	526.3	858.7	Oriolus_percivali-ML23294.wav	E:\Andean\Oriolidae\Oriolus_percivali-ML23294.wav	2	d
9	Spectrogram 1	1	188.887290356	188.907108731	1772.9	2216.1	Oriolus_percivali-ML23294.wav	E:\Andean\Oriolidae\Oriolus_percivali-ML23294.wav	3	a
10	Spectrogram 1	1	188.915366387	188.973169982	1495.9	2105.3	Oriolus_percivali-ML23294.wav	E:\Andean\Oriolidae\Oriolus_percivali-ML23294.wav	3	b
11	Spectrogram 1	1	188.986382232	189.085474108	803.3	1495.9	Oriolus_percivali-ML23294.wav	E:\Andean\Oriolidae\Oriolus_percivali-ML23294.wav	3	c
12	Spectrogram 1	1	189.105292483	189.171353734	554.0	914.1	Oriolus_percivali-ML23294.wav	E:\Andean\Oriolidae\Oriolus_percivali-ML23294.wav	3	d
