Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	48.222949433	48.336492542	1301.9	3157.9	Oriolus_sagittatus-ML101487571.wav	E:\Andean\Oriolidae\Oriolus_sagittatus-ML101487571.wav	1	a
2	Spectrogram 1	1	48.404205324	48.506600263	1329.6	3185.6	Oriolus_sagittatus-ML101487571.wav	E:\Andean\Oriolidae\Oriolus_sagittatus-ML101487571.wav	1	a
3	Spectrogram 1	1	48.516509451	48.574313045	1357.3	2160.7	Oriolus_sagittatus-ML101487571.wav	E:\Andean\Oriolidae\Oriolus_sagittatus-ML101487571.wav	1	b
4	Spectrogram 1	1	48.577963357	48.618836671	1246.5	1662.1	Oriolus_sagittatus-ML101487571.wav	E:\Andean\Oriolidae\Oriolus_sagittatus-ML101487571.wav	1	c
5	Spectrogram 1	1	48.624675716	48.676059310	1495.9	2188.4	Oriolus_sagittatus-ML101487571.wav	E:\Andean\Oriolidae\Oriolus_sagittatus-ML101487571.wav	1	b
6	Spectrogram 1	1	48.699415489	48.895607395	1191.1	2022.2	Oriolus_sagittatus-ML101487571.wav	E:\Andean\Oriolidae\Oriolus_sagittatus-ML101487571.wav	1	d
8	Spectrogram 1	1	58.660287894	58.767726318	1357.3	3241.0	Oriolus_sagittatus-ML101487571.wav	E:\Andean\Oriolidae\Oriolus_sagittatus-ML101487571.wav	2	a
9	Spectrogram 1	1	58.835459238	58.937058617	1329.6	3296.4	Oriolus_sagittatus-ML101487571.wav	E:\Andean\Oriolidae\Oriolus_sagittatus-ML101487571.wav	2	a
10	Spectrogram 1	1	58.947568898	59.002455919	1412.8	2216.1	Oriolus_sagittatus-ML101487571.wav	E:\Andean\Oriolidae\Oriolus_sagittatus-ML101487571.wav	2	b
11	Spectrogram 1	1	59.012966200	59.043329233	1301.9	1606.7	Oriolus_sagittatus-ML101487571.wav	E:\Andean\Oriolidae\Oriolus_sagittatus-ML101487571.wav	2	c
12	Spectrogram 1	1	59.048000469	59.097048445	1579.0	2160.7	Oriolus_sagittatus-ML101487571.wav	E:\Andean\Oriolidae\Oriolus_sagittatus-ML101487571.wav	2	b
13	Spectrogram 1	1	59.133250523	59.314260912	1274.2	1994.5	Oriolus_sagittatus-ML101487571.wav	E:\Andean\Oriolidae\Oriolus_sagittatus-ML101487571.wav	2	d
14	Spectrogram 1	1	73.588130906	73.697904948	1357.3	3379.5	Oriolus_sagittatus-ML101487571.wav	E:\Andean\Oriolidae\Oriolus_sagittatus-ML101487571.wav	3	a
15	Spectrogram 1	1	73.769141295	73.867237247	1357.3	3351.8	Oriolus_sagittatus-ML101487571.wav	E:\Andean\Oriolidae\Oriolus_sagittatus-ML101487571.wav	3	a
16	Spectrogram 1	1	73.878915337	73.940809212	1357.3	2188.4	Oriolus_sagittatus-ML101487571.wav	E:\Andean\Oriolidae\Oriolus_sagittatus-ML101487571.wav	3	b
17	Spectrogram 1	1	73.943144830	73.974675672	1218.8	1606.7	Oriolus_sagittatus-ML101487571.wav	E:\Andean\Oriolidae\Oriolus_sagittatus-ML101487571.wav	3	c
18	Spectrogram 1	1	73.982850335	74.033066120	1606.7	2216.1	Oriolus_sagittatus-ML101487571.wav	E:\Andean\Oriolidae\Oriolus_sagittatus-ML101487571.wav	3	b
19	Spectrogram 1	1	74.059925726	74.254949822	1246.5	2022.2	Oriolus_sagittatus-ML101487571.wav	E:\Andean\Oriolidae\Oriolus_sagittatus-ML101487571.wav	3	d
