Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	5.431688134	5.519184983	285.500	3799.500	Ortalis_poliocephala-ML153248731.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Cracidae\Cracidae\Ortalis_poliocephala-ML153248731.wav	1	a
2	Spectrogram 1	1	5.626681112	5.706678231	241.600	3975.100	Ortalis_poliocephala-ML153248731.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Cracidae\Cracidae\Ortalis_poliocephala-ML153248731.wav	1	a
3	Spectrogram 1	1	5.796674990	5.884171839	285.500	3953.200	Ortalis_poliocephala-ML153248731.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Cracidae\Cracidae\Ortalis_poliocephala-ML153248731.wav	1	a
4	Spectrogram 1	1	5.979168417	6.109163736	329.400	4150.800	Ortalis_poliocephala-ML153248731.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Cracidae\Cracidae\Ortalis_poliocephala-ML153248731.wav	1	b
5	Spectrogram 1	1	6.216659864	6.334155633	263.500	4172.800	Ortalis_poliocephala-ML153248731.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Cracidae\Cracidae\Ortalis_poliocephala-ML153248731.wav	1	c
6	Spectrogram 1	1	6.391653562	6.641644559	175.700	4128.900	Ortalis_poliocephala-ML153248731.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Cracidae\Cracidae\Ortalis_poliocephala-ML153248731.wav	1	d
7	Spectrogram 1	1	6.699142488	6.809138527	241.600	4128.900	Ortalis_poliocephala-ML153248731.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Cracidae\Cracidae\Ortalis_poliocephala-ML153248731.wav	1	e
8	Spectrogram 1	1	6.844137267	7.295063797	263.500	4150.800	Ortalis_poliocephala-ML153248731.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Cracidae\Cracidae\Ortalis_poliocephala-ML153248731.wav	1	f
9	Spectrogram 1	1	7.331426001	7.461421319	334.100	4033.000	Ortalis_poliocephala-ML153248731.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Cracidae\Cracidae\Ortalis_poliocephala-ML153248731.wav	1	c
10	Spectrogram 1	1	7.692549482	8.077535617	290.500	4033.000	Ortalis_poliocephala-ML153248731.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Cracidae\Cracidae\Ortalis_poliocephala-ML153248731.wav	1	g
11	Spectrogram 1	1	8.128252822	8.259062866	334.100	4152.300	Ortalis_poliocephala-ML153248731.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Cracidae\Cracidae\Ortalis_poliocephala-ML153248731.wav	1	b
12	Spectrogram 1	1	12.647621016	12.722618315	286.400	3694.400	Ortalis_poliocephala-ML153248731.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Cracidae\Cracidae\Ortalis_poliocephala-ML153248731.wav	2	a
13	Spectrogram 1	1	12.847613813	12.932610752	262.500	4072.600	Ortalis_poliocephala-ML153248731.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Cracidae\Cracidae\Ortalis_poliocephala-ML153248731.wav	2	a
14	Spectrogram 1	1	13.032607151	13.125103820	238.600	4043.500	Ortalis_poliocephala-ML153248731.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Cracidae\Cracidae\Ortalis_poliocephala-ML153248731.wav	2	a
15	Spectrogram 1	1	13.225100218	13.425093016	334.100	4072.600	Ortalis_poliocephala-ML153248731.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Cracidae\Cracidae\Ortalis_poliocephala-ML153248731.wav	2	h
16	Spectrogram 1	1	13.527589325	13.642585183	286.400	4152.300	Ortalis_poliocephala-ML153248731.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Cracidae\Cracidae\Ortalis_poliocephala-ML153248731.wav	2	c
17	Spectrogram 1	1	13.700083112	13.935074649	310.200	4152.300	Ortalis_poliocephala-ML153248731.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Cracidae\Cracidae\Ortalis_poliocephala-ML153248731.wav	2	i
18	Spectrogram 1	1	14.005072129	14.115068167	190.900	4176.100	Ortalis_poliocephala-ML153248731.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Cracidae\Cracidae\Ortalis_poliocephala-ML153248731.wav	2	c
19	Spectrogram 1	1	14.262562222	14.357558800	214.800	4223.900	Ortalis_poliocephala-ML153248731.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Cracidae\Cracidae\Ortalis_poliocephala-ML153248731.wav	2	c
