Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	14.081995090	14.200905342	3850.4	4487.6	Parus_monticolus-ML146380001.wav	D:\Andean\Paridae\Parus_monticolus-ML146380001.wav	1	a
2	Spectrogram 1	1	14.372664594	14.517999346	3684.2	4432.2	Parus_monticolus-ML146380001.wav	D:\Andean\Paridae\Parus_monticolus-ML146380001.wav	1	a
3	Spectrogram 1	1	14.663334098	14.841699475	3601.1	4376.8	Parus_monticolus-ML146380001.wav	D:\Andean\Paridae\Parus_monticolus-ML146380001.wav	1	a
4	Spectrogram 1	1	15.026670977	15.172005729	3573.4	4349.1	Parus_monticolus-ML146380001.wav	D:\Andean\Paridae\Parus_monticolus-ML146380001.wav	1	a
5	Spectrogram 1	1	15.323946606	15.495705858	3656.5	4432.2	Parus_monticolus-ML146380001.wav	D:\Andean\Paridae\Parus_monticolus-ML146380001.wav	1	a
6	Spectrogram 1	1	15.647646735	15.812799862	3601.1	4321.4	Parus_monticolus-ML146380001.wav	D:\Andean\Paridae\Parus_monticolus-ML146380001.wav	1	a
7	Spectrogram 1	1	15.964740739	16.136499991	3628.8	4432.2	Parus_monticolus-ML146380001.wav	D:\Andean\Paridae\Parus_monticolus-ML146380001.wav	1	a
8	Spectrogram 1	1	16.288440868	16.453593995	3601.1	4321.4	Parus_monticolus-ML146380001.wav	D:\Andean\Paridae\Parus_monticolus-ML146380001.wav	1	a
9	Spectrogram 1	1	16.605534872	16.770687999	3518.0	4432.2	Parus_monticolus-ML146380001.wav	D:\Andean\Paridae\Parus_monticolus-ML146380001.wav	1	a
10	Spectrogram 1	1	16.935841126	17.107600379	3573.4	4432.2	Parus_monticolus-ML146380001.wav	D:\Andean\Paridae\Parus_monticolus-ML146380001.wav	1	a
11	Spectrogram 1	1	17.266147381	17.437906633	3573.4	4349.1	Parus_monticolus-ML146380001.wav	D:\Andean\Paridae\Parus_monticolus-ML146380001.wav	1	a
12	Spectrogram 1	1	17.570029134	17.735182261	3601.1	4432.2	Parus_monticolus-ML146380001.wav	D:\Andean\Paridae\Parus_monticolus-ML146380001.wav	1	a
13	Spectrogram 1	1	17.913547639	18.072094641	3601.1	4376.8	Parus_monticolus-ML146380001.wav	D:\Andean\Paridae\Parus_monticolus-ML146380001.wav	1	a
14	Spectrogram 1	1	18.257066143	18.422219270	3601.1	4432.2	Parus_monticolus-ML146380001.wav	D:\Andean\Paridae\Parus_monticolus-ML146380001.wav	1	a
15	Spectrogram 1	1	21.781733426	21.913855927	3739.6	4626.1	Parus_monticolus-ML146380001.wav	D:\Andean\Paridae\Parus_monticolus-ML146380001.wav	2	a
16	Spectrogram 1	1	22.079009054	22.224343806	3684.2	4515.3	Parus_monticolus-ML146380001.wav	D:\Andean\Paridae\Parus_monticolus-ML146380001.wav	2	a
17	Spectrogram 1	1	22.415921434	22.574468436	3628.8	4432.2	Parus_monticolus-ML146380001.wav	D:\Andean\Paridae\Parus_monticolus-ML146380001.wav	2	a
18	Spectrogram 1	1	22.713197062	22.871744064	3573.4	4321.4	Parus_monticolus-ML146380001.wav	D:\Andean\Paridae\Parus_monticolus-ML146380001.wav	2	a
19	Spectrogram 1	1	23.036897192	23.195444194	3684.2	4459.9	Parus_monticolus-ML146380001.wav	D:\Andean\Paridae\Parus_monticolus-ML146380001.wav	2	a
20	Spectrogram 1	1	23.367203446	23.525750448	3601.1	4404.5	Parus_monticolus-ML146380001.wav	D:\Andean\Paridae\Parus_monticolus-ML146380001.wav	2	a
21	Spectrogram 1	1	23.671085200	23.836238327	3573.4	4404.5	Parus_monticolus-ML146380001.wav	D:\Andean\Paridae\Parus_monticolus-ML146380001.wav	2	a
22	Spectrogram 1	1	23.974966953	24.146726206	3628.8	4321.4	Parus_monticolus-ML146380001.wav	D:\Andean\Paridae\Parus_monticolus-ML146380001.wav	2	a
23	Spectrogram 1	1	24.305273208	24.463820210	3573.4	4321.4	Parus_monticolus-ML146380001.wav	D:\Andean\Paridae\Parus_monticolus-ML146380001.wav	2	a
24	Spectrogram 1	1	24.609154961	24.780914213	3601.1	4321.4	Parus_monticolus-ML146380001.wav	D:\Andean\Paridae\Parus_monticolus-ML146380001.wav	2	a
25	Spectrogram 1	1	24.959279591	25.124432718	3628.8	4321.4	Parus_monticolus-ML146380001.wav	D:\Andean\Paridae\Parus_monticolus-ML146380001.wav	2	a
26	Spectrogram 1	1	25.302798095	25.481163472	3628.8	4321.4	Parus_monticolus-ML146380001.wav	D:\Andean\Paridae\Parus_monticolus-ML146380001.wav	2	a
27	Spectrogram 1	1	25.606679849	25.771832976	3573.4	4321.4	Parus_monticolus-ML146380001.wav	D:\Andean\Paridae\Parus_monticolus-ML146380001.wav	2	a
28	Spectrogram 1	1	25.956804478	26.108745355	3545.7	4404.5	Parus_monticolus-ML146380001.wav	D:\Andean\Paridae\Parus_monticolus-ML146380001.wav	2	a
29	Spectrogram 1	1	30.678222491	30.797132743	3739.6	4543.0	Parus_monticolus-ML146380001.wav	D:\Andean\Paridae\Parus_monticolus-ML146380001.wav	3	a
30	Spectrogram 1	1	30.962285870	31.120832872	3656.5	4515.3	Parus_monticolus-ML146380001.wav	D:\Andean\Paridae\Parus_monticolus-ML146380001.wav	3	a
31	Spectrogram 1	1	31.272773749	31.437926876	3545.7	4432.2	Parus_monticolus-ML146380001.wav	D:\Andean\Paridae\Parus_monticolus-ML146380001.wav	3	a
32	Spectrogram 1	1	31.609686128	31.774839255	3601.1	4432.2	Parus_monticolus-ML146380001.wav	D:\Andean\Paridae\Parus_monticolus-ML146380001.wav	3	a
