Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	19.476954462	19.496772838	5872.6	8504.2	Passer_melanurus-ML212080961.wav	D:\Andean\Passeridae\Passer_melanurus-ML212080961.wav	1	a
2	Spectrogram 1	1	19.508333557	19.529803463	3878.1	6121.9	Passer_melanurus-ML212080961.wav	D:\Andean\Passeridae\Passer_melanurus-ML212080961.wav	1	b
3	Spectrogram 1	1	19.533106526	19.547970307	2603.9	3157.9	Passer_melanurus-ML212080961.wav	D:\Andean\Passeridae\Passer_melanurus-ML212080961.wav	1	c
4	Spectrogram 1	1	19.554576432	19.574394807	2659.3	3905.8	Passer_melanurus-ML212080961.wav	D:\Andean\Passeridae\Passer_melanurus-ML212080961.wav	1	a
5	Spectrogram 1	1	20.002141406	20.015353657	5041.6	7507.0	Passer_melanurus-ML212080961.wav	D:\Andean\Passeridae\Passer_melanurus-ML212080961.wav	1	a
6	Spectrogram 1	1	20.025262844	20.099581751	2548.5	4792.3	Passer_melanurus-ML212080961.wav	D:\Andean\Passeridae\Passer_melanurus-ML212080961.wav	1	d
7	Spectrogram 1	1	20.106187877	20.167294534	2465.4	3074.8	Passer_melanurus-ML212080961.wav	D:\Andean\Passeridae\Passer_melanurus-ML212080961.wav	1	e
8	Spectrogram 1	1	20.608253242	20.642935399	2659.3	4404.5	Passer_melanurus-ML212080961.wav	D:\Andean\Passeridae\Passer_melanurus-ML212080961.wav	1	f
9	Spectrogram 1	1	20.641283868	20.659450712	4570.7	6675.9	Passer_melanurus-ML212080961.wav	D:\Andean\Passeridae\Passer_melanurus-ML212080961.wav	1	a
10	Spectrogram 1	1	20.652844587	20.704042056	3047.1	4487.6	Passer_melanurus-ML212080961.wav	D:\Andean\Passeridae\Passer_melanurus-ML212080961.wav	1	f
11	Spectrogram 1	1	21.075636592	21.103712623	5651.0	8781.2	Passer_melanurus-ML212080961.wav	D:\Andean\Passeridae\Passer_melanurus-ML212080961.wav	2	a
12	Spectrogram 1	1	21.108667217	21.133440186	3518.0	5983.4	Passer_melanurus-ML212080961.wav	D:\Andean\Passeridae\Passer_melanurus-ML212080961.wav	2	b
13	Spectrogram 1	1	21.133440186	21.151607030	2576.2	3241.0	Passer_melanurus-ML212080961.wav	D:\Andean\Passeridae\Passer_melanurus-ML212080961.wav	2	c
14	Spectrogram 1	1	21.156561624	21.173076937	2770.1	4044.3	Passer_melanurus-ML212080961.wav	D:\Andean\Passeridae\Passer_melanurus-ML212080961.wav	2	a
15	Spectrogram 1	1	21.573661638	21.590176951	5069.3	7534.7	Passer_melanurus-ML212080961.wav	D:\Andean\Passeridae\Passer_melanurus-ML212080961.wav	2	a
17	Spectrogram 1	1	21.591752435	21.675980530	2603.9	5318.6	Passer_melanurus-ML212080961.wav	D:\Andean\Passeridae\Passer_melanurus-ML212080961.wav	2	d
18	Spectrogram 1	1	21.684238186	21.746996375	2465.4	3074.8	Passer_melanurus-ML212080961.wav	D:\Andean\Passeridae\Passer_melanurus-ML212080961.wav	2	e
19	Spectrogram 1	1	22.100424067	22.136757755	2770.1	4543.0	Passer_melanurus-ML212080961.wav	D:\Andean\Passeridae\Passer_melanurus-ML212080961.wav	2	f
20	Spectrogram 1	1	22.136757755	22.156576130	4515.3	7036.1	Passer_melanurus-ML212080961.wav	D:\Andean\Passeridae\Passer_melanurus-ML212080961.wav	3	a
21	Spectrogram 1	1	22.149970005	22.199515943	2991.7	4543.0	Passer_melanurus-ML212080961.wav	D:\Andean\Passeridae\Passer_melanurus-ML212080961.wav	3	f
22	Spectrogram 1	1	22.533125260	22.561201291	5651.0	8531.9	Passer_melanurus-ML212080961.wav	D:\Andean\Passeridae\Passer_melanurus-ML212080961.wav	3	a
23	Spectrogram 1	1	22.567807416	22.594231917	3573.4	6205.0	Passer_melanurus-ML212080961.wav	D:\Andean\Passeridae\Passer_melanurus-ML212080961.wav	3	b
24	Spectrogram 1	1	22.590928854	22.607444167	2493.1	3185.6	Passer_melanurus-ML212080961.wav	D:\Andean\Passeridae\Passer_melanurus-ML212080961.wav	3	c
25	Spectrogram 1	1	22.614050292	22.635520198	2770.1	3961.2	Passer_melanurus-ML212080961.wav	D:\Andean\Passeridae\Passer_melanurus-ML212080961.wav	3	a
26	Spectrogram 1	1	23.031887617	23.051705992	5069.3	7645.5	Passer_melanurus-ML212080961.wav	D:\Andean\Passeridae\Passer_melanurus-ML212080961.wav	3	a
27	Spectrogram 1	1	23.056660586	23.139237150	2603.9	4875.4	Passer_melanurus-ML212080961.wav	D:\Andean\Passeridae\Passer_melanurus-ML212080961.wav	3	d
28	Spectrogram 1	1	23.144191744	23.205298401	2437.7	2991.7	Passer_melanurus-ML212080961.wav	D:\Andean\Passeridae\Passer_melanurus-ML212080961.wav	3	e
29	Spectrogram 1	1	23.603317369	23.634696463	2687.0	4515.3	Passer_melanurus-ML212080961.wav	D:\Andean\Passeridae\Passer_melanurus-ML212080961.wav	3	f
30	Spectrogram 1	1	23.628090338	23.647908713	4570.7	6980.7	Passer_melanurus-ML212080961.wav	D:\Andean\Passeridae\Passer_melanurus-ML212080961.wav	3	a
31	Spectrogram 1	1	23.646257182	23.694151588	2991.7	4543.0	Passer_melanurus-ML212080961.wav	D:\Andean\Passeridae\Passer_melanurus-ML212080961.wav	3	f
