Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	6.466426165	6.583354579	3369.4	5153.3	Passerina_leclancherii-ML48250521.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Cardinalidae\Passerina_leclancherii-ML48250521.wav	1	k
2	Spectrogram 1	1	6.749888987	6.912880110	2824.4	4955.1	Passerina_leclancherii-ML48250521.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Cardinalidae\Passerina_leclancherii-ML48250521.wav	1	i
3	Spectrogram 1	1	7.036895094	7.242405640	2527.1	4756.9	Passerina_leclancherii-ML48250521.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Cardinalidae\Passerina_leclancherii-ML48250521.wav	1	j
4	Spectrogram 1	1	7.447916186	7.628623735	2328.9	5301.9	Passerina_leclancherii-ML48250521.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Cardinalidae\Passerina_leclancherii-ML48250521.wav	1	c
5	Spectrogram 1	1	7.858937277	8.043188111	3022.6	5301.9	Passerina_leclancherii-ML48250521.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Cardinalidae\Passerina_leclancherii-ML48250521.wav	1	l
6	Spectrogram 1	1	8.234525516	8.418776350	2130.7	5054.2	Passerina_leclancherii-ML48250521.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Cardinalidae\Passerina_leclancherii-ML48250521.wav	1	e
7	Spectrogram 1	1	8.649089893	8.769561592	3022.6	4806.4	Passerina_leclancherii-ML48250521.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Cardinalidae\Passerina_leclancherii-ML48250521.wav	1	f
8	Spectrogram 1	1	8.900663147	9.092000552	2229.8	4261.3	Passerina_leclancherii-ML48250521.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Cardinalidae\Passerina_leclancherii-ML48250521.wav	1	g
9	Spectrogram 1	1	9.293967812	9.471132076	2675.7	5202.8	Passerina_leclancherii-ML48250521.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Cardinalidae\Passerina_leclancherii-ML48250521.wav	1	m
10	Spectrogram 1	1	9.683729192	9.821917318	2626.2	4905.5	Passerina_leclancherii-ML48250521.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Cardinalidae\Passerina_leclancherii-ML48250521.wav	1	n
11	Spectrogram 1	1	9.949475588	10.147899563	2229.8	4310.9	Passerina_leclancherii-ML48250521.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Cardinalidae\Passerina_leclancherii-ML48250521.wav	1	
12	Spectrogram 1	1	10.307347400	10.502228090	2428.0	6342.5	Passerina_leclancherii-ML48250521.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Cardinalidae\Passerina_leclancherii-ML48250521.wav	1	h
13	Spectrogram 1	1	18.412370017	18.500952149	3164.1	6229.4	Passerina_leclancherii-ML48250521.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Cardinalidae\Passerina_leclancherii-ML48250521.wav	2	a
14	Spectrogram 1	1	18.674573127	18.805674682	2966.4	4696.7	Passerina_leclancherii-ML48250521.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Cardinalidae\Passerina_leclancherii-ML48250521.wav	2	b
15	Spectrogram 1	1	19.018271799	19.202522633	2719.2	6278.8	Passerina_leclancherii-ML48250521.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Cardinalidae\Passerina_leclancherii-ML48250521.wav	2	c
16	Spectrogram 1	1	19.425749605	19.610000439	2669.7	5339.5	Passerina_leclancherii-ML48250521.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Cardinalidae\Passerina_leclancherii-ML48250521.wav	2	d
17	Spectrogram 1	1	19.783621417	19.964328966	2076.5	4696.7	Passerina_leclancherii-ML48250521.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Cardinalidae\Passerina_leclancherii-ML48250521.wav	2	e
18	Spectrogram 1	1	20.115457281	20.246558836	2916.9	4746.2	Passerina_leclancherii-ML48250521.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Cardinalidae\Passerina_leclancherii-ML48250521.wav	2	f
19	Spectrogram 1	1	20.356400679	20.551281369	2274.2	4251.8	Passerina_leclancherii-ML48250521.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Cardinalidae\Passerina_leclancherii-ML48250521.wav	2	g
20	Spectrogram 1	1	20.671753069	20.863090473	2422.5	6476.6	Passerina_leclancherii-ML48250521.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Cardinalidae\Passerina_leclancherii-ML48250521.wav	2	h
21	Spectrogram 1	1	20.994192028	21.143010010	3015.8	4845.1	Passerina_leclancherii-ML48250521.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Cardinalidae\Passerina_leclancherii-ML48250521.wav	2	i
22	Spectrogram 1	1	21.316630988	21.500881822	2373.1	4449.6	Passerina_leclancherii-ML48250521.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Cardinalidae\Passerina_leclancherii-ML48250521.wav	2	j
23	Spectrogram 1	1	27.725493176	27.824705164	3460.8	5438.3	Passerina_leclancherii-ML48250521.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Cardinalidae\Passerina_leclancherii-ML48250521.wav	3	k
24	Spectrogram 1	1	28.012499283	28.161317265	2620.3	4943.9	Passerina_leclancherii-ML48250521.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Cardinalidae\Passerina_leclancherii-ML48250521.wav	3	i
25	Spectrogram 1	1	28.327851673	28.505015936	2323.7	4647.3	Passerina_leclancherii-ML48250521.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Cardinalidae\Passerina_leclancherii-ML48250521.wav	3	j
26	Spectrogram 1	1	28.745959335	28.923123598	2570.9	5636.1	Passerina_leclancherii-ML48250521.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Cardinalidae\Passerina_leclancherii-ML48250521.wav	3	c
27	Spectrogram 1	1	29.071941580	29.270365555	3164.1	5487.8	Passerina_leclancherii-ML48250521.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Cardinalidae\Passerina_leclancherii-ML48250521.wav	3	l
28	Spectrogram 1	1	29.458159674	29.645953794	2323.7	4597.9	Passerina_leclancherii-ML48250521.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Cardinalidae\Passerina_leclancherii-ML48250521.wav	3	e
29	Spectrogram 1	1	29.805401631	29.929416615	2966.4	4943.9	Passerina_leclancherii-ML48250521.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Cardinalidae\Passerina_leclancherii-ML48250521.wav	3	f
30	Spectrogram 1	1	30.046345029	30.223509293	2422.5	4301.2	Passerina_leclancherii-ML48250521.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Cardinalidae\Passerina_leclancherii-ML48250521.wav	3	j
