Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	6.500463864	6.592244409	4321.2	8549.0	Pericrocotus_cinnamomeus-ML57990501.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Campephagidae\Pericrocotus_cinnamomeus-ML57990501.wav	1	a
2	Spectrogram 1	1	6.669340067	6.757449389	4368.0	8525.7	Pericrocotus_cinnamomeus-ML57990501.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Campephagidae\Pericrocotus_cinnamomeus-ML57990501.wav	1	a
3	Spectrogram 1	1	6.834545047	6.918983148	4227.8	8525.7	Pericrocotus_cinnamomeus-ML57990501.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Campephagidae\Pericrocotus_cinnamomeus-ML57990501.wav	1	a
4	Spectrogram 1	1	6.977722697	7.067667631	4251.2	8549.0	Pericrocotus_cinnamomeus-ML57990501.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Campephagidae\Pericrocotus_cinnamomeus-ML57990501.wav	1	aa
5	Spectrogram 1	1	7.192489171	7.265913607	3410.3	5839.5	Pericrocotus_cinnamomeus-ML57990501.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Campephagidae\Pericrocotus_cinnamomeus-ML57990501.wav	1	b
6	Spectrogram 1	1	7.317310712	7.377885872	3363.6	5839.5	Pericrocotus_cinnamomeus-ML57990501.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Campephagidae\Pericrocotus_cinnamomeus-ML57990501.wav	1	b
7	Spectrogram 1	1	7.471502027	7.502707413	3340.2	5349.0	Pericrocotus_cinnamomeus-ML57990501.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Campephagidae\Pericrocotus_cinnamomeus-ML57990501.wav	1	c
8	Spectrogram 1	1	7.546762074	7.585309903	3200.1	5092.1	Pericrocotus_cinnamomeus-ML57990501.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Campephagidae\Pericrocotus_cinnamomeus-ML57990501.wav	1	d
9	Spectrogram 1	1	7.629364564	7.658734339	3246.8	5185.5	Pericrocotus_cinnamomeus-ML57990501.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Campephagidae\Pericrocotus_cinnamomeus-ML57990501.wav	1	d
10	Spectrogram 1	1	7.702789000	7.741336829	3223.4	5208.8	Pericrocotus_cinnamomeus-ML57990501.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Campephagidae\Pericrocotus_cinnamomeus-ML57990501.wav	1	d
11	Spectrogram 1	1	7.790898323	7.822103708	3130.0	5185.5	Pericrocotus_cinnamomeus-ML57990501.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Campephagidae\Pericrocotus_cinnamomeus-ML57990501.wav	1	d
12	Spectrogram 1	1	7.873500813	7.910213031	3130.0	5208.8	Pericrocotus_cinnamomeus-ML57990501.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Campephagidae\Pericrocotus_cinnamomeus-ML57990501.wav	1	d
13	Spectrogram 1	1	7.932240362	7.961610136	3176.7	5208.8	Pericrocotus_cinnamomeus-ML57990501.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Campephagidae\Pericrocotus_cinnamomeus-ML57990501.wav	1	d
14	Spectrogram 1	1	8.066716845	8.103429063	3013.2	5232.2	Pericrocotus_cinnamomeus-ML57990501.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Campephagidae\Pericrocotus_cinnamomeus-ML57990501.wav	1	d
15	Spectrogram 1	1	8.156661779	8.191538386	2943.1	5185.5	Pericrocotus_cinnamomeus-ML57990501.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Campephagidae\Pericrocotus_cinnamomeus-ML57990501.wav	1	d
16	Spectrogram 1	1	8.259455989	8.294332596	3200.1	5512.5	Pericrocotus_cinnamomeus-ML57990501.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Campephagidae\Pericrocotus_cinnamomeus-ML57990501.wav	1	c
