Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	51.909182863	52.318432312	3238.3	4968.7	Periporphyrus_erythromelas-ML63317.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Cardinalidae\Periporphyrus_erythromelas-ML63317.wav	1	a
2	Spectrogram 1	1	52.497866725	53.385459686	1755.1	4400.1	Periporphyrus_erythromelas-ML63317.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Cardinalidae\Periporphyrus_erythromelas-ML63317.wav	1	b
3	Spectrogram 1	1	53.509333517	54.175471148	1928.1	3188.8	Periporphyrus_erythromelas-ML63317.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Cardinalidae\Periporphyrus_erythromelas-ML63317.wav	1	c
4	Spectrogram 1	1	62.413618343	62.798064795	4400.1	8998.0	Periporphyrus_erythromelas-ML63317.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Cardinalidae\Periporphyrus_erythromelas-ML63317.wav	2	d
5	Spectrogram 1	1	63.367119435	64.056288420	1903.4	3782.1	Periporphyrus_erythromelas-ML63317.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Cardinalidae\Periporphyrus_erythromelas-ML63317.wav	2	e
6	Spectrogram 1	1	64.203334759	64.752543976	1730.4	3015.8	Periporphyrus_erythromelas-ML63317.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Cardinalidae\Periporphyrus_erythromelas-ML63317.wav	2	f
7	Spectrogram 1	1	64.868697762	65.510032396	1433.7	3065.2	Periporphyrus_erythromelas-ML63317.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Cardinalidae\Periporphyrus_erythromelas-ML63317.wav	2	g
8	Spectrogram 1	1	65.642905594	65.974202767	2224.8	3090.0	Periporphyrus_erythromelas-ML63317.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Cardinalidae\Periporphyrus_erythromelas-ML63317.wav	2	h
9	Spectrogram 1	1	76.486075985	76.572886474	5586.7	7391.2	Periporphyrus_erythromelas-ML63317.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Cardinalidae\Periporphyrus_erythromelas-ML63317.wav	3	i
10	Spectrogram 1	1	77.283174017	77.685336895	3139.4	4573.2	Periporphyrus_erythromelas-ML63317.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Cardinalidae\Periporphyrus_erythromelas-ML63317.wav	3	a
11	Spectrogram 1	1	77.851871303	78.725291123	1829.3	4499.0	Periporphyrus_erythromelas-ML63317.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Cardinalidae\Periporphyrus_erythromelas-ML63317.wav	3	b
12	Spectrogram 1	1	78.837901623	79.472149687	1705.7	3040.5	Periporphyrus_erythromelas-ML63317.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Cardinalidae\Periporphyrus_erythromelas-ML63317.wav	3	c
13	Spectrogram 1	1	79.605022885	80.294191870	840.5	2274.2	Periporphyrus_erythromelas-ML63317.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Cardinalidae\Periporphyrus_erythromelas-ML63317.wav	3	j
