Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	1.498433815	1.636314672	850.500	3307.500	Perisoreus_infaustus-ML59178601.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Corvidae\Corvidae\Perisoreus_infaustus-ML59178601.wav	1	a
2	Spectrogram 1	1	1.738841462	1.871419209	819.000	3307.500	Perisoreus_infaustus-ML59178601.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Corvidae\Corvidae\Perisoreus_infaustus-ML59178601.wav	1	a
3	Spectrogram 1	1	1.975713703	2.115362263	1102.500	3276.000	Perisoreus_infaustus-ML59178601.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Corvidae\Corvidae\Perisoreus_infaustus-ML59178601.wav	1	a
4	Spectrogram 1	1	2.225843719	2.355769911	1165.500	3213.000	Perisoreus_infaustus-ML59178601.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Corvidae\Corvidae\Perisoreus_infaustus-ML59178601.wav	1	a
5	Spectrogram 1	1	31.104407129	31.230018003	1102.500	3276.000	Perisoreus_infaustus-ML59178601.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Corvidae\Corvidae\Perisoreus_infaustus-ML59178601.wav	2	a
6	Spectrogram 1	1	31.357901069	31.483758864	1212.800	3307.500	Perisoreus_infaustus-ML59178601.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Corvidae\Corvidae\Perisoreus_infaustus-ML59178601.wav	2	a
7	Spectrogram 1	1	31.597866407	31.726250131	1008.000	3181.500	Perisoreus_infaustus-ML59178601.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Corvidae\Corvidae\Perisoreus_infaustus-ML59178601.wav	2	a
8	Spectrogram 1	1	31.862751841	31.983740858	913.500	3150.000	Perisoreus_infaustus-ML59178601.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Corvidae\Corvidae\Perisoreus_infaustus-ML59178601.wav	2	a
9	Spectrogram 1	1	70.181308946	70.295396949	1212.700	3118.500	Perisoreus_infaustus-ML59178601.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Corvidae\Corvidae\Perisoreus_infaustus-ML59178601.wav	3	a
10	Spectrogram 1	1	70.415600773	70.548178520	1118.200	3055.500	Perisoreus_infaustus-ML59178601.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Corvidae\Corvidae\Perisoreus_infaustus-ML59178601.wav	3	a
11	Spectrogram 1	1	70.694898071	70.818637302	1165.500	3181.500	Perisoreus_infaustus-ML59178601.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Corvidae\Corvidae\Perisoreus_infaustus-ML59178601.wav	3	a
12	Spectrogram 1	1	70.936189570	71.063464207	1165.500	3150.000	Perisoreus_infaustus-ML59178601.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Corvidae\Corvidae\Perisoreus_infaustus-ML59178601.wav	3	a
13	Spectrogram 1	1	71.190738844	71.302988003	1086.800	3118.500	Perisoreus_infaustus-ML59178601.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Corvidae\Corvidae\Perisoreus_infaustus-ML59178601.wav	3	a
