Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	1.461898785	1.479415919	3351.8	5013.9	Petroica_goodenovii-ML99572771.wav	D:\Andean\Petroicidae\Petroica_goodenovii-ML99572771.wav	1	a
2	Spectrogram 1	1	1.597364624	1.616049567	3074.8	4847.7	Petroica_goodenovii-ML99572771.wav	D:\Andean\Petroicidae\Petroica_goodenovii-ML99572771.wav	1	a
3	Spectrogram 1	1	1.672104398	1.688453723	2687.0	3711.9	Petroica_goodenovii-ML99572771.wav	D:\Andean\Petroicidae\Petroica_goodenovii-ML99572771.wav	1	b
4	Spectrogram 1	1	1.704803048	1.731662655	2299.2	3047.1	Petroica_goodenovii-ML99572771.wav	D:\Andean\Petroicidae\Petroica_goodenovii-ML99572771.wav	1	c
5	Spectrogram 1	1	1.737501699	1.753851025	2216.1	2687.0	Petroica_goodenovii-ML99572771.wav	D:\Andean\Petroicidae\Petroica_goodenovii-ML99572771.wav	1	d
6	Spectrogram 1	1	1.783046249	1.798227765	2271.5	3379.5	Petroica_goodenovii-ML99572771.wav	D:\Andean\Petroicidae\Petroica_goodenovii-ML99572771.wav	1	e
7	Spectrogram 1	1	1.812241473	1.827422989	2299.2	3379.5	Petroica_goodenovii-ML99572771.wav	D:\Andean\Petroicidae\Petroica_goodenovii-ML99572771.wav	1	e
8	Spectrogram 1	1	1.846107933	1.860121640	2243.8	3379.5	Petroica_goodenovii-ML99572771.wav	D:\Andean\Petroicidae\Petroica_goodenovii-ML99572771.wav	1	e
9	Spectrogram 1	1	1.877638775	1.890484673	2188.4	3490.3	Petroica_goodenovii-ML99572771.wav	D:\Andean\Petroicidae\Petroica_goodenovii-ML99572771.wav	1	e
10	Spectrogram 1	1	1.911505234	1.922015515	2216.1	3351.8	Petroica_goodenovii-ML99572771.wav	D:\Andean\Petroicidae\Petroica_goodenovii-ML99572771.wav	1	e
11	Spectrogram 1	1	1.945371694	1.955881975	2271.5	3434.9	Petroica_goodenovii-ML99572771.wav	D:\Andean\Petroicidae\Petroica_goodenovii-ML99572771.wav	1	e
12	Spectrogram 1	1	1.979238154	1.990916244	2299.2	3434.9	Petroica_goodenovii-ML99572771.wav	D:\Andean\Petroicidae\Petroica_goodenovii-ML99572771.wav	1	e
13	Spectrogram 1	1	2.013104614	2.023614895	2465.4	3434.9	Petroica_goodenovii-ML99572771.wav	D:\Andean\Petroicidae\Petroica_goodenovii-ML99572771.wav	1	e
14	Spectrogram 1	1	2.050474501	2.060984781	2659.3	3711.9	Petroica_goodenovii-ML99572771.wav	D:\Andean\Petroicidae\Petroica_goodenovii-ML99572771.wav	1	e
15	Spectrogram 1	1	2.085508770	2.108864949	2271.5	2770.1	Petroica_goodenovii-ML99572771.wav	D:\Andean\Petroicidae\Petroica_goodenovii-ML99572771.wav	1	c
16	Spectrogram 1	1	2.117039612	2.132221128	2105.3	2603.9	Petroica_goodenovii-ML99572771.wav	D:\Andean\Petroicidae\Petroica_goodenovii-ML99572771.wav	1	d
17	Spectrogram 1	1	2.168423206	2.188275958	2271.5	3795.0	Petroica_goodenovii-ML99572771.wav	D:\Andean\Petroicidae\Petroica_goodenovii-ML99572771.wav	1	b
18	Spectrogram 1	1	2.219806800	2.227981463	2576.2	3296.4	Petroica_goodenovii-ML99572771.wav	D:\Andean\Petroicidae\Petroica_goodenovii-ML99572771.wav	1	e
19	Spectrogram 1	1	2.237323935	2.249002024	2770.1	9446.0	Petroica_goodenovii-ML99572771.wav	D:\Andean\Petroicidae\Petroica_goodenovii-ML99572771.wav	1	f
20	Spectrogram 1	1	4.402434035	4.417615552	3019.4	4875.4	Petroica_goodenovii-ML99572771.wav	D:\Andean\Petroicidae\Petroica_goodenovii-ML99572771.wav	2	a
21	Spectrogram 1	1	4.542571111	4.560088245	2964.0	4598.4	Petroica_goodenovii-ML99572771.wav	D:\Andean\Petroicidae\Petroica_goodenovii-ML99572771.wav	2	a
22	Spectrogram 1	1	4.619646502	4.634828019	2299.2	3601.1	Petroica_goodenovii-ML99572771.wav	D:\Andean\Petroicidae\Petroica_goodenovii-ML99572771.wav	2	b
23	Spectrogram 1	1	4.653512962	4.676869141	2271.5	2880.9	Petroica_goodenovii-ML99572771.wav	D:\Andean\Petroicidae\Petroica_goodenovii-ML99572771.wav	2	c
24	Spectrogram 1	1	4.683875995	4.695554085	2326.9	2714.7	Petroica_goodenovii-ML99572771.wav	D:\Andean\Petroicidae\Petroica_goodenovii-ML99572771.wav	2	d
25	Spectrogram 1	1	4.727084927	4.743434252	2105.3	3324.1	Petroica_goodenovii-ML99572771.wav	D:\Andean\Petroicidae\Petroica_goodenovii-ML99572771.wav	2	e
26	Spectrogram 1	1	4.759783577	4.772629476	2077.6	3407.2	Petroica_goodenovii-ML99572771.wav	D:\Andean\Petroicidae\Petroica_goodenovii-ML99572771.wav	2	e
27	Spectrogram 1	1	4.793650037	4.804160318	2077.6	3379.5	Petroica_goodenovii-ML99572771.wav	D:\Andean\Petroicidae\Petroica_goodenovii-ML99572771.wav	2	e
28	Spectrogram 1	1	4.821677452	4.834523351	2160.7	3351.8	Petroica_goodenovii-ML99572771.wav	D:\Andean\Petroicidae\Petroica_goodenovii-ML99572771.wav	2	e
29	Spectrogram 1	1	4.855543912	4.868389811	2188.4	3379.5	Petroica_goodenovii-ML99572771.wav	D:\Andean\Petroicidae\Petroica_goodenovii-ML99572771.wav	2	e
30	Spectrogram 1	1	4.888242563	4.901088462	2243.8	3351.8	Petroica_goodenovii-ML99572771.wav	D:\Andean\Petroicidae\Petroica_goodenovii-ML99572771.wav	2	e
31	Spectrogram 1	1	4.922109023	4.933787113	2271.5	3407.2	Petroica_goodenovii-ML99572771.wav	D:\Andean\Petroicidae\Petroica_goodenovii-ML99572771.wav	2	e
32	Spectrogram 1	1	4.954807674	4.968821381	2382.3	3518.0	Petroica_goodenovii-ML99572771.wav	D:\Andean\Petroicidae\Petroica_goodenovii-ML99572771.wav	2	e
33	Spectrogram 1	1	4.987506325	5.002687841	2465.4	3545.7	Petroica_goodenovii-ML99572771.wav	D:\Andean\Petroicidae\Petroica_goodenovii-ML99572771.wav	2	e
