Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	114.510318902	114.651735165	1449.5	4304.6	Phacellodomus_erythrophthalmus-ML103631.wav	E:\Escritorio\Cantos\Furnariidae\Phacellodomus_erythrophthalmus-ML103631.wav	1	a
2	Spectrogram 1	1	114.764868176	114.923961472	1319.0	4480.3	Phacellodomus_erythrophthalmus-ML103631.wav	E:\Escritorio\Cantos\Furnariidae\Phacellodomus_erythrophthalmus-ML103631.wav	1	b
3	Spectrogram 1	1	115.026488263	115.189116966	1383.6	4590.1	Phacellodomus_erythrophthalmus-ML103631.wav	E:\Escritorio\Cantos\Furnariidae\Phacellodomus_erythrophthalmus-ML103631.wav	1	c
4	Spectrogram 1	1	115.302249976	115.457807866	1393.7	4703.7	Phacellodomus_erythrophthalmus-ML103631.wav	E:\Escritorio\Cantos\Furnariidae\Phacellodomus_erythrophthalmus-ML103631.wav	1	c
5	Spectrogram 1	1	115.574476283	115.744175799	1393.7	4653.9	Phacellodomus_erythrophthalmus-ML103631.wav	E:\Escritorio\Cantos\Furnariidae\Phacellodomus_erythrophthalmus-ML103631.wav	1	c
6	Spectrogram 1	1	115.882056656	116.048220765	1294.1	4454.8	Phacellodomus_erythrophthalmus-ML103631.wav	E:\Escritorio\Cantos\Furnariidae\Phacellodomus_erythrophthalmus-ML103631.wav	1	b
7	Spectrogram 1	1	116.196707842	116.366407357	1219.5	4380.1	Phacellodomus_erythrophthalmus-ML103631.wav	E:\Escritorio\Cantos\Furnariidae\Phacellodomus_erythrophthalmus-ML103631.wav	1	b
8	Spectrogram 1	1	119.559840278	119.708327354	1393.7	4255.7	Phacellodomus_erythrophthalmus-ML103631.wav	E:\Escritorio\Cantos\Furnariidae\Phacellodomus_erythrophthalmus-ML103631.wav	2	a
9	Spectrogram 1	1	119.828531178	119.973482848	1343.9	4454.8	Phacellodomus_erythrophthalmus-ML103631.wav	E:\Escritorio\Cantos\Furnariidae\Phacellodomus_erythrophthalmus-ML103631.wav	2	b
10	Spectrogram 1	1	120.097222078	120.259850781	1319.0	4678.8	Phacellodomus_erythrophthalmus-ML103631.wav	E:\Escritorio\Cantos\Furnariidae\Phacellodomus_erythrophthalmus-ML103631.wav	2	c
11	Spectrogram 1	1	120.380054605	120.546218714	1244.4	4728.6	Phacellodomus_erythrophthalmus-ML103631.wav	E:\Escritorio\Cantos\Furnariidae\Phacellodomus_erythrophthalmus-ML103631.wav	2	c
12	Spectrogram 1	1	120.673493351	120.832586648	1269.2	4703.7	Phacellodomus_erythrophthalmus-ML103631.wav	E:\Escritorio\Cantos\Furnariidae\Phacellodomus_erythrophthalmus-ML103631.wav	2	c
13	Spectrogram 1	1	120.970467504	121.133096207	1468.3	4604.1	Phacellodomus_erythrophthalmus-ML103631.wav	E:\Escritorio\Cantos\Furnariidae\Phacellodomus_erythrophthalmus-ML103631.wav	2	c
14	Spectrogram 1	1	121.278047877	121.433605767	1294.1	4604.1	Phacellodomus_erythrophthalmus-ML103631.wav	E:\Escritorio\Cantos\Furnariidae\Phacellodomus_erythrophthalmus-ML103631.wav	2	c
15	Spectrogram 1	1	129.689519401	129.830935664	1449.5	4063.0	Phacellodomus_erythrophthalmus-ML103631.wav	E:\Escritorio\Cantos\Furnariidae\Phacellodomus_erythrophthalmus-ML103631.wav	3	a
16	Spectrogram 1	1	129.954674894	130.113768191	1383.6	4304.6	Phacellodomus_erythrophthalmus-ML103631.wav	E:\Escritorio\Cantos\Furnariidae\Phacellodomus_erythrophthalmus-ML103631.wav	3	d
17	Spectrogram 1	1	130.226901201	130.385994497	1449.5	4634.0	Phacellodomus_erythrophthalmus-ML103631.wav	E:\Escritorio\Cantos\Furnariidae\Phacellodomus_erythrophthalmus-ML103631.wav	3	c
18	Spectrogram 1	1	130.506198321	130.675897837	1339.7	4677.9	Phacellodomus_erythrophthalmus-ML103631.wav	E:\Escritorio\Cantos\Furnariidae\Phacellodomus_erythrophthalmus-ML103631.wav	3	c
19	Spectrogram 1	1	130.789030848	130.965801177	1339.7	4677.9	Phacellodomus_erythrophthalmus-ML103631.wav	E:\Escritorio\Cantos\Furnariidae\Phacellodomus_erythrophthalmus-ML103631.wav	3	c
20	Spectrogram 1	1	131.103682034	131.269846143	1317.7	4546.2	Phacellodomus_erythrophthalmus-ML103631.wav	E:\Escritorio\Cantos\Furnariidae\Phacellodomus_erythrophthalmus-ML103631.wav	3	b
21	Spectrogram 1	1	131.411262406	131.580961922	1251.8	4480.3	Phacellodomus_erythrophthalmus-ML103631.wav	E:\Escritorio\Cantos\Furnariidae\Phacellodomus_erythrophthalmus-ML103631.wav	3	b
22	Spectrogram 1	1	131.729448999	131.902683921	1383.6	4282.6	Phacellodomus_erythrophthalmus-ML103631.wav	E:\Escritorio\Cantos\Furnariidae\Phacellodomus_erythrophthalmus-ML103631.wav	3	d
