Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	2.103042411	2.177451402	3460.8	4103.5	Pheucticus_tibialis-ML209442.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Cardinalidae\Pheucticus_tibialis-ML209442.wav	1	a
2	Spectrogram 1	1	2.439654512	2.622133703	3905.7	5685.5	Pheucticus_tibialis-ML209442.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Cardinalidae\Pheucticus_tibialis-ML209442.wav	1	b
3	Spectrogram 1	1	2.861305459	3.063272720	2274.2	3361.9	Pheucticus_tibialis-ML209442.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Cardinalidae\Pheucticus_tibialis-ML209442.wav	1	c
4	Spectrogram 1	1	3.284728049	3.380396751	2101.2	2793.3	Pheucticus_tibialis-ML209442.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Cardinalidae\Pheucticus_tibialis-ML209442.wav	1	d
5	Spectrogram 1	1	3.493781880	3.610710294	2892.2	3534.9	Pheucticus_tibialis-ML209442.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Cardinalidae\Pheucticus_tibialis-ML209442.wav	1	e
6	Spectrogram 1	1	3.833937709	4.027046757	988.8	2274.2	Pheucticus_tibialis-ML209442.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Cardinalidae\Pheucticus_tibialis-ML209442.wav	1	f
7	Spectrogram 1	1	4.046534826	4.179408023	2249.5	2719.2	Pheucticus_tibialis-ML209442.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Cardinalidae\Pheucticus_tibialis-ML209442.wav	1	g
8	Spectrogram 1	1	4.363658857	4.613460469	939.3	2298.9	Pheucticus_tibialis-ML209442.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Cardinalidae\Pheucticus_tibialis-ML209442.wav	1	h
9	Spectrogram 1	1	4.698499680	4.739247461	2422.5	5290.0	Pheucticus_tibialis-ML209442.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Cardinalidae\Pheucticus_tibialis-ML209442.wav	1	i
10	Spectrogram 1	1	4.787081812	4.834916163	2546.1	5141.7	Pheucticus_tibialis-ML209442.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Cardinalidae\Pheucticus_tibialis-ML209442.wav	1	i
11	Spectrogram 1	1	4.875663944	4.928813223	2447.3	5067.5	Pheucticus_tibialis-ML209442.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Cardinalidae\Pheucticus_tibialis-ML209442.wav	1	i
