Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	47.979387067	48.080843392	2966.4	5982.2	Phrygilus_gayi-ML167945.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Phrygilus_gayi-ML167945.wav	1	a
2	Spectrogram 1	1	48.603343463	48.711563542	2224.8	4672.0	Phrygilus_gayi-ML167945.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Phrygilus_gayi-ML167945.wav	1	b
3	Spectrogram 1	1	48.725091052	48.780892031	2298.9	4968.7	Phrygilus_gayi-ML167945.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Phrygilus_gayi-ML167945.wav	1	c
4	Spectrogram 1	1	49.281264405	49.357356648	2249.5	5759.7	Phrygilus_gayi-ML167945.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Phrygilus_gayi-ML167945.wav	1	d
5	Spectrogram 1	1	49.365811342	49.404702933	2867.5	4301.2	Phrygilus_gayi-ML167945.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Phrygilus_gayi-ML167945.wav	1	e
6	Spectrogram 1	1	49.401321055	49.445285463	4449.6	5784.4	Phrygilus_gayi-ML167945.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Phrygilus_gayi-ML167945.wav	1	f
7	Spectrogram 1	1	52.944793419	53.047940682	3040.5	5092.3	Phrygilus_gayi-ML167945.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Phrygilus_gayi-ML167945.wav	2	a
8	Spectrogram 1	1	53.475748183	53.580586385	2298.9	5018.1	Phrygilus_gayi-ML167945.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Phrygilus_gayi-ML167945.wav	2	b
9	Spectrogram 1	1	53.590732018	53.651605813	2348.4	5042.8	Phrygilus_gayi-ML167945.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Phrygilus_gayi-ML167945.wav	2	c
10	Spectrogram 1	1	54.096322702	54.169033067	2249.5	5883.3	Phrygilus_gayi-ML167945.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Phrygilus_gayi-ML167945.wav	2	d
11	Spectrogram 1	1	54.177487761	54.216379352	2842.8	4499.0	Phrygilus_gayi-ML167945.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Phrygilus_gayi-ML167945.wav	2	e
12	Spectrogram 1	1	54.214688413	54.260343759	4449.6	5883.3	Phrygilus_gayi-ML167945.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Phrygilus_gayi-ML167945.wav	2	f
13	Spectrogram 1	1	54.676023703	54.775789088	2867.5	5141.7	Phrygilus_gayi-ML167945.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Phrygilus_gayi-ML167945.wav	3	a
14	Spectrogram 1	1	55.159632183	55.262779446	2298.9	4548.4	Phrygilus_gayi-ML167945.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Phrygilus_gayi-ML167945.wav	3	b
15	Spectrogram 1	1	55.279688833	55.337180750	2274.2	4993.4	Phrygilus_gayi-ML167945.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Phrygilus_gayi-ML167945.wav	3	c
16	Spectrogram 1	1	55.781897639	55.851226128	2472.0	5685.5	Phrygilus_gayi-ML167945.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Phrygilus_gayi-ML167945.wav	3	d
17	Spectrogram 1	1	55.859680822	55.903645229	2867.5	4326.0	Phrygilus_gayi-ML167945.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Phrygilus_gayi-ML167945.wav	3	e
18	Spectrogram 1	1	55.900263351	55.942536820	4350.7	5660.8	Phrygilus_gayi-ML167945.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Phrygilus_gayi-ML167945.wav	3	f
