Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	2.553009636	2.609064466	4451.9	5708.9	Phylloscopus_subviridis-ML88622331.wav	D:\Andean\Phylloscopidae\Phylloscopus_subviridis-ML88622331.wav	1	a
2	Spectrogram 1	1	2.996777041	3.071516815	8537.2	9715.6	Phylloscopus_subviridis-ML88622331.wav	D:\Andean\Phylloscopidae\Phylloscopus_subviridis-ML88622331.wav	1	b
3	Spectrogram 1	1	3.286393664	3.365804673	7882.5	9898.9	Phylloscopus_subviridis-ML88622331.wav	D:\Andean\Phylloscopidae\Phylloscopus_subviridis-ML88622331.wav	1	b
4	Spectrogram 1	1	3.573674668	3.667099385	7803.9	9479.9	Phylloscopus_subviridis-ML88622331.wav	D:\Andean\Phylloscopidae\Phylloscopus_subviridis-ML88622331.wav	1	b
5	Spectrogram 1	1	3.863291290	3.945037918	7699.2	9427.6	Phylloscopus_subviridis-ML88622331.wav	D:\Andean\Phylloscopidae\Phylloscopus_subviridis-ML88622331.wav	1	b
6	Spectrogram 1	1	4.157579149	4.246332630	7542.0	9427.6	Phylloscopus_subviridis-ML88622331.wav	D:\Andean\Phylloscopidae\Phylloscopus_subviridis-ML88622331.wav	1	c
7	Spectrogram 1	1	4.416832738	4.503250601	7646.8	10029.9	Phylloscopus_subviridis-ML88622331.wav	D:\Andean\Phylloscopidae\Phylloscopus_subviridis-ML88622331.wav	1	b
8	Spectrogram 1	1	4.666663125	4.754194282	3116.3	8380.0	Phylloscopus_subviridis-ML88622331.wav	D:\Andean\Phylloscopidae\Phylloscopus_subviridis-ML88622331.wav	1	d
9	Spectrogram 1	1	4.813649408	4.999446676	3849.6	9663.2	Phylloscopus_subviridis-ML88622331.wav	D:\Andean\Phylloscopidae\Phylloscopus_subviridis-ML88622331.wav	1	e
10	Spectrogram 1	1	5.058901802	5.072114052	5316.1	9872.7	Phylloscopus_subviridis-ML88622331.wav	D:\Andean\Phylloscopidae\Phylloscopus_subviridis-ML88622331.wav	1	f
11	Spectrogram 1	1	5.088629365	5.107621974	3823.4	9453.7	Phylloscopus_subviridis-ML88622331.wav	D:\Andean\Phylloscopidae\Phylloscopus_subviridis-ML88622331.wav	1	f
13	Spectrogram 1	1	5.159221691	5.172433942	3980.5	8615.7	Phylloscopus_subviridis-ML88622331.wav	D:\Andean\Phylloscopidae\Phylloscopus_subviridis-ML88622331.wav	1	f
