Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	22.161578975	22.245661221	6704.0	7856.3	Picumnus_lafresnayi-ML218192.wav	D:\Andean\Picidae\Picumnus_lafresnayi-ML218192.wav	1	a
2	Spectrogram 1	1	22.339229585	22.464745961	7646.8	8877.6	Picumnus_lafresnayi-ML218192.wav	D:\Andean\Picidae\Picumnus_lafresnayi-ML218192.wav	1	b
3	Spectrogram 1	1	22.550625587	22.715778714	7149.2	8380.0	Picumnus_lafresnayi-ML218192.wav	D:\Andean\Picidae\Picumnus_lafresnayi-ML218192.wav	1	b
4	Spectrogram 1	1	22.854507341	23.013054343	6730.2	8353.9	Picumnus_lafresnayi-ML218192.wav	D:\Andean\Picidae\Picumnus_lafresnayi-ML218192.wav	1	b
5	Spectrogram 1	1	23.171601345	23.336754472	6677.9	8039.6	Picumnus_lafresnayi-ML218192.wav	D:\Andean\Picidae\Picumnus_lafresnayi-ML218192.wav	1	b
6	Spectrogram 1	1	23.482089224	23.607605601	6599.3	8039.6	Picumnus_lafresnayi-ML218192.wav	D:\Andean\Picidae\Picumnus_lafresnayi-ML218192.wav	1	b
7	Spectrogram 1	1	23.792621274	23.904925401	6494.5	7280.2	Picumnus_lafresnayi-ML218192.wav	D:\Andean\Picidae\Picumnus_lafresnayi-ML218192.wav	1	c
8	Spectrogram 1	1	25.963964952	26.048047197	6677.9	8039.6	Picumnus_lafresnayi-ML218192.wav	D:\Andean\Picidae\Picumnus_lafresnayi-ML218192.wav	2	a
9	Spectrogram 1	1	26.164176088	26.263267964	7751.5	8694.3	Picumnus_lafresnayi-ML218192.wav	D:\Andean\Picidae\Picumnus_lafresnayi-ML218192.wav	2	b
10	Spectrogram 1	1	26.395390466	26.540725218	6965.9	8380.0	Picumnus_lafresnayi-ML218192.wav	D:\Andean\Picidae\Picumnus_lafresnayi-ML218192.wav	2	b
11	Spectrogram 1	1	26.679453844	26.831394721	6625.5	8249.1	Picumnus_lafresnayi-ML218192.wav	D:\Andean\Picidae\Picumnus_lafresnayi-ML218192.wav	2	b
12	Spectrogram 1	1	27.003153973	27.155094850	6494.5	8013.4	Picumnus_lafresnayi-ML218192.wav	D:\Andean\Picidae\Picumnus_lafresnayi-ML218192.wav	2	b
13	Spectrogram 1	1	27.307035727	27.425945979	6546.9	8144.4	Picumnus_lafresnayi-ML218192.wav	D:\Andean\Picidae\Picumnus_lafresnayi-ML218192.wav	2	b
14	Spectrogram 1	1	27.577930947	27.690235073	6468.3	7725.4	Picumnus_lafresnayi-ML218192.wav	D:\Andean\Picidae\Picumnus_lafresnayi-ML218192.wav	2	b
15	Spectrogram 1	1	29.663583740	29.757008457	6573.1	7699.2	Picumnus_lafresnayi-ML218192.wav	D:\Andean\Picidae\Picumnus_lafresnayi-ML218192.wav	3	a
16	Spectrogram 1	1	29.820776278	29.906655904	7489.7	8432.4	Picumnus_lafresnayi-ML218192.wav	D:\Andean\Picidae\Picumnus_lafresnayi-ML218192.wav	3	b
17	Spectrogram 1	1	30.018960030	30.124658032	7699.2	8772.9	Picumnus_lafresnayi-ML218192.wav	D:\Andean\Picidae\Picumnus_lafresnayi-ML218192.wav	3	b
18	Spectrogram 1	1	30.250174408	30.382296910	7149.2	8432.4	Picumnus_lafresnayi-ML218192.wav	D:\Andean\Picidae\Picumnus_lafresnayi-ML218192.wav	3	b
19	Spectrogram 1	1	30.534237787	30.659754163	6677.9	8170.5	Picumnus_lafresnayi-ML218192.wav	D:\Andean\Picidae\Picumnus_lafresnayi-ML218192.wav	3	b
20	Spectrogram 1	1	30.871150166	31.009878793	6599.3	7987.2	Picumnus_lafresnayi-ML218192.wav	D:\Andean\Picidae\Picumnus_lafresnayi-ML218192.wav	3	b
21	Spectrogram 1	1	31.188244170	31.300548296	6861.2	8144.4	Picumnus_lafresnayi-ML218192.wav	D:\Andean\Picidae\Picumnus_lafresnayi-ML218192.wav	3	b
22	Spectrogram 1	1	31.409483495	31.515181496	6756.4	8144.4	Picumnus_lafresnayi-ML218192.wav	D:\Andean\Picidae\Picumnus_lafresnayi-ML218192.wav	3	b
