Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	75.874428602	75.892595446	3268.7	3878.1	Poecile_superciliosus-ML25046.wav	D:\Andean\Paridae\Poecile_superciliosus-ML25046.wav	1	a
2	Spectrogram 1	1	75.900853102	75.920671477	2299.2	3462.6	Poecile_superciliosus-ML25046.wav	D:\Andean\Paridae\Poecile_superciliosus-ML25046.wav	1	b
3	Spectrogram 1	1	75.928929134	76.037930198	2991.7	3490.3	Poecile_superciliosus-ML25046.wav	D:\Andean\Paridae\Poecile_superciliosus-ML25046.wav	1	c
4	Spectrogram 1	1	76.115552167	76.127112886	3711.9	4321.4	Poecile_superciliosus-ML25046.wav	D:\Andean\Paridae\Poecile_superciliosus-ML25046.wav	1	a
5	Spectrogram 1	1	76.140324784	76.163446222	2382.3	3462.6	Poecile_superciliosus-ML25046.wav	D:\Andean\Paridae\Poecile_superciliosus-ML25046.wav	1	b
6	Spectrogram 1	1	76.170052347	76.265841161	2936.3	3379.5	Poecile_superciliosus-ML25046.wav	D:\Andean\Paridae\Poecile_superciliosus-ML25046.wav	1	c
7	Spectrogram 1	1	76.336857358	76.346766545	3157.9	4099.7	Poecile_superciliosus-ML25046.wav	D:\Andean\Paridae\Poecile_superciliosus-ML25046.wav	1	a
8	Spectrogram 1	1	76.359978444	76.378145287	2271.5	3379.5	Poecile_superciliosus-ML25046.wav	D:\Andean\Paridae\Poecile_superciliosus-ML25046.wav	1	b
9	Spectrogram 1	1	76.391357538	76.503661664	2964.0	3462.6	Poecile_superciliosus-ML25046.wav	D:\Andean\Paridae\Poecile_superciliosus-ML25046.wav	1	c
10	Spectrogram 1	1	76.569723267	76.582935517	3351.8	4155.2	Poecile_superciliosus-ML25046.wav	D:\Andean\Paridae\Poecile_superciliosus-ML25046.wav	1	a
11	Spectrogram 1	1	76.592844353	76.612662728	2022.2	3351.8	Poecile_superciliosus-ML25046.wav	D:\Andean\Paridae\Poecile_superciliosus-ML25046.wav	1	b
12	Spectrogram 1	1	76.622571916	76.756345949	2936.3	3490.3	Poecile_superciliosus-ML25046.wav	D:\Andean\Paridae\Poecile_superciliosus-ML25046.wav	1	c
13	Spectrogram 1	1	76.809195301	76.827362145	3407.2	4099.7	Poecile_superciliosus-ML25046.wav	D:\Andean\Paridae\Poecile_superciliosus-ML25046.wav	1	a
14	Spectrogram 1	1	76.835619450	76.853786293	2160.7	3351.8	Poecile_superciliosus-ML25046.wav	D:\Andean\Paridae\Poecile_superciliosus-ML25046.wav	1	b
15	Spectrogram 1	1	76.865347012	76.977651139	2908.6	3434.9	Poecile_superciliosus-ML25046.wav	D:\Andean\Paridae\Poecile_superciliosus-ML25046.wav	1	c
16	Spectrogram 1	1	77.047015452	77.063530765	3379.5	4044.3	Poecile_superciliosus-ML25046.wav	D:\Andean\Paridae\Poecile_superciliosus-ML25046.wav	1	a
17	Spectrogram 1	1	77.068485359	77.096561390	2243.8	3213.3	Poecile_superciliosus-ML25046.wav	D:\Andean\Paridae\Poecile_superciliosus-ML25046.wav	1	b
18	Spectrogram 1	1	77.103167515	77.205562454	2936.3	3407.2	Poecile_superciliosus-ML25046.wav	D:\Andean\Paridae\Poecile_superciliosus-ML25046.wav	1	c
19	Spectrogram 1	1	77.276578299	77.289790549	3268.7	3905.8	Poecile_superciliosus-ML25046.wav	D:\Andean\Paridae\Poecile_superciliosus-ML25046.wav	1	a
20	Spectrogram 1	1	77.304654330	77.322821174	2465.4	3379.5	Poecile_superciliosus-ML25046.wav	D:\Andean\Paridae\Poecile_superciliosus-ML25046.wav	1	b
21	Spectrogram 1	1	77.327775768	77.435125301	3019.4	3434.9	Poecile_superciliosus-ML25046.wav	D:\Andean\Paridae\Poecile_superciliosus-ML25046.wav	1	c
22	Spectrogram 1	1	81.791621191	81.803181910	3490.3	4127.4	Poecile_superciliosus-ML25046.wav	D:\Andean\Paridae\Poecile_superciliosus-ML25046.wav	2	a
23	Spectrogram 1	1	81.819697223	81.837864067	2964.0	3490.3	Poecile_superciliosus-ML25046.wav	D:\Andean\Paridae\Poecile_superciliosus-ML25046.wav	2	b
24	Spectrogram 1	1	81.847773255	81.950168193	2964.0	3573.4	Poecile_superciliosus-ML25046.wav	D:\Andean\Paridae\Poecile_superciliosus-ML25046.wav	2	c
25	Spectrogram 1	1	82.011274850	82.029441694	3518.0	4072.0	Poecile_superciliosus-ML25046.wav	D:\Andean\Paridae\Poecile_superciliosus-ML25046.wav	2	a
26	Spectrogram 1	1	82.044305476	82.062472320	2603.9	3379.5	Poecile_superciliosus-ML25046.wav	D:\Andean\Paridae\Poecile_superciliosus-ML25046.wav	2	b
27	Spectrogram 1	1	82.070729976	82.166518790	2936.3	3434.9	Poecile_superciliosus-ML25046.wav	D:\Andean\Paridae\Poecile_superciliosus-ML25046.wav	2	c
28	Spectrogram 1	1	82.244140759	82.257353010	3490.3	4016.6	Poecile_superciliosus-ML25046.wav	D:\Andean\Paridae\Poecile_superciliosus-ML25046.wav	2	a
29	Spectrogram 1	1	82.268913729	82.288732104	2520.8	3324.1	Poecile_superciliosus-ML25046.wav	D:\Andean\Paridae\Poecile_superciliosus-ML25046.wav	2	b
30	Spectrogram 1	1	82.293686698	82.401036230	2936.3	3379.5	Poecile_superciliosus-ML25046.wav	D:\Andean\Paridae\Poecile_superciliosus-ML25046.wav	2	c
31	Spectrogram 1	1	82.463794419	82.480309731	3434.9	4127.4	Poecile_superciliosus-ML25046.wav	D:\Andean\Paridae\Poecile_superciliosus-ML25046.wav	2	a
32	Spectrogram 1	1	82.490218919	82.506734232	2576.2	3351.8	Poecile_superciliosus-ML25046.wav	D:\Andean\Paridae\Poecile_superciliosus-ML25046.wav	2	b
33	Spectrogram 1	1	82.518294950	82.630599077	2936.3	3434.9	Poecile_superciliosus-ML25046.wav	D:\Andean\Paridae\Poecile_superciliosus-ML25046.wav	2	c
34	Spectrogram 1	1	82.699963390	82.711524109	3490.3	4293.7	Poecile_superciliosus-ML25046.wav	D:\Andean\Paridae\Poecile_superciliosus-ML25046.wav	2	a
35	Spectrogram 1	1	82.724736359	82.744554735	2548.5	3351.8	Poecile_superciliosus-ML25046.wav	D:\Andean\Paridae\Poecile_superciliosus-ML25046.wav	2	b
36	Spectrogram 1	1	82.757766985	82.846949673	2964.0	3490.3	Poecile_superciliosus-ML25046.wav	D:\Andean\Paridae\Poecile_superciliosus-ML25046.wav	2	c
37	Spectrogram 1	1	92.493129733	92.580660890	2853.2	3407.2	Poecile_superciliosus-ML25046.wav	D:\Andean\Paridae\Poecile_superciliosus-ML25046.wav	3	c
38	Spectrogram 1	1	92.648373672	92.664888985	3462.6	3988.9	Poecile_superciliosus-ML25046.wav	D:\Andean\Paridae\Poecile_superciliosus-ML25046.wav	3	a
39	Spectrogram 1	1	92.679752767	92.692965017	2548.5	3434.9	Poecile_superciliosus-ML25046.wav	D:\Andean\Paridae\Poecile_superciliosus-ML25046.wav	3	b
40	Spectrogram 1	1	92.706177267	92.801966081	2991.7	3407.2	Poecile_superciliosus-ML25046.wav	D:\Andean\Paridae\Poecile_superciliosus-ML25046.wav	3	c
41	Spectrogram 1	1	92.871330394	92.884542644	3656.5	4182.9	Poecile_superciliosus-ML25046.wav	D:\Andean\Paridae\Poecile_superciliosus-ML25046.wav	3	a
42	Spectrogram 1	1	92.896103363	92.912618676	2603.9	3434.9	Poecile_superciliosus-ML25046.wav	D:\Andean\Paridae\Poecile_superciliosus-ML25046.wav	3	b
43	Spectrogram 1	1	92.920876332	93.031528927	2936.3	3434.9	Poecile_superciliosus-ML25046.wav	D:\Andean\Paridae\Poecile_superciliosus-ML25046.wav	3	c
44	Spectrogram 1	1	93.099241709	93.112453960	3545.7	4155.2	Poecile_superciliosus-ML25046.wav	D:\Andean\Paridae\Poecile_superciliosus-ML25046.wav	3	a
45	Spectrogram 1	1	93.124014678	93.143833054	2493.1	3434.9	Poecile_superciliosus-ML25046.wav	D:\Andean\Paridae\Poecile_superciliosus-ML25046.wav	3	b
46	Spectrogram 1	1	93.153742241	93.266046368	2936.3	3379.5	Poecile_superciliosus-ML25046.wav	D:\Andean\Paridae\Poecile_superciliosus-ML25046.wav	3	c
47	Spectrogram 1	1	93.320546900	93.335410681	3518.0	3905.8	Poecile_superciliosus-ML25046.wav	D:\Andean\Paridae\Poecile_superciliosus-ML25046.wav	3	a
48	Spectrogram 1	1	93.348622931	93.370092838	2659.3	3351.8	Poecile_superciliosus-ML25046.wav	D:\Andean\Paridae\Poecile_superciliosus-ML25046.wav	3	b
49	Spectrogram 1	1	93.373395900	93.487351558	2936.3	3351.8	Poecile_superciliosus-ML25046.wav	D:\Andean\Paridae\Poecile_superciliosus-ML25046.wav	3	c
50	Spectrogram 1	1	93.561670465	93.578185778	3462.6	3988.9	Poecile_superciliosus-ML25046.wav	D:\Andean\Paridae\Poecile_superciliosus-ML25046.wav	3	a
51	Spectrogram 1	1	93.588094965	93.604610278	2714.7	3379.5	Poecile_superciliosus-ML25046.wav	D:\Andean\Paridae\Poecile_superciliosus-ML25046.wav	3	b
52	Spectrogram 1	1	93.614519466	93.718565936	2908.6	3351.8	Poecile_superciliosus-ML25046.wav	D:\Andean\Paridae\Poecile_superciliosus-ML25046.wav	3	c
