Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	1.811672475	1.998521909	969.5	2908.6	Pomatorhinus_musicus-ML146760041.wav	C:\Users\pfmar\Downloads\Andean\Timaliidae\Pomatorhinus_musicus-ML146760041.wav	1	a
2	Spectrogram 1	1	2.037608626	2.169731128	1080.3	3434.9	Pomatorhinus_musicus-ML146760041.wav	C:\Users\pfmar\Downloads\Andean\Timaliidae\Pomatorhinus_musicus-ML146760041.wav	1	b
3	Spectrogram 1	1	2.235792378	2.354702630	1080.3	3407.2	Pomatorhinus_musicus-ML146760041.wav	C:\Users\pfmar\Downloads\Andean\Timaliidae\Pomatorhinus_musicus-ML146760041.wav	1	b
4	Spectrogram 1	1	2.467006756	2.645372133	969.5	3573.4	Pomatorhinus_musicus-ML146760041.wav	C:\Users\pfmar\Downloads\Andean\Timaliidae\Pomatorhinus_musicus-ML146760041.wav	1	c
5	Spectrogram 1	1	2.795362720	2.972756287	941.8	2825.5	Pomatorhinus_musicus-ML146760041.wav	C:\Users\pfmar\Downloads\Andean\Timaliidae\Pomatorhinus_musicus-ML146760041.wav	1	d
6	Spectrogram 1	1	3.119062849	3.330458852	1052.6	2853.2	Pomatorhinus_musicus-ML146760041.wav	C:\Users\pfmar\Downloads\Andean\Timaliidae\Pomatorhinus_musicus-ML146760041.wav	1	d
7	Spectrogram 1	1	3.514458544	3.798521923	858.7	2797.8	Pomatorhinus_musicus-ML146760041.wav	C:\Users\pfmar\Downloads\Andean\Timaliidae\Pomatorhinus_musicus-ML146760041.wav	1	e
8	Spectrogram 1	1	3.844764798	3.983493425	1080.3	3434.9	Pomatorhinus_musicus-ML146760041.wav	C:\Users\pfmar\Downloads\Andean\Timaliidae\Pomatorhinus_musicus-ML146760041.wav	1	b
9	Spectrogram 1	1	4.075979176	4.175071053	1024.9	3601.1	Pomatorhinus_musicus-ML146760041.wav	C:\Users\pfmar\Downloads\Andean\Timaliidae\Pomatorhinus_musicus-ML146760041.wav	1	f
10	Spectrogram 1	1	10.042390032	10.229239465	941.8	2908.6	Pomatorhinus_musicus-ML146760041.wav	C:\Users\pfmar\Downloads\Andean\Timaliidae\Pomatorhinus_musicus-ML146760041.wav	2	a
11	Spectrogram 1	1	10.255628229	10.414175231	1108.0	3407.2	Pomatorhinus_musicus-ML146760041.wav	C:\Users\pfmar\Downloads\Andean\Timaliidae\Pomatorhinus_musicus-ML146760041.wav	2	b
12	Spectrogram 1	1	10.486842607	10.618965109	1052.6	3434.9	Pomatorhinus_musicus-ML146760041.wav	C:\Users\pfmar\Downloads\Andean\Timaliidae\Pomatorhinus_musicus-ML146760041.wav	2	b
13	Spectrogram 1	1	10.658601859	10.850179487	969.5	3573.4	Pomatorhinus_musicus-ML146760041.wav	C:\Users\pfmar\Downloads\Andean\Timaliidae\Pomatorhinus_musicus-ML146760041.wav	2	c
14	Spectrogram 1	1	10.986957823	11.191747701	1052.6	2825.5	Pomatorhinus_musicus-ML146760041.wav	C:\Users\pfmar\Downloads\Andean\Timaliidae\Pomatorhinus_musicus-ML146760041.wav	2	d
15	Spectrogram 1	1	11.323870202	11.515447830	1080.3	2853.2	Pomatorhinus_musicus-ML146760041.wav	C:\Users\pfmar\Downloads\Andean\Timaliidae\Pomatorhinus_musicus-ML146760041.wav	2	d
16	Spectrogram 1	1	11.599803092	11.857441970	969.5	1606.7	Pomatorhinus_musicus-ML146760041.wav	C:\Users\pfmar\Downloads\Andean\Timaliidae\Pomatorhinus_musicus-ML146760041.wav	2	g
17	Spectrogram 1	1	11.982958347	12.333082976	1745.2	3213.3	Pomatorhinus_musicus-ML146760041.wav	C:\Users\pfmar\Downloads\Andean\Timaliidae\Pomatorhinus_musicus-ML146760041.wav	2	h
18	Spectrogram 1	1	20.588237901	20.783118591	1135.7	2520.8	Pomatorhinus_musicus-ML146760041.wav	C:\Users\pfmar\Downloads\Andean\Timaliidae\Pomatorhinus_musicus-ML146760041.wav	3	i
19	Spectrogram 1	1	20.908634967	21.186092221	941.8	2437.7	Pomatorhinus_musicus-ML146760041.wav	C:\Users\pfmar\Downloads\Andean\Timaliidae\Pomatorhinus_musicus-ML146760041.wav	3	j
20	Spectrogram 1	1	21.281881034	21.622096476	1412.8	3268.7	Pomatorhinus_musicus-ML146760041.wav	C:\Users\pfmar\Downloads\Andean\Timaliidae\Pomatorhinus_musicus-ML146760041.wav	3	k
