Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	48.454871397	48.890826120	2199.4	8515.5	Psalidoprocne_pristoptera-ML138342.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hirundinidae\Psalidoprocne_pristoptera-ML138342.wav	1	a
2	Spectrogram 1	1	50.296933606	50.628504804	2537.7	8684.7	Psalidoprocne_pristoptera-ML138342.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hirundinidae\Psalidoprocne_pristoptera-ML138342.wav	1	b
3	Spectrogram 1	1	51.353049272	51.758302958	2312.1	8797.4	Psalidoprocne_pristoptera-ML138342.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hirundinidae\Psalidoprocne_pristoptera-ML138342.wav	1	a
4	Spectrogram 1	1	51.758302958	52.261799962	2030.2	8910.2	Psalidoprocne_pristoptera-ML138342.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hirundinidae\Psalidoprocne_pristoptera-ML138342.wav	1	a
5	Spectrogram 1	1	52.298641206	53.060026919	845.9	8402.7	Psalidoprocne_pristoptera-ML138342.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hirundinidae\Psalidoprocne_pristoptera-ML138342.wav	1	c
6	Spectrogram 1	1	80.088896654	80.457309096	1522.6	7838.7	Psalidoprocne_pristoptera-ML138342.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hirundinidae\Psalidoprocne_pristoptera-ML138342.wav	2	d
7	Spectrogram 1	1	80.831861745	81.218694809	3158.1	9192.2	Psalidoprocne_pristoptera-ML138342.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hirundinidae\Psalidoprocne_pristoptera-ML138342.wav	2	e
8	Spectrogram 1	1	81.323078334	81.593247458	2368.5	9192.2	Psalidoprocne_pristoptera-ML138342.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hirundinidae\Psalidoprocne_pristoptera-ML138342.wav	2	e
9	Spectrogram 1	1	81.777453679	82.115165084	3327.2	10827.6	Psalidoprocne_pristoptera-ML138342.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hirundinidae\Psalidoprocne_pristoptera-ML138342.wav	2	f
10	Spectrogram 1	1	82.956373492	83.472150911	1973.8	9192.2	Psalidoprocne_pristoptera-ML138342.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hirundinidae\Psalidoprocne_pristoptera-ML138342.wav	2	a
11	Spectrogram 1	1	91.064277835	91.494092350	2819.7	10150.9	Psalidoprocne_pristoptera-ML138342.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hirundinidae\Psalidoprocne_pristoptera-ML138342.wav	3	a
12	Spectrogram 1	1	92.485651650	92.841783677	2312.1	8233.5	Psalidoprocne_pristoptera-ML138342.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hirundinidae\Psalidoprocne_pristoptera-ML138342.wav	3	g
13	Spectrogram 1	1	92.958447617	93.406682754	2199.4	7951.5	Psalidoprocne_pristoptera-ML138342.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hirundinidae\Psalidoprocne_pristoptera-ML138342.wav	3	g
14	Spectrogram 1	1	93.748230072	94.147343550	1748.2	8402.7	Psalidoprocne_pristoptera-ML138342.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hirundinidae\Psalidoprocne_pristoptera-ML138342.wav	3	b
