Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	0.232865909	0.241123566	992.8	6165.6	Pseudocolopteryx_sclateri-ML217749.wav	C:\Users\pfmar\Downloads\Andean\Tyrannidae\Pseudocolopteryx_sclateri-ML217749.wav	1	a
2	Spectrogram 1	1	0.606111976	0.625930352	1201.8	8255.7	Pseudocolopteryx_sclateri-ML217749.wav	C:\Users\pfmar\Downloads\Andean\Tyrannidae\Pseudocolopteryx_sclateri-ML217749.wav	1	b
3	Spectrogram 1	1	0.969448856	0.989267231	1149.5	8307.9	Pseudocolopteryx_sclateri-ML217749.wav	C:\Users\pfmar\Downloads\Andean\Tyrannidae\Pseudocolopteryx_sclateri-ML217749.wav	1	b
4	Spectrogram 1	1	1.360861767	1.382331674	1463.0	8360.2	Pseudocolopteryx_sclateri-ML217749.wav	C:\Users\pfmar\Downloads\Andean\Tyrannidae\Pseudocolopteryx_sclateri-ML217749.wav	1	b
5	Spectrogram 1	1	1.554352030	1.569533546	1306.3	8621.4	Pseudocolopteryx_sclateri-ML217749.wav	C:\Users\pfmar\Downloads\Andean\Tyrannidae\Pseudocolopteryx_sclateri-ML217749.wav	1	b
6	Spectrogram 1	1	1.776235732	1.827619326	2194.5	11234.0	Pseudocolopteryx_sclateri-ML217749.wav	C:\Users\pfmar\Downloads\Andean\Tyrannidae\Pseudocolopteryx_sclateri-ML217749.wav	1	c
7	Spectrogram 1	1	1.936225560	1.971259829	1463.0	8516.9	Pseudocolopteryx_sclateri-ML217749.wav	C:\Users\pfmar\Downloads\Andean\Tyrannidae\Pseudocolopteryx_sclateri-ML217749.wav	1	d
8	Spectrogram 1	1	23.372052055	23.386065763	1149.5	8464.7	Pseudocolopteryx_sclateri-ML217749.wav	C:\Users\pfmar\Downloads\Andean\Tyrannidae\Pseudocolopteryx_sclateri-ML217749.wav	2	b
9	Spectrogram 1	1	23.962963390	23.980480524	1254.0	8098.9	Pseudocolopteryx_sclateri-ML217749.wav	C:\Users\pfmar\Downloads\Andean\Tyrannidae\Pseudocolopteryx_sclateri-ML217749.wav	2	b
10	Spectrogram 1	1	24.261921235	24.285277414	1358.5	8569.2	Pseudocolopteryx_sclateri-ML217749.wav	C:\Users\pfmar\Downloads\Andean\Tyrannidae\Pseudocolopteryx_sclateri-ML217749.wav	2	b
11	Spectrogram 1	1	24.542195386	24.557376902	1515.3	9039.5	Pseudocolopteryx_sclateri-ML217749.wav	C:\Users\pfmar\Downloads\Andean\Tyrannidae\Pseudocolopteryx_sclateri-ML217749.wav	2	b
12	Spectrogram 1	1	24.745394145	24.761743470	1567.5	9353.0	Pseudocolopteryx_sclateri-ML217749.wav	C:\Users\pfmar\Downloads\Andean\Tyrannidae\Pseudocolopteryx_sclateri-ML217749.wav	2	b
13	Spectrogram 1	1	24.932243578	24.947425095	1463.0	9405.2	Pseudocolopteryx_sclateri-ML217749.wav	C:\Users\pfmar\Downloads\Andean\Tyrannidae\Pseudocolopteryx_sclateri-ML217749.wav	2	b
14	Spectrogram 1	1	25.010486779	25.060702564	2664.8	11286.3	Pseudocolopteryx_sclateri-ML217749.wav	C:\Users\pfmar\Downloads\Andean\Tyrannidae\Pseudocolopteryx_sclateri-ML217749.wav	2	c
15	Spectrogram 1	1	25.172812224	25.205510875	1724.3	8516.9	Pseudocolopteryx_sclateri-ML217749.wav	C:\Users\pfmar\Downloads\Andean\Tyrannidae\Pseudocolopteryx_sclateri-ML217749.wav	2	d
