Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	51.947809697	52.056810761	831.0	2188.4	Puffinus_lherminieri-ML42998.wav	D:\Andean\Procellariidae\Puffinus_lherminieri-ML42998.wav	1	a
2	Spectrogram 1	1	52.093144449	52.278115951	747.9	2160.7	Puffinus_lherminieri-ML42998.wav	D:\Andean\Procellariidae\Puffinus_lherminieri-ML42998.wav	1	b
3	Spectrogram 1	1	52.350783327	52.476299703	775.6	1856.0	Puffinus_lherminieri-ML42998.wav	D:\Andean\Procellariidae\Puffinus_lherminieri-ML42998.wav	1	c
4	Spectrogram 1	1	52.525845641	52.902394771	803.3	1883.7	Puffinus_lherminieri-ML42998.wav	D:\Andean\Procellariidae\Puffinus_lherminieri-ML42998.wav	1	d
5	Spectrogram 1	1	52.938728459	53.037820335	914.1	2271.5	Puffinus_lherminieri-ML42998.wav	D:\Andean\Procellariidae\Puffinus_lherminieri-ML42998.wav	2	a
6	Spectrogram 1	1	53.080760148	53.269034713	775.6	1966.8	Puffinus_lherminieri-ML42998.wav	D:\Andean\Procellariidae\Puffinus_lherminieri-ML42998.wav	2	b
7	Spectrogram 1	1	53.345005152	53.463915403	775.6	1689.8	Puffinus_lherminieri-ML42998.wav	D:\Andean\Procellariidae\Puffinus_lherminieri-ML42998.wav	2	c
8	Spectrogram 1	1	53.549795029	53.893313534	692.5	1468.2	Puffinus_lherminieri-ML42998.wav	D:\Andean\Procellariidae\Puffinus_lherminieri-ML42998.wav	2	d
9	Spectrogram 1	1	53.942859472	54.048557473	720.2	1745.2	Puffinus_lherminieri-ML42998.wav	D:\Andean\Procellariidae\Puffinus_lherminieri-ML42998.wav	3	a
10	Spectrogram 1	1	54.084891161	54.276468788	720.2	1883.7	Puffinus_lherminieri-ML42998.wav	D:\Andean\Procellariidae\Puffinus_lherminieri-ML42998.wav	3	b
11	Spectrogram 1	1	54.335923914	54.474652541	747.9	1689.8	Puffinus_lherminieri-ML42998.wav	D:\Andean\Procellariidae\Puffinus_lherminieri-ML42998.wav	3	c
12	Spectrogram 1	1	54.537410729	54.653017918	803.3	1579.0	Puffinus_lherminieri-ML42998.wav	D:\Andean\Procellariidae\Puffinus_lherminieri-ML42998.wav	3	c
13	Spectrogram 1	1	54.689351606	55.098931361	831.0	1440.5	Puffinus_lherminieri-ML42998.wav	D:\Andean\Procellariidae\Puffinus_lherminieri-ML42998.wav	3	d
