Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	38.969199635	39.028654761	1745.2	3102.5	Pycnonotus_barbatus-ML140979.wav	D:\Andean\Pycnonotidae\Pycnonotus_barbatus-ML140979.wav	1	a
2	Spectrogram 1	1	39.116185918	39.175641044	1274.2	2631.6	Pycnonotus_barbatus-ML140979.wav	D:\Andean\Pycnonotidae\Pycnonotus_barbatus-ML140979.wav	1	a
3	Spectrogram 1	1	39.322627327	39.448143703	1468.2	4044.3	Pycnonotus_barbatus-ML140979.wav	D:\Andean\Pycnonotidae\Pycnonotus_barbatus-ML140979.wav	1	b
4	Spectrogram 1	1	50.092727071	50.143924541	1800.6	3407.2	Pycnonotus_barbatus-ML140979.wav	D:\Andean\Pycnonotidae\Pycnonotus_barbatus-ML140979.wav	2	c
5	Spectrogram 1	1	50.429639450	50.477533857	1689.8	2853.2	Pycnonotus_barbatus-ML140979.wav	D:\Andean\Pycnonotidae\Pycnonotus_barbatus-ML140979.wav	2	d
6	Spectrogram 1	1	50.599747171	50.693884454	1412.8	3518.0	Pycnonotus_barbatus-ML140979.wav	D:\Andean\Pycnonotidae\Pycnonotus_barbatus-ML140979.wav	2	e
7	Spectrogram 1	1	50.715354360	50.784718674	1301.9	3573.4	Pycnonotus_barbatus-ML140979.wav	D:\Andean\Pycnonotidae\Pycnonotus_barbatus-ML140979.wav	2	f
8	Spectrogram 1	1	51.068782052	51.156313210	1468.2	3324.1	Pycnonotus_barbatus-ML140979.wav	D:\Andean\Pycnonotidae\Pycnonotus_barbatus-ML140979.wav	2	b
9	Spectrogram 1	1	61.213834683	61.248516840	1579.0	3407.2	Pycnonotus_barbatus-ML140979.wav	D:\Andean\Pycnonotidae\Pycnonotus_barbatus-ML140979.wav	3	c
10	Spectrogram 1	1	61.544140938	61.583777688	1745.2	2908.6	Pycnonotus_barbatus-ML140979.wav	D:\Andean\Pycnonotidae\Pycnonotus_barbatus-ML140979.wav	3	d
11	Spectrogram 1	1	61.722506315	61.816643597	1301.9	3379.5	Pycnonotus_barbatus-ML140979.wav	D:\Andean\Pycnonotidae\Pycnonotus_barbatus-ML140979.wav	3	e
12	Spectrogram 1	1	61.848022691	61.915735473	1385.1	3434.9	Pycnonotus_barbatus-ML140979.wav	D:\Andean\Pycnonotidae\Pycnonotus_barbatus-ML140979.wav	3	f
13	Spectrogram 1	1	62.217965696	62.322012166	1329.6	3434.9	Pycnonotus_barbatus-ML140979.wav	D:\Andean\Pycnonotidae\Pycnonotus_barbatus-ML140979.wav	3	b
