Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	9.831187387	10.009552764	1052.6	2465.4	Pyriglena_leucoptera-ML113314.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Pyriglena_leucoptera-ML113314.wav	1	a
2	Spectrogram 1	1	10.108644641	10.257282455	1052.6	2465.4	Pyriglena_leucoptera-ML113314.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Pyriglena_leucoptera-ML113314.wav	1	a
3	Spectrogram 1	1	10.376192707	10.518224396	1052.6	2437.7	Pyriglena_leucoptera-ML113314.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Pyriglena_leucoptera-ML113314.wav	1	a
4	Spectrogram 1	1	10.630528522	10.779166337	1052.6	2437.7	Pyriglena_leucoptera-ML113314.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Pyriglena_leucoptera-ML113314.wav	1	a
5	Spectrogram 1	1	10.894773526	11.043411340	1052.6	2465.4	Pyriglena_leucoptera-ML113314.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Pyriglena_leucoptera-ML113314.wav	1	a
6	Spectrogram 1	1	11.168927717	11.314262468	1052.6	2437.7	Pyriglena_leucoptera-ML113314.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Pyriglena_leucoptera-ML113314.wav	1	a
7	Spectrogram 1	1	11.433172720	11.581810534	1052.6	2465.4	Pyriglena_leucoptera-ML113314.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Pyriglena_leucoptera-ML113314.wav	1	a
8	Spectrogram 1	1	17.846437004	17.996726350	1191.1	2465.4	Pyriglena_leucoptera-ML113314.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Pyriglena_leucoptera-ML113314.wav	2	a
9	Spectrogram 1	1	18.107378945	18.246107571	1108.0	2437.7	Pyriglena_leucoptera-ML113314.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Pyriglena_leucoptera-ML113314.wav	2	a
10	Spectrogram 1	1	18.361714760	18.510352575	1135.7	2465.4	Pyriglena_leucoptera-ML113314.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Pyriglena_leucoptera-ML113314.wav	2	a
11	Spectrogram 1	1	18.629262826	18.771294516	1191.1	2437.7	Pyriglena_leucoptera-ML113314.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Pyriglena_leucoptera-ML113314.wav	2	a
12	Spectrogram 1	1	18.893507830	19.035539519	1191.1	2437.7	Pyriglena_leucoptera-ML113314.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Pyriglena_leucoptera-ML113314.wav	2	a
13	Spectrogram 1	1	19.164358958	19.312996772	1191.1	2465.4	Pyriglena_leucoptera-ML113314.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Pyriglena_leucoptera-ML113314.wav	2	a
14	Spectrogram 1	1	19.441816211	19.580890762	1218.8	2493.1	Pyriglena_leucoptera-ML113314.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Pyriglena_leucoptera-ML113314.wav	2	a
15	Spectrogram 1	1	25.810466715	25.969013717	1191.1	2465.4	Pyriglena_leucoptera-ML113314.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Pyriglena_leucoptera-ML113314.wav	3	a
16	Spectrogram 1	1	26.069758774	26.206835869	1163.4	2493.1	Pyriglena_leucoptera-ML113314.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Pyriglena_leucoptera-ML113314.wav	3	a
17	Spectrogram 1	1	26.325746121	26.474383935	1163.4	2548.5	Pyriglena_leucoptera-ML113314.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Pyriglena_leucoptera-ML113314.wav	3	a
18	Spectrogram 1	1	26.591642655	26.736977407	1163.4	2493.1	Pyriglena_leucoptera-ML113314.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Pyriglena_leucoptera-ML113314.wav	3	a
19	Spectrogram 1	1	26.855887659	27.001222410	1218.8	2493.1	Pyriglena_leucoptera-ML113314.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Pyriglena_leucoptera-ML113314.wav	3	a
20	Spectrogram 1	1	27.123435724	27.272073539	1191.1	2493.1	Pyriglena_leucoptera-ML113314.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Pyriglena_leucoptera-ML113314.wav	3	a
21	Spectrogram 1	1	27.397589915	27.542924667	1218.8	2465.4	Pyriglena_leucoptera-ML113314.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Pyriglena_leucoptera-ML113314.wav	3	a
22	Spectrogram 1	1	27.681653294	27.820381921	1163.4	2493.1	Pyriglena_leucoptera-ML113314.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Pyriglena_leucoptera-ML113314.wav	3	a
