Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	178.214312483	178.243507707	2022.2	3767.3	Rhynchospiza_stolzmanni-ML81166.wav	D:\Andean\Passerellidae\Rhynchospiza_stolzmanni-ML81166.wav	1	a
2	Spectrogram 1	1	178.243507707	178.275038548	2049.9	4875.4	Rhynchospiza_stolzmanni-ML81166.wav	D:\Andean\Passerellidae\Rhynchospiza_stolzmanni-ML81166.wav	1	a
3	Spectrogram 1	1	178.279709784	178.310072817	2160.7	4764.6	Rhynchospiza_stolzmanni-ML81166.wav	D:\Andean\Passerellidae\Rhynchospiza_stolzmanni-ML81166.wav	1	a
4	Spectrogram 1	1	178.312408435	178.341603659	2271.5	4653.8	Rhynchospiza_stolzmanni-ML81166.wav	D:\Andean\Passerellidae\Rhynchospiza_stolzmanni-ML81166.wav	1	a
5	Spectrogram 1	1	178.347442704	178.378973546	2243.8	4736.9	Rhynchospiza_stolzmanni-ML81166.wav	D:\Andean\Passerellidae\Rhynchospiza_stolzmanni-ML81166.wav	1	a
6	Spectrogram 1	1	178.383644782	178.412840006	2216.1	4736.9	Rhynchospiza_stolzmanni-ML81166.wav	D:\Andean\Passerellidae\Rhynchospiza_stolzmanni-ML81166.wav	1	a
7	Spectrogram 1	1	178.417511242	178.450209893	2160.7	4709.2	Rhynchospiza_stolzmanni-ML81166.wav	D:\Andean\Passerellidae\Rhynchospiza_stolzmanni-ML81166.wav	1	a
8	Spectrogram 1	1	178.454881128	178.486411970	2160.7	4764.6	Rhynchospiza_stolzmanni-ML81166.wav	D:\Andean\Passerellidae\Rhynchospiza_stolzmanni-ML81166.wav	1	a
9	Spectrogram 1	1	178.489915397	178.521446239	2077.6	4792.3	Rhynchospiza_stolzmanni-ML81166.wav	D:\Andean\Passerellidae\Rhynchospiza_stolzmanni-ML81166.wav	1	a
10	Spectrogram 1	1	178.528453093	178.558816126	2049.9	4681.5	Rhynchospiza_stolzmanni-ML81166.wav	D:\Andean\Passerellidae\Rhynchospiza_stolzmanni-ML81166.wav	1	a
11	Spectrogram 1	1	178.565822980	178.596186013	1994.5	4653.8	Rhynchospiza_stolzmanni-ML81166.wav	D:\Andean\Passerellidae\Rhynchospiza_stolzmanni-ML81166.wav	1	a
12	Spectrogram 1	1	180.407453937	180.441320397	1966.8	4016.6	Rhynchospiza_stolzmanni-ML81166.wav	D:\Andean\Passerellidae\Rhynchospiza_stolzmanni-ML81166.wav	2	a
13	Spectrogram 1	1	180.442488206	180.472851239	2188.4	4321.4	Rhynchospiza_stolzmanni-ML81166.wav	D:\Andean\Passerellidae\Rhynchospiza_stolzmanni-ML81166.wav	2	a
14	Spectrogram 1	1	180.478690284	180.505549890	2188.4	4515.3	Rhynchospiza_stolzmanni-ML81166.wav	D:\Andean\Passerellidae\Rhynchospiza_stolzmanni-ML81166.wav	2	a
15	Spectrogram 1	1	180.511388935	180.539416350	2188.4	4432.2	Rhynchospiza_stolzmanni-ML81166.wav	D:\Andean\Passerellidae\Rhynchospiza_stolzmanni-ML81166.wav	2	a
16	Spectrogram 1	1	180.542919777	180.574450619	2271.5	4543.0	Rhynchospiza_stolzmanni-ML81166.wav	D:\Andean\Passerellidae\Rhynchospiza_stolzmanni-ML81166.wav	2	a
17	Spectrogram 1	1	180.577954045	180.608317078	2216.1	4626.1	Rhynchospiza_stolzmanni-ML81166.wav	D:\Andean\Passerellidae\Rhynchospiza_stolzmanni-ML81166.wav	2	a
18	Spectrogram 1	1	180.614156123	180.645686965	2243.8	4570.7	Rhynchospiza_stolzmanni-ML81166.wav	D:\Andean\Passerellidae\Rhynchospiza_stolzmanni-ML81166.wav	2	a
19	Spectrogram 1	1	180.650358201	180.680721234	2216.1	4653.8	Rhynchospiza_stolzmanni-ML81166.wav	D:\Andean\Passerellidae\Rhynchospiza_stolzmanni-ML81166.wav	2	a
20	Spectrogram 1	1	180.687728088	180.715755503	2243.8	4598.4	Rhynchospiza_stolzmanni-ML81166.wav	D:\Andean\Passerellidae\Rhynchospiza_stolzmanni-ML81166.wav	2	a
21	Spectrogram 1	1	180.725097975	180.750789772	2133.0	4653.8	Rhynchospiza_stolzmanni-ML81166.wav	D:\Andean\Passerellidae\Rhynchospiza_stolzmanni-ML81166.wav	2	a
22	Spectrogram 1	1	180.758964434	180.790495276	2160.7	4598.4	Rhynchospiza_stolzmanni-ML81166.wav	D:\Andean\Passerellidae\Rhynchospiza_stolzmanni-ML81166.wav	2	a
23	Spectrogram 1	1	180.798669939	180.824361736	2105.3	4543.0	Rhynchospiza_stolzmanni-ML81166.wav	D:\Andean\Passerellidae\Rhynchospiza_stolzmanni-ML81166.wav	2	a
24	Spectrogram 1	1	180.904940555	180.930632352	2188.4	4072.0	Rhynchospiza_stolzmanni-ML81166.wav	D:\Andean\Passerellidae\Rhynchospiza_stolzmanni-ML81166.wav	2	a
25	Spectrogram 1	1	180.939974823	180.968002238	2326.9	4875.4	Rhynchospiza_stolzmanni-ML81166.wav	D:\Andean\Passerellidae\Rhynchospiza_stolzmanni-ML81166.wav	2	a
26	Spectrogram 1	1	180.975009092	181.004204316	2243.8	5041.6	Rhynchospiza_stolzmanni-ML81166.wav	D:\Andean\Passerellidae\Rhynchospiza_stolzmanni-ML81166.wav	2	a
27	Spectrogram 1	1	181.006539934	181.039238585	2243.8	5041.6	Rhynchospiza_stolzmanni-ML81166.wav	D:\Andean\Passerellidae\Rhynchospiza_stolzmanni-ML81166.wav	2	a
28	Spectrogram 1	1	181.049748866	181.077776281	2271.5	4986.2	Rhynchospiza_stolzmanni-ML81166.wav	D:\Andean\Passerellidae\Rhynchospiza_stolzmanni-ML81166.wav	2	a
29	Spectrogram 1	1	181.083615326	181.112810550	2160.7	4986.2	Rhynchospiza_stolzmanni-ML81166.wav	D:\Andean\Passerellidae\Rhynchospiza_stolzmanni-ML81166.wav	2	a
30	Spectrogram 1	1	181.119817403	181.151348245	2271.5	4875.4	Rhynchospiza_stolzmanni-ML81166.wav	D:\Andean\Passerellidae\Rhynchospiza_stolzmanni-ML81166.wav	2	a
31	Spectrogram 1	1	181.159522908	181.188718132	2105.3	4875.4	Rhynchospiza_stolzmanni-ML81166.wav	D:\Andean\Passerellidae\Rhynchospiza_stolzmanni-ML81166.wav	2	a
32	Spectrogram 1	1	181.196892795	181.229591446	1856.0	4653.8	Rhynchospiza_stolzmanni-ML81166.wav	D:\Andean\Passerellidae\Rhynchospiza_stolzmanni-ML81166.wav	2	a
33	Spectrogram 1	1	184.932705039	184.961900263	2188.4	4099.7	Rhynchospiza_stolzmanni-ML81166.wav	D:\Andean\Passerellidae\Rhynchospiza_stolzmanni-ML81166.wav	3	a
34	Spectrogram 1	1	184.967739308	184.993431105	2243.8	4653.8	Rhynchospiza_stolzmanni-ML81166.wav	D:\Andean\Passerellidae\Rhynchospiza_stolzmanni-ML81166.wav	3	a
35	Spectrogram 1	1	184.998102341	185.026129756	2299.2	4847.7	Rhynchospiza_stolzmanni-ML81166.wav	D:\Andean\Passerellidae\Rhynchospiza_stolzmanni-ML81166.wav	3	a
36	Spectrogram 1	1	185.030800992	185.059996216	2243.8	4875.4	Rhynchospiza_stolzmanni-ML81166.wav	D:\Andean\Passerellidae\Rhynchospiza_stolzmanni-ML81166.wav	3	a
37	Spectrogram 1	1	185.067003069	185.096198293	2326.9	4847.7	Rhynchospiza_stolzmanni-ML81166.wav	D:\Andean\Passerellidae\Rhynchospiza_stolzmanni-ML81166.wav	3	a
38	Spectrogram 1	1	185.099701720	185.130064753	2299.2	4792.3	Rhynchospiza_stolzmanni-ML81166.wav	D:\Andean\Passerellidae\Rhynchospiza_stolzmanni-ML81166.wav	3	a
39	Spectrogram 1	1	185.134735989	185.166266831	2216.1	4847.7	Rhynchospiza_stolzmanni-ML81166.wav	D:\Andean\Passerellidae\Rhynchospiza_stolzmanni-ML81166.wav	3	a
40	Spectrogram 1	1	185.170938067	185.202468909	2216.1	4875.4	Rhynchospiza_stolzmanni-ML81166.wav	D:\Andean\Passerellidae\Rhynchospiza_stolzmanni-ML81166.wav	3	a
41	Spectrogram 1	1	185.209475763	185.239838796	2299.2	4820.0	Rhynchospiza_stolzmanni-ML81166.wav	D:\Andean\Passerellidae\Rhynchospiza_stolzmanni-ML81166.wav	3	a
42	Spectrogram 1	1	185.244510031	185.274873064	2188.4	4875.4	Rhynchospiza_stolzmanni-ML81166.wav	D:\Andean\Passerellidae\Rhynchospiza_stolzmanni-ML81166.wav	3	a
43	Spectrogram 1	1	185.279544300	185.308739524	2271.5	4875.4	Rhynchospiza_stolzmanni-ML81166.wav	D:\Andean\Passerellidae\Rhynchospiza_stolzmanni-ML81166.wav	3	a
44	Spectrogram 1	1	185.315746378	185.350780647	2077.6	4903.1	Rhynchospiza_stolzmanni-ML81166.wav	D:\Andean\Passerellidae\Rhynchospiza_stolzmanni-ML81166.wav	3	a
45	Spectrogram 1	1	185.445373173	185.478071824	1994.5	3905.8	Rhynchospiza_stolzmanni-ML81166.wav	D:\Andean\Passerellidae\Rhynchospiza_stolzmanni-ML81166.wav	3	a
46	Spectrogram 1	1	185.483910868	185.511938284	2077.6	4764.6	Rhynchospiza_stolzmanni-ML81166.wav	D:\Andean\Passerellidae\Rhynchospiza_stolzmanni-ML81166.wav	3	a
47	Spectrogram 1	1	185.518945137	185.549308170	2382.3	4875.4	Rhynchospiza_stolzmanni-ML81166.wav	D:\Andean\Passerellidae\Rhynchospiza_stolzmanni-ML81166.wav	3	a
48	Spectrogram 1	1	185.552811597	185.584342439	2299.2	4875.4	Rhynchospiza_stolzmanni-ML81166.wav	D:\Andean\Passerellidae\Rhynchospiza_stolzmanni-ML81166.wav	3	a
49	Spectrogram 1	1	185.590181484	185.621712326	2243.8	4986.2	Rhynchospiza_stolzmanni-ML81166.wav	D:\Andean\Passerellidae\Rhynchospiza_stolzmanni-ML81166.wav	3	a
50	Spectrogram 1	1	185.625215753	185.659082213	2271.5	4930.8	Rhynchospiza_stolzmanni-ML81166.wav	D:\Andean\Passerellidae\Rhynchospiza_stolzmanni-ML81166.wav	3	a
51	Spectrogram 1	1	185.663753448	185.697619908	2160.7	4875.4	Rhynchospiza_stolzmanni-ML81166.wav	D:\Andean\Passerellidae\Rhynchospiza_stolzmanni-ML81166.wav	3	a
52	Spectrogram 1	1	185.704626762	185.733821986	2105.3	4875.4	Rhynchospiza_stolzmanni-ML81166.wav	D:\Andean\Passerellidae\Rhynchospiza_stolzmanni-ML81166.wav	3	a
53	Spectrogram 1	1	185.739661031	185.770024064	2077.6	4930.8	Rhynchospiza_stolzmanni-ML81166.wav	D:\Andean\Passerellidae\Rhynchospiza_stolzmanni-ML81166.wav	3	a
54	Spectrogram 1	1	185.780534345	185.805058333	2216.1	4875.4	Rhynchospiza_stolzmanni-ML81166.wav	D:\Andean\Passerellidae\Rhynchospiza_stolzmanni-ML81166.wav	3	a
