Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	18.854228479	18.875585937	3101.7	5583.0	Riparia_chinensis-ML8095.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hirundinidae\Riparia_chinensis-ML8095.wav	1	a
2	Spectrogram 1	1	18.968782116	19.012467826	2819.7	6034.1	Riparia_chinensis-ML8095.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hirundinidae\Riparia_chinensis-ML8095.wav	1	b
3	Spectrogram 1	1	19.051299567	19.105664005	3158.1	6485.3	Riparia_chinensis-ML8095.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hirundinidae\Riparia_chinensis-ML8095.wav	1	c
4	Spectrogram 1	1	19.160999237	19.227013198	3045.3	6090.5	Riparia_chinensis-ML8095.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hirundinidae\Riparia_chinensis-ML8095.wav	1	d
5	Spectrogram 1	1	19.241575101	19.303705888	2932.5	6146.9	Riparia_chinensis-ML8095.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hirundinidae\Riparia_chinensis-ML8095.wav	1	b
6	Spectrogram 1	1	19.335742074	19.357099532	4793.5	7895.1	Riparia_chinensis-ML8095.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hirundinidae\Riparia_chinensis-ML8095.wav	1	e
7	Spectrogram 1	1	19.364865881	19.396902067	2086.6	8966.6	Riparia_chinensis-ML8095.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hirundinidae\Riparia_chinensis-ML8095.wav	1	f
8	Spectrogram 1	1	19.398843654	19.485244279	3045.3	8177.1	Riparia_chinensis-ML8095.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hirundinidae\Riparia_chinensis-ML8095.wav	1	g
9	Spectrogram 1	1	19.498835389	19.545433479	2312.1	5752.2	Riparia_chinensis-ML8095.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hirundinidae\Riparia_chinensis-ML8095.wav	1	b
10	Spectrogram 1	1	19.656103942	19.776482341	2932.5	5357.4	Riparia_chinensis-ML8095.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hirundinidae\Riparia_chinensis-ML8095.wav	1	d
11	Spectrogram 1	1	19.896851575	19.968690297	2537.7	7500.4	Riparia_chinensis-ML8095.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hirundinidae\Riparia_chinensis-ML8095.wav	1	b
12	Spectrogram 1	1	19.986374082	20.022293442	2932.5	5808.6	Riparia_chinensis-ML8095.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hirundinidae\Riparia_chinensis-ML8095.wav	1	c
13	Spectrogram 1	1	20.050446455	20.086365816	2424.9	6034.1	Riparia_chinensis-ML8095.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hirundinidae\Riparia_chinensis-ML8095.wav	1	c
14	Spectrogram 1	1	20.111293940	20.156921237	2143.0	8910.2	Riparia_chinensis-ML8095.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hirundinidae\Riparia_chinensis-ML8095.wav	1	h
15	Spectrogram 1	1	20.158862824	20.241380275	3496.4	8177.1	Riparia_chinensis-ML8095.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hirundinidae\Riparia_chinensis-ML8095.wav	1	i
16	Spectrogram 1	1	32.346537619	32.376632219	2594.1	7500.4	Riparia_chinensis-ML8095.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hirundinidae\Riparia_chinensis-ML8095.wav	2	f
17	Spectrogram 1	1	32.409639199	32.467886812	2876.1	7444.0	Riparia_chinensis-ML8095.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hirundinidae\Riparia_chinensis-ML8095.wav	2	g
18	Spectrogram 1	1	32.673740468	32.720338558	2594.1	7613.2	Riparia_chinensis-ML8095.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hirundinidae\Riparia_chinensis-ML8095.wav	2	h
19	Spectrogram 1	1	32.723250938	32.798002041	4455.1	8120.7	Riparia_chinensis-ML8095.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hirundinidae\Riparia_chinensis-ML8095.wav	2	g
20	Spectrogram 1	1	38.497800268	38.557989468	3440.0	7951.5	Riparia_chinensis-ML8095.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hirundinidae\Riparia_chinensis-ML8095.wav	3	h
21	Spectrogram 1	1	38.581773909	38.607985335	2650.5	6428.9	Riparia_chinensis-ML8095.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hirundinidae\Riparia_chinensis-ML8095.wav	3	j
22	Spectrogram 1	1	38.632255174	38.668174534	3496.4	6372.5	Riparia_chinensis-ML8095.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hirundinidae\Riparia_chinensis-ML8095.wav	3	j
23	Spectrogram 1	1	38.691473579	38.726422147	3496.4	6654.5	Riparia_chinensis-ML8095.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hirundinidae\Riparia_chinensis-ML8095.wav	3	j
