Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	57.666007863	57.779815738	397.1	2803.0	Rissa_brevirostris-ML132057.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Laridae\Laridae\Rissa_brevirostris-ML132057.wav	1	a
2	Spectrogram 1	1	57.814692345	57.851404563	327.0	2686.2	Rissa_brevirostris-ML132057.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Laridae\Laridae\Rissa_brevirostris-ML132057.wav	1	b
3	Spectrogram 1	1	57.889952392	57.932171443	327.0	2686.2	Rissa_brevirostris-ML132057.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Laridae\Laridae\Rissa_brevirostris-ML132057.wav	1	b
4	Spectrogram 1	1	57.970719271	58.001924657	373.7	2756.2	Rissa_brevirostris-ML132057.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Laridae\Laridae\Rissa_brevirostris-ML132057.wav	1	b
5	Spectrogram 1	1	64.375372380	64.489180255	584.0	2849.7	Rissa_brevirostris-ML132057.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Laridae\Laridae\Rissa_brevirostris-ML132057.wav	2	a
6	Spectrogram 1	1	64.516714419	64.568111524	513.9	2592.7	Rissa_brevirostris-ML132057.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Laridae\Laridae\Rissa_brevirostris-ML132057.wav	2	b
7	Spectrogram 1	1	64.597481298	64.639700349	420.4	2569.4	Rissa_brevirostris-ML132057.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Laridae\Laridae\Rissa_brevirostris-ML132057.wav	2	b
8	Spectrogram 1	1	64.676412567	64.724138450	490.5	2639.5	Rissa_brevirostris-ML132057.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Laridae\Laridae\Rissa_brevirostris-ML132057.wav	2	b
9	Spectrogram 1	1	64.753508224	64.797562886	350.4	2569.4	Rissa_brevirostris-ML132057.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Laridae\Laridae\Rissa_brevirostris-ML132057.wav	2	b
10	Spectrogram 1	1	64.828768271	64.872822932	397.1	2709.5	Rissa_brevirostris-ML132057.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Laridae\Laridae\Rissa_brevirostris-ML132057.wav	2	b
11	Spectrogram 1	1	64.907699539	64.955425423	397.1	2732.9	Rissa_brevirostris-ML132057.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Laridae\Laridae\Rissa_brevirostris-ML132057.wav	2	b
12	Spectrogram 1	1	64.995808862	65.032521080	373.7	2709.5	Rissa_brevirostris-ML132057.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Laridae\Laridae\Rissa_brevirostris-ML132057.wav	2	b
13	Spectrogram 1	1	65.078411352	65.127972847	350.4	2639.5	Rissa_brevirostris-ML132057.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Laridae\Laridae\Rissa_brevirostris-ML132057.wav	2	b
14	Spectrogram 1	1	70.128630483	70.229589082	256.9	2452.6	Rissa_brevirostris-ML132057.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Laridae\Laridae\Rissa_brevirostris-ML132057.wav	3	a
15	Spectrogram 1	1	70.252534219	70.303931324	303.7	2639.5	Rissa_brevirostris-ML132057.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Laridae\Laridae\Rissa_brevirostris-ML132057.wav	3	b
16	Spectrogram 1	1	70.324123044	70.368177705	303.7	2662.8	Rissa_brevirostris-ML132057.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Laridae\Laridae\Rissa_brevirostris-ML132057.wav	3	b
17	Spectrogram 1	1	70.401218701	70.441602141	233.6	2546.0	Rissa_brevirostris-ML132057.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Laridae\Laridae\Rissa_brevirostris-ML132057.wav	3	b
18	Spectrogram 1	1	70.478314359	70.529711464	280.3	2662.8	Rissa_brevirostris-ML132057.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Laridae\Laridae\Rissa_brevirostris-ML132057.wav	3	b
19	Spectrogram 1	1	70.562752460	70.610478343	233.6	2569.4	Rissa_brevirostris-ML132057.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Laridae\Laridae\Rissa_brevirostris-ML132057.wav	3	b
20	Spectrogram 1	1	70.650861783	70.693080833	186.9	2546.0	Rissa_brevirostris-ML132057.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Laridae\Laridae\Rissa_brevirostris-ML132057.wav	3	b
21	Spectrogram 1	1	70.727957440	70.781190156	256.9	2569.4	Rissa_brevirostris-ML132057.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Laridae\Laridae\Rissa_brevirostris-ML132057.wav	3	b
