Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	49.586498170	49.689024961	3448.1	5183.1	Sclerurus_rufigularis-ML73986701.wav	E:\Escritorio\Cantos\Furnariidae\Sclerurus_rufigularis-ML73986701.wav	1	a
2	Spectrogram 1	1	49.791551752	49.943574235	3030.8	4875.6	Sclerurus_rufigularis-ML73986701.wav	E:\Escritorio\Cantos\Furnariidae\Sclerurus_rufigularis-ML73986701.wav	1	b
3	Spectrogram 1	1	50.042565619	50.233477574	2635.5	4612.1	Sclerurus_rufigularis-ML73986701.wav	E:\Escritorio\Cantos\Furnariidae\Sclerurus_rufigularis-ML73986701.wav	1	c
4	Spectrogram 1	1	50.328933552	50.537522540	2091.5	4348.5	Sclerurus_rufigularis-ML73986701.wav	E:\Escritorio\Cantos\Furnariidae\Sclerurus_rufigularis-ML73986701.wav	1	d
5	Spectrogram 1	1	50.625907705	50.841567506	2481.7	4172.8	Sclerurus_rufigularis-ML73986701.wav	E:\Escritorio\Cantos\Furnariidae\Sclerurus_rufigularis-ML73986701.wav	1	e
6	Spectrogram 1	1	50.954700517	51.166824912	2218.2	4106.9	Sclerurus_rufigularis-ML73986701.wav	E:\Escritorio\Cantos\Furnariidae\Sclerurus_rufigularis-ML73986701.wav	1	f
7	Spectrogram 1	1	55.788042292	55.879962864	3316.3	5336.8	Sclerurus_rufigularis-ML73986701.wav	E:\Escritorio\Cantos\Furnariidae\Sclerurus_rufigularis-ML73986701.wav	2	a
8	Spectrogram 1	1	56.007237501	56.169866203	3096.7	4897.6	Sclerurus_rufigularis-ML73986701.wav	E:\Escritorio\Cantos\Furnariidae\Sclerurus_rufigularis-ML73986701.wav	2	b
9	Spectrogram 1	1	56.251180555	56.431486290	2723.3	4436.4	Sclerurus_rufigularis-ML73986701.wav	E:\Escritorio\Cantos\Furnariidae\Sclerurus_rufigularis-ML73986701.wav	2	c
10	Spectrogram 1	1	56.530477675	56.742602070	2108.4	4326.5	Sclerurus_rufigularis-ML73986701.wav	E:\Escritorio\Cantos\Furnariidae\Sclerurus_rufigularis-ML73986701.wav	2	d
11	Spectrogram 1	1	56.845128860	57.071394882	2284.1	4194.8	Sclerurus_rufigularis-ML73986701.wav	E:\Escritorio\Cantos\Furnariidae\Sclerurus_rufigularis-ML73986701.wav	2	e
12	Spectrogram 1	1	57.188063299	57.403723100	2371.9	4019.1	Sclerurus_rufigularis-ML73986701.wav	E:\Escritorio\Cantos\Furnariidae\Sclerurus_rufigularis-ML73986701.wav	2	f
13	Spectrogram 1	1	63.767981649	63.866973033	3338.2	5270.9	Sclerurus_rufigularis-ML73986701.wav	E:\Escritorio\Cantos\Furnariidae\Sclerurus_rufigularis-ML73986701.wav	3	a
14	Spectrogram 1	1	63.980106044	64.139199340	2964.9	4941.5	Sclerurus_rufigularis-ML73986701.wav	E:\Escritorio\Cantos\Furnariidae\Sclerurus_rufigularis-ML73986701.wav	3	b
15	Spectrogram 1	1	64.224049098	64.425567273	2613.5	4656.0	Sclerurus_rufigularis-ML73986701.wav	E:\Escritorio\Cantos\Furnariidae\Sclerurus_rufigularis-ML73986701.wav	3	c
16	Spectrogram 1	1	64.521023251	64.736683053	2151.2	4326.5	Sclerurus_rufigularis-ML73986701.wav	E:\Escritorio\Cantos\Furnariidae\Sclerurus_rufigularis-ML73986701.wav	3	d
17	Spectrogram 1	1	64.846280657	65.072546678	2240.9	4216.7	Sclerurus_rufigularis-ML73986701.wav	E:\Escritorio\Cantos\Furnariidae\Sclerurus_rufigularis-ML73986701.wav	3	e 
18	Spectrogram 1	1	65.183911985	65.394268677	2396.7	4074.5	Sclerurus_rufigularis-ML73986701.wav	E:\Escritorio\Cantos\Furnariidae\Sclerurus_rufigularis-ML73986701.wav	3	f
