Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	8.570376942	8.607875592	1361.7	5270.9	Sclerurus_scansor-ML103082.wav	E:\Escritorio\Cantos\Furnariidae\Sclerurus_scansor-ML103082.wav	1	a
2	Spectrogram 1	1	8.616625277	8.639124466	1295.8	4282.6	Sclerurus_scansor-ML103082.wav	E:\Escritorio\Cantos\Furnariidae\Sclerurus_scansor-ML103082.wav	1	b
3	Spectrogram 1	1	8.647874151	8.671623296	1229.9	4436.4	Sclerurus_scansor-ML103082.wav	E:\Escritorio\Cantos\Furnariidae\Sclerurus_scansor-ML103082.wav	1	b
4	Spectrogram 1	1	8.679123026	8.697872350	1251.8	4436.4	Sclerurus_scansor-ML103082.wav	E:\Escritorio\Cantos\Furnariidae\Sclerurus_scansor-ML103082.wav	1	b
5	Spectrogram 1	1	8.711621855	8.727871270	1207.9	4414.4	Sclerurus_scansor-ML103082.wav	E:\Escritorio\Cantos\Furnariidae\Sclerurus_scansor-ML103082.wav	1	b
6	Spectrogram 1	1	8.740370820	8.759120145	1251.8	4427.8	Sclerurus_scansor-ML103082.wav	E:\Escritorio\Cantos\Furnariidae\Sclerurus_scansor-ML103082.wav	1	b
7	Spectrogram 1	1	8.770369740	8.787869109	1207.9	4370.5	Sclerurus_scansor-ML103082.wav	E:\Escritorio\Cantos\Furnariidae\Sclerurus_scansor-ML103082.wav	1	b
8	Spectrogram 1	1	8.804118524	8.820367939	1218.4	4487.3	Sclerurus_scansor-ML103082.wav	E:\Escritorio\Cantos\Furnariidae\Sclerurus_scansor-ML103082.wav	1	b
9	Spectrogram 1	1	8.831617534	8.847866949	1159.0	4546.7	Sclerurus_scansor-ML103082.wav	E:\Escritorio\Cantos\Furnariidae\Sclerurus_scansor-ML103082.wav	1	b
10	Spectrogram 1	1	8.862866408	8.877865868	1218.4	4487.3	Sclerurus_scansor-ML103082.wav	E:\Escritorio\Cantos\Furnariidae\Sclerurus_scansor-ML103082.wav	1	b
11	Spectrogram 1	1	8.896615193	8.914114563	1218.4	4487.3	Sclerurus_scansor-ML103082.wav	E:\Escritorio\Cantos\Furnariidae\Sclerurus_scansor-ML103082.wav	1	b
12	Spectrogram 1	1	8.929114023	8.945363437	1159.0	4576.4	Sclerurus_scansor-ML103082.wav	E:\Escritorio\Cantos\Furnariidae\Sclerurus_scansor-ML103082.wav	1	b
13	Spectrogram 1	1	8.956613032	8.971612492	1188.7	4546.7	Sclerurus_scansor-ML103082.wav	E:\Escritorio\Cantos\Furnariidae\Sclerurus_scansor-ML103082.wav	1	b
