Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	72.325032833	72.346502739	4592.300	6333.000	Seiurus_aurocapilla-ML57730471.wav	D:\Andean\Parulidae\Seiurus_aurocapilla-ML57730471.wav	1	a
2	Spectrogram 1	1	72.356411927	72.386139490	4370.100	5296.000	Seiurus_aurocapilla-ML57730471.wav	D:\Andean\Parulidae\Seiurus_aurocapilla-ML57730471.wav	1	b
3	Spectrogram 1	1	72.467064522	72.521565054	3851.600	6555.200	Seiurus_aurocapilla-ML57730471.wav	D:\Andean\Parulidae\Seiurus_aurocapilla-ML57730471.wav	1	c
4	Spectrogram 1	1	72.524868117	72.569459461	2740.600	3629.400	Seiurus_aurocapilla-ML57730471.wav	D:\Andean\Parulidae\Seiurus_aurocapilla-ML57730471.wav	1	d
5	Spectrogram 1	1	72.650384493	72.680112056	3999.800	6851.500	Seiurus_aurocapilla-ML57730471.wav	D:\Andean\Parulidae\Seiurus_aurocapilla-ML57730471.wav	1	a
6	Spectrogram 1	1	72.694975838	72.723051869	4073.800	5518.200	Seiurus_aurocapilla-ML57730471.wav	D:\Andean\Parulidae\Seiurus_aurocapilla-ML57730471.wav	1	b
7	Spectrogram 1	1	72.785810057	72.848568246	3814.600	7110.700	Seiurus_aurocapilla-ML57730471.wav	D:\Andean\Parulidae\Seiurus_aurocapilla-ML57730471.wav	1	c
8	Spectrogram 1	1	72.851871308	72.889856527	2555.400	3814.600	Seiurus_aurocapilla-ML57730471.wav	D:\Andean\Parulidae\Seiurus_aurocapilla-ML57730471.wav	1	d
9	Spectrogram 1	1	72.960872372	72.997206060	4073.800	7888.400	Seiurus_aurocapilla-ML57730471.wav	D:\Andean\Parulidae\Seiurus_aurocapilla-ML57730471.wav	1	a
10	Spectrogram 1	1	73.010418310	73.038494342	3962.700	5592.300	Seiurus_aurocapilla-ML57730471.wav	D:\Andean\Parulidae\Seiurus_aurocapilla-ML57730471.wav	1	b
11	Spectrogram 1	1	73.091343343	73.159056125	3814.600	7184.800	Seiurus_aurocapilla-ML57730471.wav	D:\Andean\Parulidae\Seiurus_aurocapilla-ML57730471.wav	1	c
12	Spectrogram 1	1	73.164010718	73.203647469	2740.600	3814.600	Seiurus_aurocapilla-ML57730471.wav	D:\Andean\Parulidae\Seiurus_aurocapilla-ML57730471.wav	1	d
