Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	106.838361584	106.889559053	4792.3	6066.5	Setophaga_townsendi-ML80473821.wav	D:\Andean\Parulidae\Setophaga_townsendi-ML80473821.wav	1	a
2	Spectrogram 1	1	106.944059585	107.087742806	4210.6	4847.7	Setophaga_townsendi-ML80473821.wav	D:\Andean\Parulidae\Setophaga_townsendi-ML80473821.wav	1	b
3	Spectrogram 1	1	107.129031088	107.193440807	4736.9	6232.7	Setophaga_townsendi-ML80473821.wav	D:\Andean\Parulidae\Setophaga_townsendi-ML80473821.wav	1	a
4	Spectrogram 1	1	107.228122964	107.398230685	4072.0	4792.3	Setophaga_townsendi-ML80473821.wav	D:\Andean\Parulidae\Setophaga_townsendi-ML80473821.wav	1	b
5	Spectrogram 1	1	107.436215904	107.503928686	4709.2	6288.1	Setophaga_townsendi-ML80473821.wav	D:\Andean\Parulidae\Setophaga_townsendi-ML80473821.wav	1	a
6	Spectrogram 1	1	107.532004718	107.721930814	4072.0	4847.7	Setophaga_townsendi-ML80473821.wav	D:\Andean\Parulidae\Setophaga_townsendi-ML80473821.wav	1	b
7	Spectrogram 1	1	107.776431346	108.020857974	3601.1	6814.4	Setophaga_townsendi-ML80473821.wav	D:\Andean\Parulidae\Setophaga_townsendi-ML80473821.wav	1	c
8	Spectrogram 1	1	108.078661568	108.283451446	3490.3	6814.4	Setophaga_townsendi-ML80473821.wav	D:\Andean\Parulidae\Setophaga_townsendi-ML80473821.wav	1	c
9	Spectrogram 1	1	108.328042790	108.475029073	6149.6	7091.5	Setophaga_townsendi-ML80473821.wav	D:\Andean\Parulidae\Setophaga_townsendi-ML80473821.wav	1	d
10	Spectrogram 1	1	116.449048572	116.506852166	4875.4	6288.1	Setophaga_townsendi-ML80473821.wav	D:\Andean\Parulidae\Setophaga_townsendi-ML80473821.wav	2	a
11	Spectrogram 1	1	116.546488917	116.706687450	4238.3	4792.3	Setophaga_townsendi-ML80473821.wav	D:\Andean\Parulidae\Setophaga_townsendi-ML80473821.wav	2	b
12	Spectrogram 1	1	116.752930326	116.815688514	4598.4	6205.0	Setophaga_townsendi-ML80473821.wav	D:\Andean\Parulidae\Setophaga_townsendi-ML80473821.wav	2	a
13	Spectrogram 1	1	116.853673733	117.027084516	4127.4	4709.2	Setophaga_townsendi-ML80473821.wav	D:\Andean\Parulidae\Setophaga_townsendi-ML80473821.wav	2	b
14	Spectrogram 1	1	117.068372798	117.136085580	4681.5	6260.4	Setophaga_townsendi-ML80473821.wav	D:\Andean\Parulidae\Setophaga_townsendi-ML80473821.wav	2	a
15	Spectrogram 1	1	117.169116206	117.373906083	4072.0	4653.8	Setophaga_townsendi-ML80473821.wav	D:\Andean\Parulidae\Setophaga_townsendi-ML80473821.wav	2	b
16	Spectrogram 1	1	117.428406615	117.656317931	3518.0	6759.0	Setophaga_townsendi-ML80473821.wav	D:\Andean\Parulidae\Setophaga_townsendi-ML80473821.wav	2	c
17	Spectrogram 1	1	117.709166931	117.905699153	3628.8	6897.6	Setophaga_townsendi-ML80473821.wav	D:\Andean\Parulidae\Setophaga_townsendi-ML80473821.wav	2	c
18	Spectrogram 1	1	117.955245091	118.112140561	6177.3	7119.2	Setophaga_townsendi-ML80473821.wav	D:\Andean\Parulidae\Setophaga_townsendi-ML80473821.wav	2	d
19	Spectrogram 1	1	125.049278968	125.108734094	4875.4	6232.7	Setophaga_townsendi-ML80473821.wav	D:\Andean\Parulidae\Setophaga_townsendi-ML80473821.wav	3	a
20	Spectrogram 1	1	125.150022376	125.298660190	4266.0	4903.1	Setophaga_townsendi-ML80473821.wav	D:\Andean\Parulidae\Setophaga_townsendi-ML80473821.wav	3	b
21	Spectrogram 1	1	125.339948472	125.402706660	4820.0	6398.9	Setophaga_townsendi-ML80473821.wav	D:\Andean\Parulidae\Setophaga_townsendi-ML80473821.wav	3	a
22	Spectrogram 1	1	125.437388817	125.632269507	4044.3	4681.5	Setophaga_townsendi-ML80473821.wav	D:\Andean\Parulidae\Setophaga_townsendi-ML80473821.wav	3	b
23	Spectrogram 1	1	125.673557789	125.739619039	4764.6	6260.4	Setophaga_townsendi-ML80473821.wav	D:\Andean\Parulidae\Setophaga_townsendi-ML80473821.wav	3	a
24	Spectrogram 1	1	125.777604259	125.951015042	4072.0	4653.8	Setophaga_townsendi-ML80473821.wav	D:\Andean\Parulidae\Setophaga_townsendi-ML80473821.wav	3	b
25	Spectrogram 1	1	125.997257918	126.248290671	3601.1	6786.7	Setophaga_townsendi-ML80473821.wav	D:\Andean\Parulidae\Setophaga_townsendi-ML80473821.wav	3	c
26	Spectrogram 1	1	126.306094265	126.500974955	3711.9	6869.8	Setophaga_townsendi-ML80473821.wav	D:\Andean\Parulidae\Setophaga_townsendi-ML80473821.wav	3	c
27	Spectrogram 1	1	126.555475487	126.700810239	6343.5	7174.6	Setophaga_townsendi-ML80473821.wav	D:\Andean\Parulidae\Setophaga_townsendi-ML80473821.wav	3	d
