Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	8.603654186	8.848080814	3553.1	4258.5	Sinosuthora_alphonsiana-ML90381581.wav	C:\Users\pfmar\Downloads\Andean\Sylviidae\Sinosuthora_alphonsiana-ML90381581.wav	1	a
2	Spectrogram 1	1	8.874505314	9.099113567	3709.8	4624.2	Sinosuthora_alphonsiana-ML90381581.wav	C:\Users\pfmar\Downloads\Andean\Sylviidae\Sinosuthora_alphonsiana-ML90381581.wav	1	b
3	Spectrogram 1	1	9.158568693	9.336934070	3736.0	4781.0	Sinosuthora_alphonsiana-ML90381581.wav	C:\Users\pfmar\Downloads\Andean\Sylviidae\Sinosuthora_alphonsiana-ML90381581.wav	1	b
4	Spectrogram 1	1	9.389783071	9.528511698	3840.5	4963.9	Sinosuthora_alphonsiana-ML90381581.wav	C:\Users\pfmar\Downloads\Andean\Sylviidae\Sinosuthora_alphonsiana-ML90381581.wav	1	b
5	Spectrogram 1	1	16.711853982	16.943068360	3474.7	4284.6	Sinosuthora_alphonsiana-ML90381581.wav	C:\Users\pfmar\Downloads\Andean\Sylviidae\Sinosuthora_alphonsiana-ML90381581.wav	2	a
6	Spectrogram 1	1	17.022341861	17.220525613	3709.8	4650.4	Sinosuthora_alphonsiana-ML90381581.wav	C:\Users\pfmar\Downloads\Andean\Sylviidae\Sinosuthora_alphonsiana-ML90381581.wav	2	b
7	Spectrogram 1	1	17.260162364	17.445133866	3762.1	4754.9	Sinosuthora_alphonsiana-ML90381581.wav	C:\Users\pfmar\Downloads\Andean\Sylviidae\Sinosuthora_alphonsiana-ML90381581.wav	2	b
8	Spectrogram 1	1	17.484770616	17.643317618	3866.6	4833.2	Sinosuthora_alphonsiana-ML90381581.wav	C:\Users\pfmar\Downloads\Andean\Sylviidae\Sinosuthora_alphonsiana-ML90381581.wav	2	b
9	Spectrogram 1	1	22.988866488	23.246505366	3579.2	4336.8	Sinosuthora_alphonsiana-ML90381581.wav	C:\Users\pfmar\Downloads\Andean\Sylviidae\Sinosuthora_alphonsiana-ML90381581.wav	3	a
10	Spectrogram 1	1	23.299354367	23.497538119	3736.0	4728.7	Sinosuthora_alphonsiana-ML90381581.wav	C:\Users\pfmar\Downloads\Andean\Sylviidae\Sinosuthora_alphonsiana-ML90381581.wav	3	b
11	Spectrogram 1	1	23.563599370	23.728752497	3788.2	4807.1	Sinosuthora_alphonsiana-ML90381581.wav	C:\Users\pfmar\Downloads\Andean\Sylviidae\Sinosuthora_alphonsiana-ML90381581.wav	3	b
12	Spectrogram 1	1	23.781601498	23.926936250	3840.5	4911.6	Sinosuthora_alphonsiana-ML90381581.wav	C:\Users\pfmar\Downloads\Andean\Sylviidae\Sinosuthora_alphonsiana-ML90381581.wav	3	b
