Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	40.103443454	40.276279180	5872.6	6509.7	Spizelloides_arborea-ML130845.wav	D:\Andean\Passerellidae\Spizelloides_arborea-ML130845.wav	1	a
2	Spectrogram 1	1	40.346347718	40.418751873	4709.2	5789.5	Spizelloides_arborea-ML130845.wav	D:\Andean\Passerellidae\Spizelloides_arborea-ML130845.wav	1	b
3	Spectrogram 1	1	40.498162883	40.556553331	4792.3	5651.0	Spizelloides_arborea-ML130845.wav	D:\Andean\Passerellidae\Spizelloides_arborea-ML130845.wav	1	b
4	Spectrogram 1	1	40.626621868	40.710704114	4598.4	5761.8	Spizelloides_arborea-ML130845.wav	D:\Andean\Passerellidae\Spizelloides_arborea-ML130845.wav	1	b
5	Spectrogram 1	1	40.757416472	40.916238491	4266.0	4875.4	Spizelloides_arborea-ML130845.wav	D:\Andean\Passerellidae\Spizelloides_arborea-ML130845.wav	1	c
6	Spectrogram 1	1	40.951272760	40.983971411	5817.2	8836.6	Spizelloides_arborea-ML130845.wav	D:\Andean\Passerellidae\Spizelloides_arborea-ML130845.wav	1	d
7	Spectrogram 1	1	41.014334443	41.166149608	4349.1	4875.4	Spizelloides_arborea-ML130845.wav	D:\Andean\Passerellidae\Spizelloides_arborea-ML130845.wav	1	c
8	Spectrogram 1	1	41.210526349	41.245560618	5928.0	8975.1	Spizelloides_arborea-ML130845.wav	D:\Andean\Passerellidae\Spizelloides_arborea-ML130845.wav	1	d
9	Spectrogram 1	1	41.261909943	41.371683986	3324.1	5484.8	Spizelloides_arborea-ML130845.wav	D:\Andean\Passerellidae\Spizelloides_arborea-ML130845.wav	1	e
10	Spectrogram 1	1	41.411389490	41.523499150	3268.7	5540.2	Spizelloides_arborea-ML130845.wav	D:\Andean\Passerellidae\Spizelloides_arborea-ML130845.wav	1	e
11	Spectrogram 1	1	41.549190948	41.665971844	3241.0	5651.0	Spizelloides_arborea-ML130845.wav	D:\Andean\Passerellidae\Spizelloides_arborea-ML130845.wav	1	e
12	Spectrogram 1	1	41.686992405	41.787423976	6675.9	9002.8	Spizelloides_arborea-ML130845.wav	D:\Andean\Passerellidae\Spizelloides_arborea-ML130845.wav	1	f
13	Spectrogram 1	1	41.834136334	42.058355655	2936.3	3573.4	Spizelloides_arborea-ML130845.wav	D:\Andean\Passerellidae\Spizelloides_arborea-ML130845.wav	1	g
14	Spectrogram 1	1	47.242859031	47.418030375	5789.5	6731.3	Spizelloides_arborea-ML130845.wav	D:\Andean\Passerellidae\Spizelloides_arborea-ML130845.wav	2	a
15	Spectrogram 1	1	47.471749587	47.565174304	4653.8	5540.2	Spizelloides_arborea-ML130845.wav	D:\Andean\Passerellidae\Spizelloides_arborea-ML130845.wav	2	b
16	Spectrogram 1	1	47.621229134	47.705311380	4515.3	5734.1	Spizelloides_arborea-ML130845.wav	D:\Andean\Passerellidae\Spizelloides_arborea-ML130845.wav	2	b
17	Spectrogram 1	1	47.756694974	47.831434747	4515.3	5872.6	Spizelloides_arborea-ML130845.wav	D:\Andean\Passerellidae\Spizelloides_arborea-ML130845.wav	2	b
