Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	68.811207282	68.908430963	1018.900	2090.000	Spiziapteryx_circumcincta-ML46191.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Falconidae\Falconidae\Spiziapteryx_circumcincta-ML46191.wav	2	d
2	Spectrogram 1	1	71.935385509	72.039680004	966.600	2168.400	Spiziapteryx_circumcincta-ML46191.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Falconidae\Falconidae\Spiziapteryx_circumcincta-ML46191.wav	2	d
3	Spectrogram 1	1	92.185745112	92.271992005	653.100	1698.200	Spiziapteryx_circumcincta-ML46191.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Falconidae\Falconidae\Spiziapteryx_circumcincta-ML46191.wav	3	d
4	Spectrogram 1	1	93.219458382	93.241957572	365.800	2325.200	Spiziapteryx_circumcincta-ML46191.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Falconidae\Falconidae\Spiziapteryx_circumcincta-ML46191.wav	3	e
5	Spectrogram 1	1	12.543591632	12.658587490	1045.000	2090.000	Spiziapteryx_circumcincta-ML46191.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Falconidae\Falconidae\Spiziapteryx_circumcincta-ML46191.wav	1	d
6	Spectrogram 1	1	22.335204129	22.433119523	1201.800	1828.800	Spiziapteryx_circumcincta-ML46191.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Falconidae\Falconidae\Spiziapteryx_circumcincta-ML46191.wav	1	d
7	Spectrogram 1	1	25.568005464	25.658002223	1149.500	1933.300	Spiziapteryx_circumcincta-ML46191.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Falconidae\Falconidae\Spiziapteryx_circumcincta-ML46191.wav	1	d
8	Spectrogram 1	1	10.776420532	10.891416391	1227.900	2063.900	Spiziapteryx_circumcincta-ML46191.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Falconidae\Falconidae\Spiziapteryx_circumcincta-ML46191.wav	1	c
9	Spectrogram 1	1	77.253605731	77.289854426	940.500	3291.800	Spiziapteryx_circumcincta-ML46191.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Falconidae\Falconidae\Spiziapteryx_circumcincta-ML46191.wav	2	e
10	Spectrogram 1	1	17.460800759	17.563297067	966.600	2011.700	Spiziapteryx_circumcincta-ML46191.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Falconidae\Falconidae\Spiziapteryx_circumcincta-ML46191.wav	1	d
