Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	225.219986180	225.484231184	360.1	1551.3	Stercorarius_pomarinus-ML60141.wav	D:\Andean\Stercorariidae\Stercorarius_pomarinus-ML60141.wav	1	a
2	Spectrogram 1	1	225.543686309	225.867386438	332.4	1662.1	Stercorarius_pomarinus-ML60141.wav	D:\Andean\Stercorariidae\Stercorarius_pomarinus-ML60141.wav	1	b
3	Spectrogram 1	1	225.966478315	226.204298818	332.4	1828.3	Stercorarius_pomarinus-ML60141.wav	D:\Andean\Stercorariidae\Stercorarius_pomarinus-ML60141.wav	1	b
4	Spectrogram 1	1	226.283572319	226.580847947	387.8	1966.8	Stercorarius_pomarinus-ML60141.wav	D:\Andean\Stercorariidae\Stercorarius_pomarinus-ML60141.wav	1	b
5	Spectrogram 1	1	226.660121448	226.997033828	332.4	1966.8	Stercorarius_pomarinus-ML60141.wav	D:\Andean\Stercorariidae\Stercorarius_pomarinus-ML60141.wav	1	b
6	Spectrogram 1	1	227.069701204	227.406613583	415.5	2105.3	Stercorarius_pomarinus-ML60141.wav	D:\Andean\Stercorariidae\Stercorarius_pomarinus-ML60141.wav	1	b
7	Spectrogram 1	1	227.505705459	227.816193338	443.2	2077.6	Stercorarius_pomarinus-ML60141.wav	D:\Andean\Stercorariidae\Stercorarius_pomarinus-ML60141.wav	1	b
8	Spectrogram 1	1	227.935103589	228.205954718	387.8	2049.9	Stercorarius_pomarinus-ML60141.wav	D:\Andean\Stercorariidae\Stercorarius_pomarinus-ML60141.wav	1	b
9	Spectrogram 1	1	228.285228219	228.549473222	304.7	1994.5	Stercorarius_pomarinus-ML60141.wav	D:\Andean\Stercorariidae\Stercorarius_pomarinus-ML60141.wav	1	b
10	Spectrogram 1	1	228.648565098	228.840142726	277.0	1772.9	Stercorarius_pomarinus-ML60141.wav	D:\Andean\Stercorariidae\Stercorarius_pomarinus-ML60141.wav	1	b
11	Spectrogram 1	1	228.906203977	229.091175479	332.4	1772.9	Stercorarius_pomarinus-ML60141.wav	D:\Andean\Stercorariidae\Stercorarius_pomarinus-ML60141.wav	1	b
12	Spectrogram 1	1	229.150630605	229.335602107	304.7	1717.5	Stercorarius_pomarinus-ML60141.wav	D:\Andean\Stercorariidae\Stercorarius_pomarinus-ML60141.wav	1	b
13	Spectrogram 1	1	229.408269483	229.560210360	193.9	1579.0	Stercorarius_pomarinus-ML60141.wav	D:\Andean\Stercorariidae\Stercorarius_pomarinus-ML60141.wav	1	b
14	Spectrogram 1	1	232.374419531	232.764180911	387.8	1551.3	Stercorarius_pomarinus-ML60141.wav	D:\Andean\Stercorariidae\Stercorarius_pomarinus-ML60141.wav	2	b
15	Spectrogram 1	1	232.856666662	233.173760666	332.4	1717.5	Stercorarius_pomarinus-ML60141.wav	D:\Andean\Stercorariidae\Stercorarius_pomarinus-ML60141.wav	2	b
16	Spectrogram 1	1	233.259640292	233.510673045	332.4	1745.2	Stercorarius_pomarinus-ML60141.wav	D:\Andean\Stercorariidae\Stercorarius_pomarinus-ML60141.wav	2	b
17	Spectrogram 1	1	233.603158796	233.860797674	360.1	1828.3	Stercorarius_pomarinus-ML60141.wav	D:\Andean\Stercorariidae\Stercorarius_pomarinus-ML60141.wav	2	b
