Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	5.099740001	5.347315500	1018.6	5602.0	Stilpnia_argyrofenges-ML43557471.wav	C:\Users\pfmar\Downloads\Andean\Thraupidae\Stilpnia_argyrofenges-ML43557471.wav	1	a
2	Spectrogram 1	1	5.604233472	5.819110321	940.2	5758.7	Stilpnia_argyrofenges-ML43557471.wav	C:\Users\pfmar\Downloads\Andean\Thraupidae\Stilpnia_argyrofenges-ML43557471.wav	1	a
4	Spectrogram 1	1	6.001288519	6.160110537	5562.9	8618.5	Stilpnia_argyrofenges-ML43557471.wav	C:\Users\pfmar\Downloads\Andean\Thraupidae\Stilpnia_argyrofenges-ML43557471.wav	1	b
5	Spectrogram 1	1	6.360973678	6.403014801	4583.5	9715.4	Stilpnia_argyrofenges-ML43557471.wav	C:\Users\pfmar\Downloads\Andean\Thraupidae\Stilpnia_argyrofenges-ML43557471.wav	1	c
6	Spectrogram 1	1	6.603877942	6.645919065	4661.8	9793.8	Stilpnia_argyrofenges-ML43557471.wav	C:\Users\pfmar\Downloads\Andean\Thraupidae\Stilpnia_argyrofenges-ML43557471.wav	1	c
7	Spectrogram 1	1	6.809412319	7.192453659	3878.3	5562.9	Stilpnia_argyrofenges-ML43557471.wav	C:\Users\pfmar\Downloads\Andean\Thraupidae\Stilpnia_argyrofenges-ML43557471.wav	1	d
8	Spectrogram 1	1	7.519440168	7.860440384	4074.2	5680.4	Stilpnia_argyrofenges-ML43557471.wav	C:\Users\pfmar\Downloads\Andean\Thraupidae\Stilpnia_argyrofenges-ML43557471.wav	1	d
9	Spectrogram 1	1	8.164070714	8.369605091	5523.7	8579.4	Stilpnia_argyrofenges-ML43557471.wav	C:\Users\pfmar\Downloads\Andean\Thraupidae\Stilpnia_argyrofenges-ML43557471.wav	1	b
10	Spectrogram 1	1	8.598495442	8.804029819	5641.2	11321.6	Stilpnia_argyrofenges-ML43557471.wav	C:\Users\pfmar\Downloads\Andean\Thraupidae\Stilpnia_argyrofenges-ML43557471.wav	1	e
11	Spectrogram 1	1	9.079632734	9.271153404	5758.7	10969.0	Stilpnia_argyrofenges-ML43557471.wav	C:\Users\pfmar\Downloads\Andean\Thraupidae\Stilpnia_argyrofenges-ML43557471.wav	1	e
12	Spectrogram 1	1	9.504715196	9.733605752	5523.7	8579.4	Stilpnia_argyrofenges-ML43557471.wav	C:\Users\pfmar\Downloads\Andean\Thraupidae\Stilpnia_argyrofenges-ML43557471.wav	1	b
13	Spectrogram 1	1	9.813016762	10.041907318	5562.9	10969.0	Stilpnia_argyrofenges-ML43557471.wav	C:\Users\pfmar\Downloads\Andean\Thraupidae\Stilpnia_argyrofenges-ML43557471.wav	1	e
14	Spectrogram 1	1	10.261455403	10.452976072	979.4	5641.2	Stilpnia_argyrofenges-ML43557471.wav	C:\Users\pfmar\Downloads\Andean\Thraupidae\Stilpnia_argyrofenges-ML43557471.wav	1	b
15	Spectrogram 1	1	10.488670383	10.647492402	5719.6	10812.3	Stilpnia_argyrofenges-ML43557471.wav	C:\Users\pfmar\Downloads\Andean\Thraupidae\Stilpnia_argyrofenges-ML43557471.wav	1	e
16	Spectrogram 1	1	10.680191052	10.918424080	4583.5	8736.1	Stilpnia_argyrofenges-ML43557471.wav	C:\Users\pfmar\Downloads\Andean\Thraupidae\Stilpnia_argyrofenges-ML43557471.wav	1	f
17	Spectrogram 1	1	10.946451496	11.161328344	3839.2	5680.4	Stilpnia_argyrofenges-ML43557471.wav	C:\Users\pfmar\Downloads\Andean\Thraupidae\Stilpnia_argyrofenges-ML43557471.wav	1	d
18	Spectrogram 1	1	11.165999580	11.338835306	6033.0	8657.7	Stilpnia_argyrofenges-ML43557471.wav	C:\Users\pfmar\Downloads\Andean\Thraupidae\Stilpnia_argyrofenges-ML43557471.wav	1	b
19	Spectrogram 1	1	11.366862721	11.530355976	6111.3	8540.2	Stilpnia_argyrofenges-ML43557471.wav	C:\Users\pfmar\Downloads\Andean\Thraupidae\Stilpnia_argyrofenges-ML43557471.wav	1	b
20	Spectrogram 1	1	11.567725863	11.759246532	5876.3	10929.9	Stilpnia_argyrofenges-ML43557471.wav	C:\Users\pfmar\Downloads\Andean\Thraupidae\Stilpnia_argyrofenges-ML43557471.wav	1	e
21	Spectrogram 1	1	11.805958891	12.002150796	5954.6	10812.3	Stilpnia_argyrofenges-ML43557471.wav	C:\Users\pfmar\Downloads\Andean\Thraupidae\Stilpnia_argyrofenges-ML43557471.wav	1	e
22	Spectrogram 1	1	12.086233041	12.380520900	3878.3	5719.6	Stilpnia_argyrofenges-ML43557471.wav	C:\Users\pfmar\Downloads\Andean\Thraupidae\Stilpnia_argyrofenges-ML43557471.wav	1	d
23	Spectrogram 1	1	12.329137305	12.558027862	5876.3	9049.5	Stilpnia_argyrofenges-ML43557471.wav	C:\Users\pfmar\Downloads\Andean\Thraupidae\Stilpnia_argyrofenges-ML43557471.wav	1	b
24	Spectrogram 1	1	12.590726513	12.814945833	5758.7	8971.1	Stilpnia_argyrofenges-ML43557471.wav	C:\Users\pfmar\Downloads\Andean\Thraupidae\Stilpnia_argyrofenges-ML43557471.wav	1	b
25	Spectrogram 1	1	12.828959541	13.099891219	3956.7	5562.9	Stilpnia_argyrofenges-ML43557471.wav	C:\Users\pfmar\Downloads\Andean\Thraupidae\Stilpnia_argyrofenges-ML43557471.wav	1	d
26	Spectrogram 1	1	13.317759983	13.373814813	4426.8	10185.5	Stilpnia_argyrofenges-ML43557471.wav	C:\Users\pfmar\Downloads\Andean\Thraupidae\Stilpnia_argyrofenges-ML43557471.wav	1	c
27	Spectrogram 1	1	13.499938181	13.565335482	4426.8	10342.2	Stilpnia_argyrofenges-ML43557471.wav	C:\Users\pfmar\Downloads\Andean\Thraupidae\Stilpnia_argyrofenges-ML43557471.wav	1	c
28	Spectrogram 1	1	13.654088964	13.696130086	4426.8	10342.2	Stilpnia_argyrofenges-ML43557471.wav	C:\Users\pfmar\Downloads\Andean\Thraupidae\Stilpnia_argyrofenges-ML43557471.wav	1	c
29	Spectrogram 1	1	14.326313604	14.657971349	1214.4	5797.9	Stilpnia_argyrofenges-ML43557471.wav	C:\Users\pfmar\Downloads\Andean\Thraupidae\Stilpnia_argyrofenges-ML43557471.wav	2	a
30	Spectrogram 1	1	15.335740373	15.401137674	4583.5	10185.5	Stilpnia_argyrofenges-ML43557471.wav	C:\Users\pfmar\Downloads\Andean\Thraupidae\Stilpnia_argyrofenges-ML43557471.wav	2	c
31	Spectrogram 1	1	15.559959693	15.616014523	4701.0	10263.9	Stilpnia_argyrofenges-ML43557471.wav	C:\Users\pfmar\Downloads\Andean\Thraupidae\Stilpnia_argyrofenges-ML43557471.wav	2	c
32	Spectrogram 1	1	15.858918787	16.190576532	1136.1	5602.0	Stilpnia_argyrofenges-ML43557471.wav	C:\Users\pfmar\Downloads\Andean\Thraupidae\Stilpnia_argyrofenges-ML43557471.wav	2	a
33	Spectrogram 1	1	21.024926271	21.277173007	6268.0	11125.7	Stilpnia_argyrofenges-ML43557471.wav	C:\Users\pfmar\Downloads\Andean\Thraupidae\Stilpnia_argyrofenges-ML43557471.wav	3	e
34	Spectrogram 1	1	21.636858167	21.861077487	5837.1	11008.2	Stilpnia_argyrofenges-ML43557471.wav	C:\Users\pfmar\Downloads\Andean\Thraupidae\Stilpnia_argyrofenges-ML43557471.wav	3	e
35	Spectrogram 1	1	22.047926921	22.234776355	5406.2	8657.7	Stilpnia_argyrofenges-ML43557471.wav	C:\Users\pfmar\Downloads\Andean\Thraupidae\Stilpnia_argyrofenges-ML43557471.wav	3	b
36	Spectrogram 1	1	22.351557251	22.571105335	1096.9	5719.6	Stilpnia_argyrofenges-ML43557471.wav	C:\Users\pfmar\Downloads\Andean\Thraupidae\Stilpnia_argyrofenges-ML43557471.wav	3	b
37	Spectrogram 1	1	22.617817694	22.814009599	5758.7	8892.8	Stilpnia_argyrofenges-ML43557471.wav	C:\Users\pfmar\Downloads\Andean\Thraupidae\Stilpnia_argyrofenges-ML43557471.wav	3	b
