Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	1.764017247	2.492754772	210.2	770.8	Streptopelia_hypopyrrha-ML138549521.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Columbidae\Columbidae\Streptopelia_hypopyrrha-ML138549521.wav	1	a
2	Spectrogram 1	1	2.797466181	3.210478632	163.5	700.7	Streptopelia_hypopyrrha-ML138549521.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Columbidae\Columbidae\Streptopelia_hypopyrrha-ML138549521.wav	1	b
3	Spectrogram 1	1	3.767610520	4.640233927	165.2	842.3	Streptopelia_hypopyrrha-ML138549521.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Columbidae\Columbidae\Streptopelia_hypopyrrha-ML138549521.wav	1	a
4	Spectrogram 1	1	5.047065110	5.760493707	165.2	891.9	Streptopelia_hypopyrrha-ML138549521.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Columbidae\Columbidae\Streptopelia_hypopyrrha-ML138549521.wav	1	c
5	Spectrogram 1	1	6.061195016	6.532883344	132.1	776.3	Streptopelia_hypopyrrha-ML138549521.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Columbidae\Columbidae\Streptopelia_hypopyrrha-ML138549521.wav	1	b
6	Spectrogram 1	1	7.163967906	8.013006896	165.2	842.3	Streptopelia_hypopyrrha-ML138549521.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Columbidae\Columbidae\Streptopelia_hypopyrrha-ML138549521.wav	1	a
7	Spectrogram 1	1	8.437526391	9.168643300	132.1	858.9	Streptopelia_hypopyrrha-ML138549521.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Columbidae\Columbidae\Streptopelia_hypopyrrha-ML138549521.wav	1	c
8	Spectrogram 1	1	9.380903048	9.929240729	99.1	776.3	Streptopelia_hypopyrrha-ML138549521.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Columbidae\Columbidae\Streptopelia_hypopyrrha-ML138549521.wav	1	b
9	Spectrogram 1	1	10.583100594	11.461620105	231.2	891.9	Streptopelia_hypopyrrha-ML138549521.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Columbidae\Columbidae\Streptopelia_hypopyrrha-ML138549521.wav	1	a
10	Spectrogram 1	1	11.880243496	12.511126635	181.7	891.9	Streptopelia_hypopyrrha-ML138549521.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Columbidae\Columbidae\Streptopelia_hypopyrrha-ML138549521.wav	1	c
11	Spectrogram 1	1	12.858996777	13.342477313	214.7	776.3	Streptopelia_hypopyrrha-ML138549521.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Columbidae\Columbidae\Streptopelia_hypopyrrha-ML138549521.wav	1	b
12	Spectrogram 1	1	14.008737077	14.922633212	214.7	858.9	Streptopelia_hypopyrrha-ML138549521.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Columbidae\Columbidae\Streptopelia_hypopyrrha-ML138549521.wav	1	a
13	Spectrogram 1	1	15.307865709	15.968229368	198.2	842.3	Streptopelia_hypopyrrha-ML138549521.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Columbidae\Columbidae\Streptopelia_hypopyrrha-ML138549521.wav	1	c
14	Spectrogram 1	1	16.286618990	16.793683943	214.7	776.3	Streptopelia_hypopyrrha-ML138549521.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Columbidae\Columbidae\Streptopelia_hypopyrrha-ML138549521.wav	1	b
15	Spectrogram 1	1	17.424567081	18.391528154	198.2	776.3	Streptopelia_hypopyrrha-ML138549521.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Columbidae\Columbidae\Streptopelia_hypopyrrha-ML138549521.wav	1	a
16	Spectrogram 1	1	18.751190504	19.352593122	231.2	792.8	Streptopelia_hypopyrrha-ML138549521.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Columbidae\Columbidae\Streptopelia_hypopyrrha-ML138549521.wav	1	c
17	Spectrogram 1	1	19.700463264	20.231112633	165.2	825.8	Streptopelia_hypopyrrha-ML138549521.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Columbidae\Columbidae\Streptopelia_hypopyrrha-ML138549521.wav	1	b
18	Spectrogram 1	1	20.999155086	21.812817452	181.7	858.9	Streptopelia_hypopyrrha-ML138549521.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Columbidae\Columbidae\Streptopelia_hypopyrrha-ML138549521.wav	1	a
19	Spectrogram 1	1	22.243233052	22.844635670	165.2	825.8	Streptopelia_hypopyrrha-ML138549521.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Columbidae\Columbidae\Streptopelia_hypopyrrha-ML138549521.wav	1	c
20	Spectrogram 1	1	23.174817500	23.640609724	181.7	809.3	Streptopelia_hypopyrrha-ML138549521.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Columbidae\Columbidae\Streptopelia_hypopyrrha-ML138549521.wav	1	b
21	Spectrogram 1	1	68.120539102	68.898824843	148.6	891.9	Streptopelia_hypopyrrha-ML138549521.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Columbidae\Columbidae\Streptopelia_hypopyrrha-ML138549521.wav	2	a
22	Spectrogram 1	1	69.202350825	69.656350841	214.7	759.8	Streptopelia_hypopyrrha-ML138549521.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Columbidae\Columbidae\Streptopelia_hypopyrrha-ML138549521.wav	2	b
23	Spectrogram 1	1	70.213656058	71.103967777	148.6	842.3	Streptopelia_hypopyrrha-ML138549521.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Columbidae\Columbidae\Streptopelia_hypopyrrha-ML138549521.wav	2	a
24	Spectrogram 1	1	71.461339358	72.204248475	198.2	891.9	Streptopelia_hypopyrrha-ML138549521.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Columbidae\Columbidae\Streptopelia_hypopyrrha-ML138549521.wav	2	b
