Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	5.265330139	5.292385159	1977.6	2323.7	Syma_torotoro-ML173730.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Alcedinidae\Alcedinidae\Syma_torotoro-ML173730.wav	1	a
2	Spectrogram 1	1	5.334658627	5.370168341	2002.3	2546.1	Syma_torotoro-ML173730.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Alcedinidae\Alcedinidae\Syma_torotoro-ML173730.wav	1	b
3	Spectrogram 1	1	5.392150545	5.432733074	1977.6	2595.6	Syma_torotoro-ML173730.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Alcedinidae\Alcedinidae\Syma_torotoro-ML173730.wav	1	b
4	Spectrogram 1	1	5.449642462	5.483461237	2027.0	2595.6	Syma_torotoro-ML173730.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Alcedinidae\Alcedinidae\Syma_torotoro-ML173730.wav	1	c
5	Spectrogram 1	1	5.512207195	5.554480664	2051.7	2719.2	Syma_torotoro-ML173730.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Alcedinidae\Alcedinidae\Syma_torotoro-ML173730.wav	1	d
6	Spectrogram 1	1	5.574771929	5.608590703	2027.0	2645.0	Syma_torotoro-ML173730.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Alcedinidae\Alcedinidae\Syma_torotoro-ML173730.wav	1	d
7	Spectrogram 1	1	5.633954785	5.672846376	2027.0	2645.0	Syma_torotoro-ML173730.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Alcedinidae\Alcedinidae\Syma_torotoro-ML173730.wav	1	d
8	Spectrogram 1	1	5.691446702	5.735411109	2076.5	2669.7	Syma_torotoro-ML173730.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Alcedinidae\Alcedinidae\Syma_torotoro-ML173730.wav	1	d
9	Spectrogram 1	1	5.745556742	5.786139271	2051.7	2669.7	Syma_torotoro-ML173730.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Alcedinidae\Alcedinidae\Syma_torotoro-ML173730.wav	1	d
10	Spectrogram 1	1	5.804739597	5.848704005	2002.3	2645.0	Syma_torotoro-ML173730.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Alcedinidae\Alcedinidae\Syma_torotoro-ML173730.wav	1	d
