Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	1.510173273	1.553405819	1917.4	6992.8	Tachycineta_leucopyga-ML220420.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hirundinidae\Tachycineta_leucopyga-ML220420.wav	1	a
2	Spectrogram 1	1	1.560924523	1.594758689	2199.4	6880.1	Tachycineta_leucopyga-ML220420.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hirundinidae\Tachycineta_leucopyga-ML220420.wav	1	a
3	Spectrogram 1	1	1.598518040	1.639870910	1917.4	7049.2	Tachycineta_leucopyga-ML220420.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hirundinidae\Tachycineta_leucopyga-ML220420.wav	1	a
4	Spectrogram 1	1	1.643630262	1.675584752	2030.2	7105.6	Tachycineta_leucopyga-ML220420.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hirundinidae\Tachycineta_leucopyga-ML220420.wav	1	a
5	Spectrogram 1	1	1.679344104	1.709418918	1973.8	6710.9	Tachycineta_leucopyga-ML220420.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hirundinidae\Tachycineta_leucopyga-ML220420.wav	1	a
6	Spectrogram 1	1	1.837236879	1.903025535	1691.8	5583.0	Tachycineta_leucopyga-ML220420.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hirundinidae\Tachycineta_leucopyga-ML220420.wav	1	b
7	Spectrogram 1	1	1.916183266	1.972573543	1973.8	6259.7	Tachycineta_leucopyga-ML220420.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hirundinidae\Tachycineta_leucopyga-ML220420.wav	1	a
8	Spectrogram 1	1	1.976332895	2.015806088	1861.0	6203.3	Tachycineta_leucopyga-ML220420.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hirundinidae\Tachycineta_leucopyga-ML220420.wav	1	a
9	Spectrogram 1	1	2.019565440	2.064677662	1748.2	6372.5	Tachycineta_leucopyga-ML220420.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hirundinidae\Tachycineta_leucopyga-ML220420.wav	1	a
10	Spectrogram 1	1	2.062797986	2.102271179	1522.6	6203.3	Tachycineta_leucopyga-ML220420.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hirundinidae\Tachycineta_leucopyga-ML220420.wav	1	a
