Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	10.729526089	10.930245741	581.7	941.8	Taenioptynx_sylvaticus-ML176035.wav	D:\Andean\Strigidae\Taenioptynx_sylvaticus-ML176035.wav	1	a
2	Spectrogram 1	1	11.214987574	11.359692440	637.1	914.1	Taenioptynx_sylvaticus-ML176035.wav	D:\Andean\Strigidae\Taenioptynx_sylvaticus-ML176035.wav	1	a
3	Spectrogram 1	1	11.457718316	11.607091081	609.4	914.1	Taenioptynx_sylvaticus-ML176035.wav	D:\Andean\Strigidae\Taenioptynx_sylvaticus-ML176035.wav	1	a
4	Spectrogram 1	1	12.279268521	12.442644983	609.4	886.4	Taenioptynx_sylvaticus-ML176035.wav	D:\Andean\Strigidae\Taenioptynx_sylvaticus-ML176035.wav	1	a
5	Spectrogram 1	1	13.147497715	13.310874176	637.1	886.4	Taenioptynx_sylvaticus-ML176035.wav	D:\Andean\Strigidae\Taenioptynx_sylvaticus-ML176035.wav	1	a
6	Spectrogram 1	1	13.413567952	13.562940717	637.1	886.4	Taenioptynx_sylvaticus-ML176035.wav	D:\Andean\Strigidae\Taenioptynx_sylvaticus-ML176035.wav	1	a
7	Spectrogram 1	1	13.651630796	13.782331965	637.1	886.4	Taenioptynx_sylvaticus-ML176035.wav	D:\Andean\Strigidae\Taenioptynx_sylvaticus-ML176035.wav	1	a
8	Spectrogram 1	1	53.733577516	53.929629269	581.7	886.4	Taenioptynx_sylvaticus-ML176035.wav	D:\Andean\Strigidae\Taenioptynx_sylvaticus-ML176035.wav	2	a
9	Spectrogram 1	1	54.223706899	54.363743866	609.4	914.1	Taenioptynx_sylvaticus-ML176035.wav	D:\Andean\Strigidae\Taenioptynx_sylvaticus-ML176035.wav	2	a
10	Spectrogram 1	1	54.452433945	54.583135114	609.4	886.4	Taenioptynx_sylvaticus-ML176035.wav	D:\Andean\Strigidae\Taenioptynx_sylvaticus-ML176035.wav	2	a
11	Spectrogram 1	1	55.287987847	55.446696409	609.4	886.4	Taenioptynx_sylvaticus-ML176035.wav	D:\Andean\Strigidae\Taenioptynx_sylvaticus-ML176035.wav	2	a
12	Spectrogram 1	1	56.137545445	56.263578715	609.4	886.4	Taenioptynx_sylvaticus-ML176035.wav	D:\Andean\Strigidae\Taenioptynx_sylvaticus-ML176035.wav	2	a
13	Spectrogram 1	1	56.412951480	56.529648952	637.1	886.4	Taenioptynx_sylvaticus-ML176035.wav	D:\Andean\Strigidae\Taenioptynx_sylvaticus-ML176035.wav	2	a
14	Spectrogram 1	1	56.646346424	56.781715492	637.1	886.4	Taenioptynx_sylvaticus-ML176035.wav	D:\Andean\Strigidae\Taenioptynx_sylvaticus-ML176035.wav	2	a
15	Spectrogram 1	1	95.708074399	95.866782961	609.4	886.4	Taenioptynx_sylvaticus-ML176035.wav	D:\Andean\Strigidae\Taenioptynx_sylvaticus-ML176035.wav	3	a
16	Spectrogram 1	1	96.188867985	96.342908648	609.4	914.1	Taenioptynx_sylvaticus-ML176035.wav	D:\Andean\Strigidae\Taenioptynx_sylvaticus-ML176035.wav	3	a
17	Spectrogram 1	1	96.436266626	96.562299896	581.7	969.5	Taenioptynx_sylvaticus-ML176035.wav	D:\Andean\Strigidae\Taenioptynx_sylvaticus-ML176035.wav	3	a
