Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	6.256153211	6.408085958	4583.5	7756.7	Tangara_vassorii-ML67238.wav	C:\Users\pfmar\Downloads\Andean\Thraupidae\Tangara_vassorii-ML67238.wav	1	a
2	Spectrogram 1	1	6.480868112	6.592770675	4505.1	6894.8	Tangara_vassorii-ML67238.wav	C:\Users\pfmar\Downloads\Andean\Thraupidae\Tangara_vassorii-ML67238.wav	1	b
3	Spectrogram 1	1	6.691026583	6.869342861	4309.3	7482.5	Tangara_vassorii-ML67238.wav	C:\Users\pfmar\Downloads\Andean\Thraupidae\Tangara_vassorii-ML67238.wav	1	c
4	Spectrogram 1	1	6.941215239	6.975786762	4857.7	8305.1	Tangara_vassorii-ML67238.wav	C:\Users\pfmar\Downloads\Andean\Thraupidae\Tangara_vassorii-ML67238.wav	1	d
5	Spectrogram 1	1	6.988523639	7.142029998	4309.3	7325.8	Tangara_vassorii-ML67238.wav	C:\Users\pfmar\Downloads\Andean\Thraupidae\Tangara_vassorii-ML67238.wav	1	e
6	Spectrogram 1	1	7.218451260	7.256661891	4583.5	8109.3	Tangara_vassorii-ML67238.wav	C:\Users\pfmar\Downloads\Andean\Thraupidae\Tangara_vassorii-ML67238.wav	1	d
7	Spectrogram 1	1	7.271218322	7.410414192	4505.1	7208.2	Tangara_vassorii-ML67238.wav	C:\Users\pfmar\Downloads\Andean\Thraupidae\Tangara_vassorii-ML67238.wav	1	f
8	Spectrogram 1	1	7.511399432	7.691535264	3800.0	7639.2	Tangara_vassorii-ML67238.wav	C:\Users\pfmar\Downloads\Andean\Thraupidae\Tangara_vassorii-ML67238.wav	1	g
9	Spectrogram 1	1	7.848016896	8.015415894	3564.9	8657.7	Tangara_vassorii-ML67238.wav	C:\Users\pfmar\Downloads\Andean\Thraupidae\Tangara_vassorii-ML67238.wav	1	h
10	Spectrogram 1	1	8.241950349	8.407529751	3290.7	8070.1	Tangara_vassorii-ML67238.wav	C:\Users\pfmar\Downloads\Andean\Thraupidae\Tangara_vassorii-ML67238.wav	1	i
11	Spectrogram 1	1	15.443305808	15.595126835	4779.4	7639.2	Tangara_vassorii-ML67238.wav	C:\Users\pfmar\Downloads\Andean\Thraupidae\Tangara_vassorii-ML67238.wav	2	j
