Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	8.904519683	8.957368684	498.6	969.5	Tauraco_corythaix-ML72550.wav	E:\Andean\Musophagidae\Tauraco_corythaix-ML72550.wav	1	a
2	Spectrogram 1	1	9.109309561	9.188583062	415.5	1108.0	Tauraco_corythaix-ML72550.wav	E:\Andean\Musophagidae\Tauraco_corythaix-ML72550.wav	1	a
3	Spectrogram 1	1	9.337220876	9.475949503	387.8	1135.7	Tauraco_corythaix-ML72550.wav	E:\Andean\Musophagidae\Tauraco_corythaix-ML72550.wav	1	a
4	Spectrogram 1	1	9.624587317	9.799649632	415.5	1108.0	Tauraco_corythaix-ML72550.wav	E:\Andean\Musophagidae\Tauraco_corythaix-ML72550.wav	1	a
5	Spectrogram 1	1	9.981318072	10.156380387	415.5	1108.0	Tauraco_corythaix-ML72550.wav	E:\Andean\Musophagidae\Tauraco_corythaix-ML72550.wav	1	a
6	Spectrogram 1	1	10.344654951	10.552747892	443.2	1024.9	Tauraco_corythaix-ML72550.wav	E:\Andean\Musophagidae\Tauraco_corythaix-ML72550.wav	1	a
7	Spectrogram 1	1	10.711294894	10.919387834	526.3	1135.7	Tauraco_corythaix-ML72550.wav	E:\Andean\Musophagidae\Tauraco_corythaix-ML72550.wav	1	a
8	Spectrogram 1	1	11.074631773	11.266209401	470.9	1108.0	Tauraco_corythaix-ML72550.wav	E:\Andean\Musophagidae\Tauraco_corythaix-ML72550.wav	1	a
9	Spectrogram 1	1	11.428059465	11.639455468	470.9	1191.1	Tauraco_corythaix-ML72550.wav	E:\Andean\Musophagidae\Tauraco_corythaix-ML72550.wav	1	a
10	Spectrogram 1	1	11.781487157	11.989580097	470.9	1135.7	Tauraco_corythaix-ML72550.wav	E:\Andean\Musophagidae\Tauraco_corythaix-ML72550.wav	1	a
11	Spectrogram 1	1	12.125005661	12.336401664	526.3	1218.8	Tauraco_corythaix-ML72550.wav	E:\Andean\Musophagidae\Tauraco_corythaix-ML72550.wav	1	a
12	Spectrogram 1	1	12.475130291	12.653495668	443.2	1024.9	Tauraco_corythaix-ML72550.wav	E:\Andean\Musophagidae\Tauraco_corythaix-ML72550.wav	1	a
13	Spectrogram 1	1	12.815345733	12.993711110	443.2	1024.9	Tauraco_corythaix-ML72550.wav	E:\Andean\Musophagidae\Tauraco_corythaix-ML72550.wav	1	a
14	Spectrogram 1	1	21.202283806	21.258435869	470.9	1108.0	Tauraco_corythaix-ML72550.wav	E:\Andean\Musophagidae\Tauraco_corythaix-ML72550.wav	2	a
15	Spectrogram 1	1	21.403770621	21.489650247	470.9	1080.3	Tauraco_corythaix-ML72550.wav	E:\Andean\Musophagidae\Tauraco_corythaix-ML72550.wav	2	a
16	Spectrogram 1	1	21.641591124	21.793532001	470.9	1108.0	Tauraco_corythaix-ML72550.wav	E:\Andean\Musophagidae\Tauraco_corythaix-ML72550.wav	2	a
17	Spectrogram 1	1	21.961988190	22.146959693	415.5	1052.6	Tauraco_corythaix-ML72550.wav	E:\Andean\Musophagidae\Tauraco_corythaix-ML72550.wav	2	a
18	Spectrogram 1	1	22.318718945	22.526811885	498.6	1108.0	Tauraco_corythaix-ML72550.wav	E:\Andean\Musophagidae\Tauraco_corythaix-ML72550.wav	2	a
19	Spectrogram 1	1	22.682055824	22.886845702	498.6	1108.0	Tauraco_corythaix-ML72550.wav	E:\Andean\Musophagidae\Tauraco_corythaix-ML72550.wav	2	a
20	Spectrogram 1	1	23.045391078	23.253484018	470.9	1108.0	Tauraco_corythaix-ML72550.wav	E:\Andean\Musophagidae\Tauraco_corythaix-ML72550.wav	2	a
21	Spectrogram 1	1	23.405424895	23.613517835	443.2	1108.0	Tauraco_corythaix-ML72550.wav	E:\Andean\Musophagidae\Tauraco_corythaix-ML72550.wav	2	a
22	Spectrogram 1	1	23.768761774	23.973551652	470.9	1108.0	Tauraco_corythaix-ML72550.wav	E:\Andean\Musophagidae\Tauraco_corythaix-ML72550.wav	2	a
23	Spectrogram 1	1	24.112280279	24.303857906	415.5	1108.0	Tauraco_corythaix-ML72550.wav	E:\Andean\Musophagidae\Tauraco_corythaix-ML72550.wav	2	a
24	Spectrogram 1	1	24.465707971	24.653982535	470.9	1135.7	Tauraco_corythaix-ML72550.wav	E:\Andean\Musophagidae\Tauraco_corythaix-ML72550.wav	2	a
